################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.4086663824950413E-01   2.6394144791483531E-01   2.5219492419439810E-01   5.2289901986184032E-03
         1          2   3.1629870627091311E-01   3.3592221251162269E-01   3.2622084174995714E-01   5.5135132828105192E-03
         1          3   2.1947107676176383E-01   2.4549831587319867E-01   2.3222101005908544E-01   5.8983437888292254E-03
         1          4   3.0511212871176191E-01   3.2739415230400776E-01   3.1638978354987168E-01   6.2607396374226680E-03
         1          5   1.7848468030811249E-01   2.0899671303382492E-01   1.9333100473355855E-01   6.9160366755924539E-03
         1          6   2.8164917666405831E-01   3.0921003209328146E-01   2.9559932365276143E-01   7.7444762128244821E-03
         1          7   1.3089902830328731E-01   1.6416322068780143E-01   1.4688814089883973E-01   7.5434909437763157E-03
         1          8   2.4979400268666654E-01   2.8380991427176527E-01   2.6696701789890792E-01   9.5588137175664448E-03
         1          9   2.6483774250061487E-01   3.0675351368402443E-01   2.8630198366887183E-01   1.1785762769438138E-02
         1         10   1.8776974671225918E-01   2.3324282223586865E-01   2.1023057897176370E-01   1.0303541619931892E-02
         1         11   2.2086392696676305E-01   2.7931837248728247E-01   2.5056290288021288E-01   1.6440161106649399E-02
         1         12   1.4487243914288450E-01   2.0446243452685250E-01   1.7378982765460177E-01   1.3508326451934867E-02
         1         13   1.5360827583531350E-01   2.3158979406211574E-01   1.9224886769074950E-01   2.1941054469595534E-02
         1         14   8.6239469369367022E-02   1.5711730001819324E-01   1.1904909274580591E-01   1.6113526357601240E-02
         1         15   5.1675428780816407E-02   1.3200158852041283E-01   8.8036357854960001E-02   2.2679236808814663E-02
         1         16   1.8191436133193281E-02   7.1294404632263095E-02   3.9006515768559166E-02   1.2376567543411628E-02
         1         17   8.9882041532988547E-07   7.2678960930574073E-06   3.3268453301173072E-06   1.8863030928318855E-06
         1         18   2.7311484370832934E-02   3.7142358996997173E-02   3.2022689814413786E-02   2.3929834866894114E-03
         1         19   2.2166911971750903E-03   4.1415146143103506E-03   3.0200596798877549E-03   4.6861058969586983E-04
         1         20   2.7076121574768280E-02   3.4807277483120867E-02   3.0787080730809040E-02   1.9964497692505872E-03
         1         21   1.0906930790968731E-03   2.3375366075068203E-03   1.5970949291953928E-03   2.7609775279909649E-04
         1         22   1.3322441325169687E-02   1.9645780083282785E-02   1.6281975842831486E-02   1.5921962564631148E-03
         1         23   1.3291538040727446E-03   3.0617290310169980E-03   2.0694376362374390E-03   4.3047396286349663E-04
         2          1   6.3818169439813344E-01   6.6539100311667554E-01   6.5244168349991427E-01   7.2096629608600273E-03
         2          2   6.1657961597183686E-01   6.4747999777566101E-01   6.3277956709974326E-01   8.1871436056000033E-03
         2          3   5.7115690293441290E-01   6.0938500208918478E-01   5.9119864730552307E-01   1.0127914531902050E-02
         2          4   5.0921927074618034E-01   5.5640351966438684E-01   5.3393403579781595E-01   1.2500652897830361E-02
         2          5   5.4194225671114749E-01   6.0019614409443478E-01   5.7260396733774377E-01   1.5422402361132263E-02
         2          6   4.5845847086187341E-01   5.3975012038922476E-01   5.0112580576042554E-01   2.1515028322392236E-02
         2          7   3.2809074045257641E-01   4.3650763218550681E-01   3.8449773538149923E-01   2.8710573358788925E-02
         2          8   1.2024745408059745E-01   2.3088149333722716E-01   1.7607271570992006E-01   2.9662050611621606E-02
         2          9   5.6594759335561913E-03   1.5829256576822930E-02   9.8303605156512593E-03   2.1726391737803756E-03
         2         10   1.7545041899688033E-04   1.1503775552591242E-03   5.5044323855840867E-04   2.3075756630588459E-04
         2         11   1.8882489305793396E-02   2.7125914504409019E-02   2.2834912587586201E-02   1.9270460670153654E-03
         2         12   8.8015236722326466E-03   1.3592955995617316E-02   1.0972227823110602E-02   1.3541493993718496E-03
         2         13   9.6396055640795113E-03   1.4756418236812350E-02   1.2076650339921056E-02   1.3557673872706196E-03
         2         14   4.3946959444252946E-03   7.6720801936071012E-03   5.8024204321058285E-03   8.4159647807901725E-04
