################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.8222292188926238E-01 a         1     0     1     1     1
 -4.4004249596931416E-01 a         2     0     1     1     2
 -8.1046917079016256E-01 a         3     0     1     1     3
  2.2494252046143096E-01 a         4     0     1     1     4
  4.4349137718296139E-01 a         5     0     1     1     5
  9.8834951463027310E-01 a         6     0     1     1     6
  6.2520604787850348E-02 a         7     0     1     1     7
 -1.4894505335638264E+00 a         8     0     1     1     8
  1.2014239925234489E+00 a         9     0     1     1     9
  3.9027359507531906E-01 a        10     0     1     1    10
  4.9353467044938826E-01 a        11     0     1     1    11
  7.1930616259018110E-01 a        12     0     1     1    12
 -2.4575710860497971E-01 a        13     0     1     1    13
  3.9397251914484249E-01 a        14     0     1     1    14
 -2.8209366947294384E-01 a        15     0     1     1    15
  6.8866078512579487E-01 a        16     0     2     1     1
  1.1860076177039598E+00 a        17     0     2     1     2
  6.7144423605644477E-01 a        18     0     2     1     3
  2.6540853233384953E-01 a        19     0     2     1     4
  1.3779107772008092E+00 a        20     0     2     1     5
 -1.0698691557414159E+00 a        21     0     2     1     6
  4.6466270520478364E-01 a        22     0     2     1     7
  7.3940793559971263E-01 a        23     0     2     1     8
  3.5639812483065172E+00 a        24     0     2     1     9
  1.1933155575667816E-01 a        25     0     2     1    10
  5.0056094431239651E-01 a        26     0     2     1    11
  3.2048083796470540E-02 a        27     0     2     1    12
 -3.5576969610506235E+00 a        28     0     2     1    13
  8.7323931107478270E-01 a        29     0     2     1    14
 -3.1931153203962370E-01 a        30     0     2     1    15
 -8.3705989031135630E-01 a        31     0     3     1     1
 -4.5814108474543919E-01 a        32     0     3     1     2
 -4.9040230068697138E-01 a        33     0     3     1     3
  6.6682048753974210E-01 a        34     0     3     1     4
  2.8924543283521335E-02 a        35     0     3     1     5
  9.1719042701141307E-01 a        36     0     3     1     6
 -1.1468669605096247E-01 a        37     0     3     1     7
 -1.4779553328837089E+00 a        38     0     3     1     8
  1.1843769198514693E+00 a        39     0     3     1     9
  5.4825397692678046E-01 a        40     0     3     1    10
  2.1354731140220051E-01 a        41     0     3     1    11
  1.2204221094524829E-01 a        42     0     3     1    12
 -2.7327834869616768E-01 a        43     0     3     1    13
  4.8114899089806501E-01 a        44     0     3     1    14
 -4.1879473824569663E-01 a        45     0     3     1    15
  6.6279245480333282E-01 a        46     0     4     1     1
  9.8701165714232542E-01 a        47     0     4     1     2
  3.3660466059909322E-01 a        48     0     4     1     3
  5.2204062002268992E-01 a        49     0     4     1     4
  8.5752545496470789E-01 a        50     0     4     1     5
 -5.1220915533922784E-01 a        51     0     4     1     6
  1.2539461706312029E+00 a        52     0     4     1     7
  3.6233271545220780E-01 a        53     0     4     1     8
  3.2479868920757067E+00 a        54     0     4     1     9
  1.1927651287081806E-01 a        55     0     4     1    10
 -1.2859135391863074E-02 a        56     0     4     1    11
 -8.7639196774848091E-02 a        57     0     4     1    12
 -3.8611411807346321E+00 a        58     0     4     1    13
  8.2191666156941512E-01 a        59     0     4     1    14
 -3.8147651306012820E-01 a        60     0     4     1    15
 -6.6343533429240620E-01 a        61     0     5     1     1
 -2.9488449118748827E-01 a        62     0     5     1     2
 -7.9088115998213082E-01 a        63     0     5     1     3
  7.0141395505124993E-02 a        64     0     5     1     4
  1.6117090143801630E-01 a        65     0     5     1     5
  5.6909740900724881E-01 a        66     0     5     1     6
  1.0423955622808005E-01 a        67     0     5     1     7
 -8.2060876455525555E-01 a        68     0     5     1     8
  9.0825963638225815E-01 a        69     0     5     1     9
  5.5376751403688307E-02 a        70     0     5     1    10
  3.3773963018037600E-01 a        71     0     5     1    11
  2.9353459197974080E-01 a        72     0     5     1    12
 -2.7342611304174175E-01 a        73     0     5     1    13
  1.6955033915903528E-01 a        74     0     5     1    14
  3.0292222669793273E-01 a        75     0     5     1    15
  8.4886544099711980E-01 a        76     0     6     1     1
  6.5174099212567127E-01 a        77     0     6     1     2
  1.1548318476691267E-01 a        78     0     6     1     3
  9.0527860263689752E-01 a        79     0     6     1     4
  1.0161634679832778E+00 a        80     0     6     1     5
 -1.1964979639294167E+00 a        81     0     6     1     6
  1.0570093511083292E+00 a        82     0     6     1     7
  4.3765883930441768E-01 a        83     0     6     1     8
  3.2119876297983905E+00 a        84     0     6     1     9
 -5.6881485289301625E-01 a        85     0     6     1    10
  4.0773218909338194E-01 a        86     0     6     1    11
  4.0394387949840094E-01 a        87     0     6     1    12
 -4.0263485661910456E+00 a        88     0     6     1    13
  7.5026439412453205E-01 a        89     0     6     1    14
 -1.0541648378345028E+00 a        90     0     6     1    15
 -6.9044341484254601E-01 a        91     0     7     1     1
 -3.0901916045053480E-02 a        92     0     7     1     2
 -5.1404789956262098E-01 a        93     0     7     1     3
  6.8117083290089997E-01 a        94     0     7     1     4
  5.2838836739480333E-01 a        95     0     7     1     5
 -2.8807891280772158E-02 a        96     0     7     1     6
 -5.1857005027883774E-01 a        97     0     7     1     7
 -5.6993136004236389E-01 a        98     0     7     1     8
  1.0032362619897877E+00 a        99     0     7     1     9
  7.2636605071585481E-01 a       100     0     7     1    10
  1.2392960476971096E-01 a       101     0     7     1    11
  1.3982114614386498E-01 a       102     0     7     1    12
  2.4403769462551111E-02 a       103     0     7     1    13
  3.3581459434115252E-01 a       104     0     7     1    14
 -1.5574040652403859E-01 a       105     0     7     1    15
  4.6954402458743899E-01 a       106     0     8     1     1
  5.3716496022024451E-01 a       107     0     8     1     2
  7.2949845461985430E-01 a       108     0     8     1     3
  6.1442029050051350E-01 a       109     0     8     1     4
  1.2772618252887091E+00 a       110     0     8     1     5
 -5.6001189320306832E-01 a       111     0     8     1     6
  1.0103700945443042E+00 a       112     0     8     1     7
  4.3561401593546317E-01 a       113     0     8     1     8
  3.3197439130646065E+00 a       114     0     8     1     9
 -6.4698451321505337E-03 a       115     0     8     1    10
  1.6703411592357706E-01 a       116     0     8     1    11
  1.4847621372403516E-01 a       117     0     8     1    12
 -3.5268732798510096E+00 a       118     0     8     1    13
  6.1884181570949337E-01 a       119     0     8     1    14
 -9.8359346616903409E-01 a       120     0     8     1    15
  1.2022549381609322E+00 a       121     0     9     1     1
  1.1753522545202948E+00 a       122     0     9     1     2
  6.7521951473317376E-01 a       123     0     9     1     3
  9.9681972044197864E-01 a       124     0     9     1     4
  9.8506887078957550E-01 a       125     0     9     1     5
 -7.6414129699274502E-01 a       126     0     9     1     6
  1.5583372960009916E+00 a       127     0     9     1     7
  1.6147111319706022E+00 a       128     0     9     1     8
  3.0707713315493148E+00 a       129     0     9     1     9
 -2.2435343992802611E-02 a       130     0     9     1    10
  9.1472850077627166E-01 a       131     0     9     1    11
  3.9703321905431227E-01 a       132     0     9     1    12
 -3.7715780360284192E+00 a       133     0     9     1    13
  6.4104700277019921E-01 a       134     0     9     1    14
 -7.7237876074610035E-01 a       135     0     9     1    15
 -1.0518588465419023E+00 a       136     0    10     1     1
 -3.1225147764086681E-02 a       137     0    10     1     2
 -6.2919559108136647E-01 a       138     0    10     1     3
  2.3317460668545414E-01 a       139     0    10     1     4
 -1.9971359871494382E-01 a       140     0    10     1     5
  7.3020877590998245E-01 a       141     0    10     1     6
 -8.0257786001708659E-02 a       142     0    10     1     7
 -1.3521223858099003E+00 a       143     0    10     1     8
  6.3906450842217610E-01 a       144     0    10     1     9
  2.4330682404881188E-01 a       145     0    10     1    10
  3.0679659138707377E-01 a       146     0    10     1    11
  3.2518592843682853E-01 a       147     0    10     1    12
 -3.5568354199079993E-01 a       148     0    10     1    13
  3.2330608751042988E-01 a       149     0    10     1    14
 -4.8186670210727905E-01 a       150     0    10     1    15
  8.8115552902747107E-01 a       151     0    11     1     1
  6.4487116121808352E-01 a       152     0    11     1     2
  4.2658433979313193E-01 a       153     0    11     1     3
  8.3932685290653986E-01 a       154     0    11     1     4
  8.8297320191664275E-01 a       155     0    11     1     5
 -5.5269734134337234E-01 a       156     0    11     1     6
  1.2056899948499527E+00 a       157     0    11     1     7
  4.5543225066059445E-01 a       158     0    11     1     8
  3.1229527789560314E+00 a       159     0    11     1     9
 -3.7191753917589759E-01 a       160     0    11     1    10
  2.5889789732226404E-01 a       161     0    11     1    11
 -1.8736177780450175E-01 a       162     0    11     1    12
 -3.9848653917672019E+00 a       163     0    11     1    13
  5.5145612541238087E-01 a       164     0    11     1    14
 -5.2427744398252651E-01 a       165     0    11     1    15
 -1.2526919306808868E+00 a       166     0    12     1     1
 -1.7955090674782428E-01 a       167     0    12     1     2
 -1.0308426761278477E+00 a       168     0    12     1     3
  3.9999306094127614E-02 a       169     0    12     1     4
  4.3194152387480705E-01 a       170     0    12     1     5
 -4.5346336916703750E-01 a       171     0    12     1     6
 -8.0356813960760842E-01 a       172     0    12     1     7
 -2.4792572345654659E-01 a       173     0    12     1     8
  9.1118758007505418E-01 a       174     0    12     1     9
  3.2175747509479424E-01 a       175     0    12     1    10
  3.2801052275008280E-01 a       176     0    12     1    11
  2.3218779482690402E-01 a       177     0    12     1    12
