################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.4086663824950413E-01   2.6394144791483531E-01   2.5220596365703341E-01   5.3682212575572952E-03
         1          2   3.1629870627091311E-01   3.3592221251162269E-01   3.2604825011540989E-01   5.5568174225698284E-03
         1          3   2.1947107676176383E-01   2.4549831587319867E-01   2.3223382894439004E-01   6.0553818646637367E-03
         1          4   3.0511212871176191E-01   3.2739415230400776E-01   3.1619371963571136E-01   6.3099687390229071E-03
         1          5   1.7848468030811249E-01   2.0899671303382492E-01   1.9334735571499587E-01   7.1001099708566731E-03
         1          6   2.8164917666405831E-01   3.0921003209328146E-01   2.9535675874650552E-01   7.8053384432401002E-03
         1          7   1.3089902830328731E-01   1.6416322068780143E-01   1.4690854477268095E-01   7.7441339044343983E-03
         1          8   2.4979400268666654E-01   2.8380991427176527E-01   2.6666784885645750E-01   9.6335947800534234E-03
         1          9   2.6483774250061487E-01   3.0675351368402443E-01   2.8593104432548899E-01   1.1879591279338674E-02
         1         10   1.8776974671225918E-01   2.3324282223586865E-01   2.1025060615974497E-01   1.0577961536056311E-02
         1         11   2.2086392696676305E-01   2.7931837248728247E-01   2.5004643217659028E-01   1.6569006355461661E-02
         1         12   1.4487243914288450E-01   2.0446243452685250E-01   1.7382290296243669E-01   1.3867801552223637E-02
         1         13   1.5360827583531350E-01   2.3158979406211574E-01   1.9156499695333393E-01   2.2105982747027506E-02
         1         14   8.6239469369367022E-02   1.5711730001819324E-01   1.1910926795660956E-01   1.6541047658616206E-02
         1         15   5.1675428780816407E-02   1.3200158852041283E-01   8.7356159864615743E-02   2.2832266001304800E-02
         1         16   1.8191436133193281E-02   7.1294404632263095E-02   3.9100495402121897E-02   1.2699526583802244E-02
         1         17   8.9882041532988547E-07   7.2678960930574073E-06   3.4116252947822575E-06   1.8956778245613215E-06
         1         18   2.7311484370832934E-02   3.7142358996997173E-02   3.1892571648267497E-02   2.3793102944455061E-03
         1         19   2.2166911971750903E-03   4.1415146143103506E-03   3.0378951630451261E-03   4.7272494776478250E-04
         1         20   2.7076121574768280E-02   3.4807277483120867E-02   3.0717826064810650E-02   2.0251620236064814E-03
         1         21   1.0906930790968731E-03   2.3375366075068203E-03   1.6055962556179634E-03   2.8008315715906531E-04
         1         22   1.3322441325169687E-02   1.9645780083282785E-02   1.6234255756186301E-02   1.6201624242226376E-03
         1         23   1.3291538040727446E-03   3.0617290310169980E-03   2.0595722116025002E-03   4.3967954308529885E-04
         2          1   6.3818169439813344E-01   6.6539100311667554E-01   6.5209650023081989E-01   7.2354374599084012E-03
         2          2   6.1657961597183686E-01   6.4747999777566101E-01   6.3238743927142271E-01   8.2162666540052179E-03
         2          3   5.7115690293441290E-01   6.0938500208918478E-01   5.9071351749301126E-01   1.0163893193416169E-02
         2          4   5.0921927074618034E-01   5.5640351966438684E-01   5.3333569771291511E-01   1.2545510304278692E-02
         2          5   5.4194225671114749E-01   6.0019614409443478E-01   5.7186208865097798E-01   1.5474016720781478E-02
         2          6   4.5845847086187341E-01   5.3975012038922476E-01   5.0009286435318046E-01   2.1589072093239205E-02
         2          7   3.2809074045257641E-01   4.3650763218550681E-01   3.8312999390666796E-01   2.8820103966259437E-02
         2          8   1.2024745408059745E-01   2.3088149333722716E-01   1.7471231972923160E-01   2.9826954940137252E-02
         2          9   5.6594759335561913E-03   1.5829256576822930E-02   9.6914141604039512E-03   2.1389320355363031E-03
         2         10   1.7545041899688033E-04   1.1503775552591242E-03   5.6306151982566202E-04   2.2988258419944473E-04
         2         11   1.8882489305793396E-02   2.7125914504409019E-02   2.2726546498394996E-02   1.9162203076583399E-03
         2         12   8.8015236722326466E-03   1.3592955995617316E-02   1.1029174729460784E-02   1.3664302695197896E-03
         2         13   9.6396055640795113E-03   1.4756418236812350E-02   1.2010749720499998E-02   1.3596098324338748E-03
         2         14   4.3946959444252946E-03   7.6720801936071012E-03   5.8291022913042690E-03   8.5592308177508732E-04
