################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.1062830582347432E-01 a         1     0     1     1     1
 -9.5348075419543765E-01 a         2     0     1     1     2
  4.9457046144984390E-02 a         3     0     1     1     3
  4.8030247909499030E-01 a         4     0     1     1     4
  2.9270724513088386E-01 a         5     0     1     1     5
 -1.4413325133177564E+00 a         6     0     1     1     6
  1.6782541393671113E-01 a         7     0     1     1     7
  1.8723532672224503E+00 a         8     0     1     1     8
 -2.4553640191889259E+00 a         9     0     1     1     9
 -1.6668051519001434E-01 a        10     0     1     1    10
  3.2941699561595644E-01 a        11     0     1     1    11
 -1.2016104659385209E-01 a        12     0     1     1    12
  3.9481665351173056E-01 a        13     0     1     1    13
  2.2825167460342294E-01 a        14     0     1     1    14
 -3.8589294754632353E-01 a        15     0     1     1    15
 -3.0562723679631409E-01 a        16     0     2     1     1
 -1.2647077288186686E+00 a        17     0     2     1     2
  2.8560798093950013E-01 a        18     0     2     1     3
 -1.9878806505618249E-01 a        19     0     2     1     4
 -2.0388631253809825E-01 a        20     0     2     1     5
 -1.2108701017101051E+00 a        21     0     2     1     6
  1.8381658770635451E-01 a        22     0     2     1     7
  1.6872364425086515E+00 a        23     0     2     1     8
 -2.4723711925218219E+00 a        24     0     2     1     9
  3.2962938178429224E-01 a        25     0     2     1    10
 -3.7726567227601170E-02 a        26     0     2     1    11
 -1.8541241651809218E-01 a        27     0     2     1    12
  3.1728674298555276E-02 a        28     0     2     1    13
  5.0464796798298206E-01 a        29     0     2     1    14
  1.5558376422886280E-01 a        30     0     2     1    15
  4.3482422071059679E-01 a        31     0     3     1     1
 -9.2041330525797327E-01 a        32     0     3     1     2
 -1.1765374875316277E-01 a        33     0     3     1     3
 -3.3942701834198452E-01 a        34     0     3     1     4
 -2.8915181012365604E-01 a        35     0     3     1     5
 -9.8626662605689830E-01 a        36     0     3     1     6
  4.3423322062697539E-01 a        37     0     3     1     7
  1.1418706313752269E+00 a        38     0     3     1     8
 -2.2496134163439896E+00 a        39     0     3     1     9
  9.4091754535396532E-02 a        40     0     3     1    10
  3.6885947402981689E-01 a        41     0     3     1    11
  3.1703560071621578E-01 a        42     0     3     1    12
 -1.0454947074592603E-01 a        43     0     3     1    13
 -3.6289183864871910E-01 a        44     0     3     1    14
 -4.2479698047501256E-02 a        45     0     3     1    15
 -5.1296307890488432E-02 a        46     0     4     1     1
 -1.3519753635185281E+00 a        47     0     4     1     2
 -2.3908511110833353E-01 a        48     0     4     1     3
 -1.1107906458678721E-01 a        49     0     4     1     4
 -1.7233336378973554E-01 a        50     0     4     1     5
 -1.2409228499510552E+00 a        51     0     4     1     6
  3.9151792238137018E-01 a        52     0     4     1     7
  1.9546123990272100E+00 a        53     0     4     1     8
 -2.1788090750661500E+00 a        54     0     4     1     9
  2.5517878065153887E-02 a        55     0     4     1    10
