################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.4958769136419343E-01 a         1     0     1     1     1
  3.8598205387627937E-01 a         2     0     1     1     2
  3.8814632434416263E-01 a         3     0     1     1     3
 -4.4273934918675178E-01 a         4     0     1     1     4
 -1.4414038109301663E-01 a         5     0     1     1     5
  3.7744339956195699E-01 a         6     0     1     1     6
  4.6040381462095425E-01 a         7     0     1     1     7
 -4.1267078549365532E-01 a         8     0     1     1     8
  4.8870035964473829E-01 a         9     0     1     1     9
 -8.4827307717215306E-02 a        10     0     1     1    10
  1.8771705553222834E-01 a        11     0     1     1    11
  3.3621811211662728E-01 a        12     0     1     1    12
 -1.6660619082159162E-01 a        13     0     1     1    13
 -5.4333860443215887E-01 a        14     0     1     1    14
  1.0970379954381224E-01 a        15     0     1     1    15
  3.6318650448869289E-01 a        16     0     2     1     1
  7.9205210037519191E-01 a        17     0     2     1     2
 -1.4069948668578158E-01 a        18     0     2     1     3
 -5.7792550684478294E-01 a        19     0     2     1     4
  8.7206735139653258E-01 a        20     0     2     1     5
 -1.1209650759446175E+00 a        21     0     2     1     6
 -1.8147235367687857E+00 a        22     0     2     1     7
  1.2030110470867366E+00 a        23     0     2     1     8
  8.7729710686167361E-01 a        24     0     2     1     9
 -3.2749533910905776E-01 a        25     0     2     1    10
 -1.3240590050642431E-01 a        26     0     2     1    11
  1.3183887113719475E+00 a        27     0     2     1    12
 -1.0723173684059659E+00 a        28     0     2     1    13
 -1.3799275598685983E+00 a        29     0     2     1    14
  1.9604523270656791E+00 a        30     0     2     1    15
 -9.8472649734703890E-03 a        31     0     3     1     1
  3.3089318134886775E-01 a        32     0     3     1     2
  6.2676270452221217E-01 a        33     0     3     1     3
 -2.8489683128564994E-02 a        34     0     3     1     4
 -5.0870894336670458E-01 a        35     0     3     1     5
  3.8347197826049839E-01 a        36     0     3     1     6
  3.2062089897077561E-01 a        37     0     3     1     7
 -4.9703170504319100E-01 a        38     0     3     1     8
  5.1463273124605735E-01 a        39     0     3     1     9
  8.2669991804846688E-02 a        40     0     3     1    10
 -9.2442063868739391E-02 a        41     0     3     1    11
 -2.1842068865282160E-01 a        42     0     3     1    12
 -1.9823521535937402E-01 a        43     0     3     1    13
 -4.5876622567242092E-01 a        44     0     3     1    14
 -4.9627408693526144E-02 a        45     0     3     1    15
  3.2488586503435979E-01 a        46     0     4     1     1
  6.2936358451683083E-01 a        47     0     4     1     2
 -4.3168422295517389E-01 a        48     0     4     1     3
 -3.6073026472272551E-01 a        49     0     4     1     4
  3.9673397135821814E-01 a        50     0     4     1     5
 -6.3132242354300383E-01 a        51     0     4     1     6
 -1.1340648330573324E+00 a        52     0     4     1     7
  8.1793319816218379E-01 a        53     0     4     1     8
  5.9751924444300286E-01 a        54     0     4     1     9
 -3.4341620704595299E-01 a        55     0     4     1    10
 -6.3747419036876662E-01 a        56     0     4     1    11
  1.2107515683077350E+00 a        57     0     4     1    12
 -1.3534076071562497E+00 a        58     0     4     1    13
 -1.4608633750725193E+00 a        59     0     4     1    14
  1.9029156253281492E+00 a        60     0     4     1    15
  2.8418930621545369E-01 a        61     0     5     1     1
  3.7600803444819242E-01 a        62     0     5     1     2
  1.8645613833932209E-01 a        63     0     5     1     3
 -5.5039564160991716E-01 a        64     0     5     1     4
 -3.3308115210424188E-01 a        65     0     5     1     5
  2.4706078665125997E-01 a        66     0     5     1     6
