################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.4086663824950413E-01   2.6394144791483531E-01   2.5219492419439810E-01   5.2289901986184032E-03
         1          2   3.1629870627091344E-01   3.3592221251162269E-01   3.2622084174995714E-01   5.5135132828125844E-03
         1          3   2.1947107676176383E-01   2.4549831587319867E-01   2.3222101005908544E-01   5.8983437888253647E-03
         1          4   3.0511212871176219E-01   3.2739415230400776E-01   3.1638978354987168E-01   6.2607396374244869E-03
         1          5   1.7848468030811249E-01   2.0899671303382489E-01   1.9333100473355855E-01   6.9160366755924539E-03
         1          6   2.8164917666405859E-01   3.0921003209328146E-01   2.9559932365276148E-01   7.7444762128230120E-03
         1          7   1.3089902830328728E-01   1.6416322068780143E-01   1.4688814089883973E-01   7.5434909437757493E-03
         1          8   2.4979400268666682E-01   2.8380991427176527E-01   2.6696701789890792E-01   9.5588137175658498E-03
         1          9   2.6483774250061515E-01   3.0675351368402443E-01   2.8630198366887183E-01   1.1785762769438138E-02
         1         10   1.8776974671225918E-01   2.3324282223586865E-01   2.1023057897176370E-01   1.0303541619931892E-02
         1         11   2.2086392696676324E-01   2.7931837248728247E-01   2.5056290288021288E-01   1.6440161106649052E-02
         1         12   1.4487243914288450E-01   2.0446243452685248E-01   1.7378982765460177E-01   1.3508326451934446E-02
         1         13   1.5360827583531364E-01   2.3158979406211569E-01   1.9224886769074950E-01   2.1941054469595146E-02
         1         14   8.6239469369367022E-02   1.5711730001819324E-01   1.1904909274580580E-01   1.6113526357601857E-02
         1         15   5.1675428780816442E-02   1.3200158852041280E-01   8.8036357854959973E-02   2.2679236808814472E-02
         1         16   1.8191436133193274E-02   7.1294404632263067E-02   3.9006515768559111E-02   1.2376567543411692E-02
         2          1   6.3818169439813344E-01   6.6539100311667554E-01   6.5244168349991427E-01   7.2096629608600273E-03
         2          2   6.1657961597183686E-01   6.4747999777566101E-01   6.3277956709974326E-01   8.1871436056000033E-03
         2          3   5.7115690293441290E-01   6.0938500208918478E-01   5.9119864730552307E-01   1.0127914531904357E-02
         2          4   5.0921927074618034E-01   5.5640351966438673E-01   5.3393403579781595E-01   1.2500652897828491E-02
         2          5   5.4194225671114737E-01   6.0019614409443478E-01   5.7260396733774377E-01   1.5422402361135294E-02
         2          6   4.5845847086187336E-01   5.3975012038922465E-01   5.0112580576042554E-01   2.1515028322391151E-02
         2          7   3.2809074045257630E-01   4.3650763218550659E-01   3.8449773538149917E-01   2.8710573358788519E-02
         2          8   1.2024745408059731E-01   2.3088149333722682E-01   1.7607271570991997E-01   2.9662050611621707E-02
