################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.7178232835554247E-02 a         1     0     1     1     1
 -6.5614086358540921E-02 a         2     0     1     1     2
 -1.6100642687221553E-01 a         3     0     1     1     3
 -8.6363913931741809E-02 a         4     0     1     1     4
  3.7989743890118266E-01 a         5     0     1     1     5
  1.1497995177766028E-01 a         6     0     1     1     6
  9.9718773476055213E-03 a         7     0     1     1     7
 -1.8814702670681790E-02 a         8     0     1     1     8
  1.8639084115563134E-01 a         9     0     1     1     9
  4.6146215914926063E-02 a        10     0     1     1    10
  3.0161106079088501E-01 a        11     0     1     1    11
  4.5312392360214149E-01 a        12     0     1     1    12
 -2.2595954876377672E-01 a        13     0     1     1    13
  4.1688749725461174E-02 a        14     0     1     1    14
 -6.8353458460603589E-02 a        15     0     1     1    15
  1.4671162188965844E-01 a        16     0     1     1    16
  1.1472323892196221E-01 a        17     0     1     1    17
  2.6935215183161837E-01 a        18     0     1     1    18
 -1.1400484599886125E+00 a        19     0     1     1    19
  3.4512761458382607E-01 a        20     0     1     1    20
 -4.7635335186315804E-02 a        21     0     1     1    21
 -5.4364296002410817E-01 a        22     0     1     1    22
  2.8682044801135376E-01 a        23     0     1     1    23
  1.7777855599720011E-01 a        24     0     1     1    24
  3.5226979572969502E-01 a        25     0     1     1    25
  2.2320048728936040E-01 a        26     0     2     1     1
  1.6409495934843470E-02 a        27     0     2     1     2
  9.2436281602118808E-01 a        28     0     2     1     3
  3.2914544351655239E-01 a        29     0     2     1     4
  4.2304673690360761E-01 a        30     0     2     1     5
 -4.0377100534329108E-01 a        31     0     2     1     6
 -1.2149489770979248E-01 a        32     0     2     1     7
  2.7366842403132652E-01 a        33     0     2     1     8
  3.4469194202718267E-01 a        34     0     2     1     9
 -1.9981891170984475E-01 a        35     0     2     1    10
  1.2209946804436513E-01 a        36     0     2     1    11
 -1.5695946783281806E-01 a        37     0     2     1    12
 -1.6343900673174683E-01 a        38     0     2     1    13
  1.9011685789973404E-01 a        39     0     2     1    14
  2.5074678593600280E-01 a        40     0     2     1    15
 -9.3276567199754662E-02 a        41     0     2     1    16
 -2.9794449284149482E-01 a        42     0     2     1    17
 -1.6003159727655447E-01 a        43     0     2     1    18
  2.0273683182412011E-01 a        44     0     2     1    19
 -1.8577550778373442E-01 a        45     0     2     1    20
  6.8580860962953266E-02 a        46     0     2     1    21
 -1.1094818661503836E-01 a        47     0     2     1    22
 -9.7263480612472239E-02 a        48     0     2     1    23
 -8.2124579131423825E-01 a        49     0     2     1    24
 -1.6834396441527621E-01 a        50     0     2     1    25
  4.9819970862015944E-01 a        51     0     3     1     1
  3.4072436184975247E-01 a        52     0     3     1     2
 -3.2859045424347094E-01 a        53     0     3     1     3
 -1.5107338722796249E-01 a        54     0     3     1     4
  4.0186636279302940E-01 a        55     0     3     1     5
 -4.2851867857246029E-01 a        56     0     3     1     6
 -1.9023720749963680E-01 a        57     0     3     1     7
  3.3953807908141231E-01 a        58     0     3     1     8
  1.3454962302895718E-01 a        59     0     3     1     9
  2.8290262373598674E-01 a        60     0     3     1    10
 -1.9295974844437687E-02 a        61     0     3     1    11
  8.1995301016299274E-02 a        62     0     3     1    12
 -2.1685012336415840E-01 a        63     0     3     1    13
 -3.1450667337176924E-01 a        64     0     3     1    14
 -4.5066857561288066E-02 a        65     0     3     1    15
 -1.7860235134484873E-02 a        66     0     3     1    16
  2.8880045373681401E-01 a        67     0     3     1    17
  2.2578840756774785E-01 a        68     0     3     1    18
 -1.5732354619386535E-01 a        69     0     3     1    19
 -3.4838677592067563E-01 a        70     0     3     1    20
  1.0042009095538861E-01 a        71     0     3     1    21
 -1.0053908979758240E-01 a        72     0     3     1    22
 -1.9677840265298857E-01 a        73     0     3     1    23
 -1.7124657541682281E-01 a        74     0     3     1    24
  4.3072788205538376E-01 a        75     0     3     1    25
  3.6863057379392494E-01 a        76     0     4     1     1
 -4.4060061495064573E-01 a        77     0     4     1     2
 -1.1180062631348010E-01 a        78     0     4     1     3
 -2.7446951145428777E-01 a        79     0     4     1     4
 -5.9934709278149810E-03 a        80     0     4     1     5
 -2.3839770972354990E-01 a        81     0     4     1     6
  1.1086978480622348E-01 a        82     0     4     1     7
 -1.6168143495047613E-01 a        83     0     4     1     8
 -2.5040748630632842E-01 a        84     0     4     1     9
 -4.7507855703261481E-01 a        85     0     4     1    10
  3.7724530820863474E-02 a        86     0     4     1    11
  3.2556827009672601E-01 a        87     0     4     1    12
  1.2971149199072399E-01 a        88     0     4     1    13
  7.7042399210363627E-02 a        89     0     4     1    14
 -4.3262658909927831E-01 a        90     0     4     1    15
  1.5983024586158201E-01 a        91     0     4     1    16
  2.7681020026135783E-01 a        92     0     4     1    17
  1.9781642044969936E-02 a        93     0     4     1    18
  4.1126912111379338E-01 a        94     0     4     1    19
  3.8805945394708330E-01 a        95     0     4     1    20
 -3.8056632458724843E-01 a        96     0     4     1    21
 -1.8229879740748342E-01 a        97     0     4     1    22
 -1.7146660868322276E-02 a        98     0     4     1    23
 -1.1824279145499696E-02 a        99     0     4     1    24
  3.8337609988788945E-01 a       100     0     4     1    25
 -2.2580851706602073E-01 a       101     0     5     1     1
 -2.1368718439129666E-01 a       102     0     5     1     2
  1.3141981961603568E-02 a       103     0     5     1     3
  4.5429840958274063E-02 a       104     0     5     1     4
 -2.5895672786686869E-01 a       105     0     5     1     5
 -1.2817682653856372E-02 a       106     0     5     1     6
 -6.2989575807374243E-01 a       107     0     5     1     7
  3.6675853027266647E-01 a       108     0     5     1     8
 -7.2766306915974532E-01 a       109     0     5     1     9
  2.0147658914745251E-01 a       110     0     5     1    10
