################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.7712562884168115E+00   2.9513191480078169E+00   2.8619616581940539E+00   4.6455039183480637E-02
         1          2   2.6603681064558615E+00   2.8646515343052608E+00   2.7633392784580582E+00   5.2731197142350167E-02
         1          3   2.4316780936205813E+00   2.6826769697800765E+00   2.5581255939556491E+00   6.5040594765609291E-02
         1          4   2.1292510497966219E+00   2.4346425348619238E+00   2.2826242840901037E+00   7.9796291951573464E-02
         1          5   2.7244791690238461E+00   2.9105958011635167E+00   2.8246764662652644E+00   4.4871313604942488E-02
         1          6   2.6777633889995913E+00   2.8642177620092344E+00   2.7840426901557320E+00   4.3626287194308062E-02
         1          7   2.6115107093402044E+00   2.7820235608275068E+00   2.7209675464575307E+00   4.0425157392822146E-02
         1          8   2.5207408053162923E+00   2.6774645860503652E+00   2.6163281054074448E+00   3.9803189625293355E-02
         2          1   6.3818169439813344E-01   6.6539100311667554E-01   6.5244168349991427E-01   7.2096629608600273E-03
         2          2   6.1657961597183686E-01   6.4747999777566101E-01   6.3277956709974326E-01   8.1871436056000033E-03
         2          3   5.7115690293441290E-01   6.0938500208918478E-01   5.9119864730552307E-01   1.0127914531904357E-02
         2          4   5.0921927074618034E-01   5.5640351966438673E-01   5.3393403579781595E-01   1.2500652897828491E-02
         2          5   5.4194225671114737E-01   6.0019614409443478E-01   5.7260396733774377E-01   1.5422402361135294E-02
         2          6   4.5845847086187336E-01   5.3975012038922465E-01   5.0112580576042554E-01   2.1515028322391151E-02
         2          7   3.2809074045257630E-01   4.3650763218550659E-01   3.8449773538149917E-01   2.8710573358788519E-02
         2          8   1.2024745408059731E-01   2.3088149333722682E-01   1.7607271570991997E-01   2.9662050611621707E-02
