################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0967761032508792E-01 a         1     0     1     1     1
  3.3247802609583404E-01 a         2     0     1     1     2
 -4.1336535294397747E-01 a         3     0     1     1     3
 -4.4596126257331514E-01 a         4     0     1     1     4
 -1.4643501946313872E-01 a         5     0     1     1     5
  2.3609880815506955E-03 a         6     0     1     1     6
 -2.3192328728678702E-01 a         7     0     1     1     7
 -2.8232924076421861E-01 a         8     0     1     1     8
  3.1139090280303505E-01 a         9     0     1     1     9
  6.4234514653219776E-02 a        10     0     1     1    10
  1.7237962789152653E-01 a        11     0     1     1    11
 -3.0517170020961648E-01 a        12     0     1     1    12
  3.6752599258104662E-01 a        13     0     1     1    13
  2.3224912491503338E-01 a        14     0     1     1    14
  3.7616875988227640E-02 a        15     0     1     1    15
 -1.9277153548769824E-01 a        16     0     2     1     1
  5.2777197385203201E-01 a        17     0     2     1     2
  2.9268301043724082E-01 a        18     0     2     1     3
 -4.6029439241168896E-01 a        19     0     2     1     4
 -5.7966446901913993E-01 a        20     0     2     1     5
  1.3589628863657936E-02 a        21     0     2     1     6
 -3.6144422761485290E-01 a        22     0     2     1     7
  4.1344441876641974E-01 a        23     0     2     1     8
 -1.3372851343301151E-01 a        24     0     2     1     9
 -9.2520778818760127E-02 a        25     0     2     1    10
 -6.7403167418363108E-02 a        26     0     2     1    11
 -6.1833153843424304E-02 a        27     0     2     1    12
 -3.1915128227055806E-01 a        28     0     2     1    13
  4.0043435766472085E-01 a        29     0     2     1    14
 -2.9253557685949488E-01 a        30     0     2     1    15
 -6.2734646767903399E-02 a        31     0     3     1     1
  2.1596353589859699E-01 a        32     0     3     1     2
 -4.0669596849012657E-01 a        33     0     3     1     3
  3.6060963555767905E-01 a        34     0     3     1     4
 -4.1190842851422027E-01 a        35     0     3     1     5
 -1.8404936259526306E-01 a        36     0     3     1     6
  1.0383496077672440E-01 a        37     0     3     1     7
 -1.7120994844421786E-03 a        38     0     3     1     8
  2.7823131748808624E-02 a        39     0     3     1     9
  1.8013131940527166E-01 a        40     0     3     1    10
 -4.9140124873631752E-01 a        41     0     3     1    11
 -3.7720754578340887E-01 a        42     0     3     1    12
  1.1578908405560323E-01 a        43     0     3     1    13
  3.5550045236502004E-01 a        44     0     3     1    14
 -3.3198634124817161E-02 a        45     0     3     1    15
 -2.8528110126341322E-01 a        46     0     4     1     1
 -4.9066323136345701E-02 a        47     0     4     1     2
 -1.4164819904004594E-01 a        48     0     4     1     3
 -2.8646654711024455E-01 a        49     0     4     1     4
 -5.1318981322393531E-01 a        50     0     4     1     5
  2.5163778161359607E-01 a        51     0     4     1     6
 -4.3834137824263697E-01 a        52     0     4     1     7
 -5.1980880923218238E-02 a        53     0     4     1     8
 -3.2553471243334353E-01 a        54     0     4     1     9
 -2.7572447055797117E-01 a        55     0     4     1    10
  8.9664272002563938E-02 a        56     0     4     1    11
 -3.6681137497062705E-01 a        57     0     4     1    12
  5.8908467631396989E-02 a        58     0     4     1    13
 -3.5772115247503712E-02 a        59     0     4     1    14
  2.6706495191188406E-01 a        60     0     4     1    15
  4.0410734911932228E-01 a        61     0     5     1     1
  4.2543431188109360E-01 a        62     0     5     1     2
 -2.3514520872373762E-01 a        63     0     5     1     3
 -4.2637123945266664E-01 a        64     0     5     1     4
  4.4021268209715708E-01 a        65     0     5     1     5
 -1.7009606828899410E-01 a        66     0     5     1     6
 -4.8129281920501399E-01 a        67     0     5     1     7
  1.4467744555138215E-01 a        68     0     5     1     8
 -6.1679699228679871E-02 a        69     0     5     1     9
 -2.2226584934700214E-01 a        70     0     5     1    10
  2.2654870705990184E-02 a        71     0     5     1    11
 -1.9676514918964222E-01 a        72     0     5     1    12
 -4.3614615558267406E-01 a        73     0     5     1    13
  3.9320443494791313E-01 a        74     0     5     1    14
  1.2736355489092105E-01 a        75     0     5     1    15
  4.2718707901289837E-01 a        76     0     6     1     1
 -1.9110779221637984E-02 a        77     0     6     1     2
 -1.4273808663229756E-01 a        78     0     6     1     3
  2.0269685605175152E-02 a        79     0     6     1     4
  6.4871825452781451E-01 a        80     0     6     1     5
 -3.7483149437005647E-01 a        81     0     6     1     6
 -4.3989722020509947E-01 a        82     0     6     1     7
 -4.4710630593117573E-01 a        83     0     6     1     8
 -4.2142102034462281E-01 a        84     0     6     1     9
  5.3433322336811273E-01 a        85     0     6     1    10
 -6.1129010280398403E-02 a        86     0     6     1    11
  4.2515885101972195E-01 a        87     0     6     1    12
  1.8547483920353808E-01 a        88     0     6     1    13
  4.8402683015108416E-01 a        89     0     6     1    14
 -3.3749818583181374E-01 a        90     0     6     1    15
  7.0105012960835766E-02 a        91     0     7     1     1
  3.2827111207068232E-01 a        92     0     7     1     2
  7.8596712297920118E-02 a        93     0     7     1     3
 -5.5945810142505679E-02 a        94     0     7     1     4
  1.4726158455076277E-01 a        95     0     7     1     5
 -8.3956692913494960E-02 a        96     0     7     1     6
 -5.1974709210651060E-01 a        97     0     7     1     7
 -2.0645202956066436E-01 a        98     0     7     1     8
  2.7414701820420495E-01 a        99     0     7     1     9
  3.7088083164295788E-01 a       100     0     7     1    10
  1.5810772936301137E-01 a       101     0     7     1    11
 -3.0963799341047854E-01 a       102     0     7     1    12
 -1.4587434259298912E-01 a       103     0     7     1    13
  3.2633290009467786E-01 a       104     0     7     1    14
 -1.9770370642158777E-01 a       105     0     7     1    15
  2.3687416053009730E-01 a       106     0     8     1     1
 -2.1025314781060195E-01 a       107     0     8     1     2
  2.7066623038207582E-01 a       108     0     8     1     3
 -3.8308804210282439E-02 a       109     0     8     1     4
  4.0870894010265246E-01 a       110     0     8     1     5
 -4.9071531589109402E-01 a       111     0     8     1     6
  5.6029413066056251E-02 a       112     0     8     1     7
 -1.0223143496243919E-01 a       113     0     8     1     8
 -1.1974565123678192E-01 a       114     0     8     1     9
  7.0985077450823753E-01 a       115     0     8     1    10
