################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8233582653641855E-01 a         1     0     1     1     1
  1.5488438271798527E-01 a         2     0     1     1     2
 -3.2522445417671741E-01 a         3     0     1     1     3
 -1.9280552094951042E-01 a         4     0     1     1     4
 -7.4113708689999808E-02 a         5     0     1     1     5
 -1.4757824313392059E-01 a         6     0     1     1     6
 -2.8968860854252282E-01 a         7     0     1     1     7
  1.3860035587165290E-01 a         8     0     1     1     8
  1.7713111185510236E-01 a         9     0     1     1     9
 -2.6143681315185519E-03 a        10     0     1     1    10
 -2.0306367599235015E-02 a        11     0     2     1     1
 -3.1716086960463152E-01 a        12     0     2     1     2
  2.7106973082669378E-01 a        13     0     2     1     3
  1.8159258516689261E-01 a        14     0     2     1     4
  4.1422848971379110E-04 a        15     0     2     1     5
  1.6787369955620794E-02 a        16     0     2     1     6
  4.4099447264745767E-02 a        17     0     2     1     7
  4.6155506613619557E-02 a        18     0     2     1     8
 -5.3952483015188894E-02 a        19     0     2     1     9
  1.8825018181463080E-01 a        20     0     2     1    10
  1.9338018466457696E-01 a        21     0     3     1     1
 -2.9598661495987728E-02 a        22     0     3     1     2
 -7.2269900989028815E-02 a        23     0     3     1     3
 -8.6756113853068112E-02 a        24     0     3     1     4
  8.0224910634461064E-02 a        25     0     3     1     5
 -1.7452950210151016E-01 a        26     0     3     1     6
  1.0103800647436757E-02 a        27     0     3     1     7
 -2.4574507467331080E-01 a        28     0     3     1     8
  1.4807574653393532E-01 a        29     0     3     1     9
  2.7120172918449303E-01 a        30     0     3     1    10
 -9.7170322502494882E-03 a        31     0     4     1     1
  3.7976713034205530E-02 a        32     0     4     1     2
  1.6452778023125975E-01 a        33     0     4     1     3
  1.6112488660596450E-01 a        34     0     4     1     4
  7.6916291458376557E-02 a        35     0     4     1     5
 -5.5496291907111521E-03 a        36     0     4     1     6
  2.5997901221151865E-01 a        37     0     4     1     7
 -2.5619321851205007E-01 a        38     0     4     1     8
  1.1864549802057076E-01 a        39     0     4     1     9
  1.1531745827828076E-01 a        40     0     4     1    10
  1.0323381625167284E-01 a        41     0     5     1     1
  1.2643677221021304E-01 a        42     0     5     1     2
 -3.8203501592069665E-02 a        43     0     5     1     3
  1.7214052186668791E-01 a        44     0     5     1     4
  2.0672129041929102E-01 a        45     0     5     1     5
  2.1818296423761485E-01 a        46     0     5     1     6
  2.0478171888101018E-01 a        47     0     5     1     7
  1.8553280912064951E-01 a        48     0     5     1     8
  1.7069915144876144E-01 a        49     0     5     1     9
 -2.1201464590419739E-01 a        50     0     5     1    10
  4.2264434964465580E-01 a        51     0     6     1     1
 -1.5458968300611403E-01 a        52     0     6     1     2
 -5.3298972053037859E-02 a        53     0     6     1     3
  3.2322209412423802E-01 a        54     0     6     1     4
 -1.5893429309672319E-01 a        55     0     6     1     5
