################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.3227942714707811E-01 a         1     0     1     1     1
  2.1476574592839340E-01 a         2     0     1     1     2
 -3.6208914533274994E-01 a         3     0     1     1     3
 -2.3826612118962792E-01 a         4     0     1     1     4
 -8.3322648265833008E-02 a         5     0     1     1     5
 -2.6350651001640713E-01 a         6     0     1     1     6
 -3.1137834675423504E-01 a         7     0     1     1     7
  1.8733241896068697E-01 a         8     0     1     1     8
  3.5195270745990398E-01 a         9     0     1     1     9
  1.5499693944366125E-01 a        10     0     1     1    10
 -1.6069976823443247E-01 a        11     0     2     1     1
 -3.9509276595686488E-01 a        12     0     2     1     2
  3.6347309399295374E-01 a        13     0     2     1     3
  2.6438066786483039E-01 a        14     0     2     1     4
  1.3386456172383114E-02 a        15     0     2     1     5
 -2.1254543953084570E-02 a        16     0     2     1     6
  8.4116343490951859E-02 a        17     0     2     1     7
  1.2574333059073844E-01 a        18     0     2     1     8
 -7.4788667183986086E-03 a        19     0     2     1     9
  2.7449369361141207E-01 a        20     0     2     1    10
  1.6422882575662656E-01 a        21     0     3     1     1
 -5.1336023231779659E-02 a        22     0     3     1     2
 -9.9215378855185235E-02 a        23     0     3     1     3
 -1.3596715108111346E-01 a        24     0     3     1     4
  1.2975930197080726E-01 a        25     0     3     1     5
 -1.4318484033098380E-01 a        26     0     3     1     6
  3.5102176928325452E-03 a        27     0     3     1     7
 -2.5297862988690339E-01 a        28     0     3     1     8
  2.4518981908302381E-01 a        29     0     3     1     9
  3.5406418260801686E-01 a        30     0     3     1    10
 -2.3288518330249100E-01 a        31     0     4     1     1
  7.1488140912757500E-02 a        32     0     4     1     2
  2.3053134637669551E-01 a        33     0     4     1     3
  2.2597530458607903E-01 a        34     0     4     1     4
  8.2792319332373743E-02 a        35     0     4     1     5
  1.4159672702119477E-01 a        36     0     4     1     6
  3.2581519800111791E-01 a        37     0     4     1     7
 -2.4808827354529675E-01 a        38     0     4     1     8
  1.6539350014571996E-01 a        39     0     4     1     9
  2.1487596223169270E-01 a        40     0     4     1    10
  2.8156510411276238E-02 a        41     0     5     1     1
  1.0607895730030728E-01 a        42     0     5     1     2
  4.2662943670387046E-02 a        43     0     5     1     3
  2.5759917458041282E-01 a        44     0     5     1     4
  2.5213222815004449E-01 a        45     0     5     1     5
  2.8693348443623040E-01 a        46     0     5     1     6
  2.6210455055513321E-01 a        47     0     5     1     7
  2.4937157534690210E-01 a        48     0     5     1     8
  2.9593592854343365E-01 a        49     0     5     1     9
 -2.7626135353238412E-01 a        50     0     5     1    10
  2.6116380659149679E-01 a        51     0     6     1     1
 -2.2955800126418452E-01 a        52     0     6     1     2
 -4.1493977415191161E-02 a        53     0     6     1     3
  3.2784039716407742E-01 a        54     0     6     1     4
 -1.9413171118979203E-01 a        55     0     6     1     5
 -3.9575010648226389E-01 a        56     0     6     1     6
  2.2071357946797390E-01 a        57     0     6     1     7
  3.7523973519131232E-01 a        58     0     6     1     8
  5.2794860922420375E-02 a        59     0     6     1     9
  2.8000782928277412E-01 a        60     0     6     1    10
 -1.2361724556340925E-01 a        61     0     7     1     1
 -1.7568010391737163E-01 a        62     0     7     1     2
 -2.1824757753809421E-01 a        63     0     7     1     3
 -1.7250506100738669E-01 a        64     0     7     1     4
 -2.7440425498420751E-01 a        65     0     7     1     5
 -3.4394543388565568E-01 a        66     0     7     1     6
