################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9743214730160577E-01 a         1     0     1     1     1
  2.0371491803421110E-01 a         2     0     1     1     2
 -2.9948598605956578E-01 a         3     0     1     1     3
 -1.7486931825494015E-01 a         4     0     1     1     4
 -7.5049277629928204E-02 a         5     0     1     1     5
 -2.2324836258268102E-01 a         6     0     1     1     6
 -3.0935929526535227E-01 a         7     0     1     1     7
  1.3247370980016746E-01 a         8     0     1     1     8
  3.1671684812806600E-01 a         9     0     1     1     9
  1.2521577683698432E-01 a        10     0     1     1    10
 -1.4368964264588602E-01 a        11     0     1     1    11
 -3.2938020417734271E-01 a        12     0     1     1    12
  2.9362279979134820E-01 a        13     0     1     1    13
  2.2632624902344348E-01 a        14     0     1     1    14
  1.0004653480014912E-02 a        15     0     1     1    15
 -3.5353323553721727E-02 a        16     0     1     1    16
  5.2898373746442323E-02 a        17     0     1     1    17
  1.3309657336981021E-01 a        18     0     1     1    18
  3.4674377528019704E-02 a        19     0     1     1    19
  2.7454139172950159E-01 a        20     0     1     1    20
  1.1291213033073549E-01 a        21     0     1     1    21
 -2.0659071489380232E-02 a        22     0     1     1    22
 -8.1949896982784654E-02 a        23     0     1     1    23
 -1.2164673576311184E-01 a        24     0     1     1    24
  1.0118120438474977E-01 a        25     0     1     1    25
 -1.5237640667284297E-01 a        26     0     2     1     1
 -4.3904503313951480E-02 a        27     0     2     1     2
 -2.1828240818986896E-01 a        28     0     2     1     3
  1.9504032890651560E-01 a        29     0     2     1     4
  3.1475836160148646E-01 a        30     0     2     1     5
 -2.3147158536573498E-01 a        31     0     2     1     6
  1.1007544749465131E-01 a        32     0     2     1     7
  1.8954341457080179E-01 a        33     0     2     1     8
  1.7524056030651572E-01 a        34     0     2     1     9
  1.1375966886002983E-01 a        35     0     2     1    10
  1.2760321278144876E-01 a        36     0     2     1    11
  2.3563554399738085E-01 a        37     0     2     1    12
 -2.1171012794043759E-01 a        38     0     2     1    13
  1.4676410681427043E-01 a        39     0     2     1    14
  1.8754420872899832E-01 a        40     0     2     1    15
 -2.0205701825859904E-02 a        41     0     2     1    16
  1.0735734481897696E-01 a        42     0     2     1    17
  1.2136886754407513E-02 a        43     0     2     1    18
  1.8706953625890804E-01 a        44     0     2     1    19
  1.9330081591810583E-01 a        45     0     2     1    20
  2.2495356140408496E-01 a        46     0     2     1    21
  2.1968909567727493E-01 a        47     0     2     1    22
  1.9648901295825949E-01 a        48     0     2     1    23
  2.9309563487411450E-01 a        49     0     2     1    24
 -2.0384329772302118E-01 a        50     0     2     1    25
  2.2983036719945965E-01 a        51     0     3     1     1
 -1.7682760040551973E-01 a        52     0     3     1     2
 -2.7672726792162979E-02 a        53     0     3     1     3
  3.0387227474701622E-01 a        54     0     3     1     4
 -1.6578462044635170E-01 a        55     0     3     1     5
 -3.2562681847067565E-01 a        56     0     3     1     6
  1.5081974447667970E-01 a        57     0     3     1     7
  2.9586885885575553E-01 a        58     0     3     1     8
  6.3016859641703962E-02 a        59     0     3     1     9
  2.2217463476586127E-01 a        60     0     3     1    10
 -1.2002371811045943E-01 a        61     0     3     1    11
 -1.2785711933491739E-01 a        62     0     3     1    12
 -1.9910590640840034E-01 a        63     0     3     1    13
 -1.4295834159484425E-01 a        64     0     3     1    14
 -2.2858238932677027E-01 a        65     0     3     1    15
 -3.0804602848718865E-01 a        66     0     3     1    16
 -7.2022626304368662E-02 a        67     0     3     1    17
  2.5589827138520321E-01 a        68     0     3     1    18
 -9.6067567935919557E-02 a        69     0     3     1    19
  3.2877447816670807E-01 a        70     0     3     1    20
  2.2984089077257797E-01 a        71     0     3     1    21
  2.5247726304427526E-01 a        72     0     3     1    22
 -1.2959600918670733E-01 a        73     0     3     1    23
 -8.6883885294716079E-02 a        74     0     3     1    24
 -1.5225337821581067E-03 a        75     0     3     1    25
 -6.9597185212019672E-02 a        76     0     4     1     1
  1.0808239883035630E-02 a        77     0     4     1     2
 -3.3643392383571763E-01 a        78     0     4     1     3
 -2.7718376728362237E-01 a        79     0     4     1     4
  5.5928374994603472E-02 a        80     0     4     1     5
  2.6210564828618871E-01 a        81     0     4     1     6
  2.3360111163123942E-01 a        82     0     4     1     7
 -2.2762036672475003E-01 a        83     0     4     1     8
 -4.5782067624664698E-02 a        84     0     4     1     9
 -3.1784547886082432E-01 a        85     0     4     1    10
 -4.1267663786023173E-02 a        86     0     4     1    11
 -3.2438136092458991E-02 a        87     0     4     1    12
 -2.3046689625412203E-01 a        88     0     4     1    13
 -3.1704017823702368E-01 a        89     0     4     1    14
  3.3400806962877050E-01 a        90     0     4     1    15
 -6.3345973106428047E-02 a        91     0     4     1    16
  2.2913508720019202E-01 a        92     0     4     1    17
 -1.4353048216133822E-03 a        93     0     4     1    18
  3.1144919139027449E-01 a        94     0     4     1    19
 -1.6147379924303193E-01 a        95     0     4     1    20
 -2.1428269341937253E-01 a        96     0     4     1    21
  2.6351411749883130E-01 a        97     0     4     1    22
  3.2083474940257078E-01 a        98     0     4     1    23
  2.1058537788779888E-01 a        99     0     4     1    24
 -8.6100231299760008E-02 a       100     0     4     1    25
 -3.1769451722948650E-03 a       101     0     5     1     1
 -2.5257581563463155E-01 a       102     0     5     1     2
  3.3006733734690880E-01 a       103     0     5     1     3
 -5.7916499975170642E-02 a       104     0     5     1     4
 -3.0629541235797336E-01 a       105     0     5     1     5
 -6.1738739384171980E-02 a       106     0     5     1     6
 -1.1900331313587900E-01 a       107     0     5     1     7
 -8.6048914945091592E-02 a       108     0     5     1     8
 -1.6155400541449971E-01 a       109     0     5     1     9
  1.1926345529329822E-01 a       110     0     5     1    10
  2.5274736114469498E-01 a       111     0     5     1    11
  2.3240184852930007E-01 a       112     0     5     1    12
 -2.5141295100884448E-01 a       113     0     5     1    13
  1.8665874317967030E-02 a       114     0     5     1    14
 -1.1245892663047292E-01 a       115     0     5     1    15
 -3.0902890684949585E-01 a       116     0     5     1    16
 -2.9901179863423205E-01 a       117     0     5     1    17
  1.8660143810647681E-01 a       118     0     5     1    18
  9.8363388357287626E-02 a       119     0     5     1    19
 -1.7252889995357396E-01 a       120     0     5     1    20
  1.1619628271403995E-01 a       121     0     5     1    21
 -2.1183206066952942E-01 a       122     0     5     1    22
 -5.2448042328409966E-02 a       123     0     5     1    23
  8.9870590409849294E-02 a       124     0     5     1    24
 -1.6996710030133429E-02 a       125     0     5     1    25
 -6.9338135875738144E-02 a       126     0     6     1     1
  2.2485930547350660E-01 a       127     0     6     1     2
 -2.8166451479967519E-02 a       128     0     6     1     3
 -1.7922675194684334E-01 a       129     0     6     1     4
  3.2973809840158952E-01 a       130     0     6     1     5
 -1.0928230220808095E-01 a       131     0     6     1     6
  2.1574650866429176E-01 a       132     0     6     1     7
 -7.0669383275265771E-02 a       133     0     6     1     8
 -6.9369480936504302E-02 a       134     0     6     1     9
 -2.4862366414175027E-01 a       135     0     6     1    10
  2.7855816912473569E-01 a       136     0     6     1    11
  2.7589535839095004E-03 a       137     0     6     1    12
  2.7256720018227115E-01 a       138     0     6     1    13
  7.2949513791584653E-02 a       139     0     6     1    14
  4.1876735129144894E-02 a       140     0     6     1    15
  1.3150839007845513E-01 a       141     0     6     1    16
 -5.8400063853043756E-02 a       142     0     6     1    17
  2.2772727790814043E-01 a       143     0     6     1    18
  3.5351540354398353E-01 a       144     0     6     1    19
 -1.0961238795183011E-01 a       145     0     6     1    20
  1.5532941477310566E-01 a       146     0     6     1    21
  1.2361292235539394E-01 a       147     0     6     1    22
  2.5619530565777915E-01 a       148     0     6     1    23
 -2.0588849107240090E-01 a       149     0     6     1    24
  1.4783097805736994E-01 a       150     0     6     1    25
 -5.0562654806433890E-02 a       151     0     7     1     1
 -2.3120526466603877E-01 a       152     0     7     1     2
 -2.6815623997860347E-02 a       153     0     7     1     3
 -2.0181776875387097E-01 a       154     0     7     1     4
 -7.1703575687550050E-02 a       155     0     7     1     5
 -3.2793546299372589E-01 a       156     0     7     1     6
 -2.3288362185830166E-01 a       157     0     7     1     7
 -2.6421779680257956E-01 a       158     0     7     1     8
  1.8526474882892280E-01 a       159     0     7     1     9
 -4.0476781489627287E-02 a       160     0     7     1    10
  2.4912494591539228E-01 a       161     0     7     1    11
  2.2803546739788638E-01 a       162     0     7     1    12
 -2.9042603199905725E-01 a       163     0     7     1    13
  3.9163930181580500E-02 a       164     0     7     1    14
  1.2472685650798100E-01 a       165     0     7     1    15
  2.0629326901598874E-01 a       166     0     7     1    16
  1.0141339095458145E-01 a       167     0     7     1    17
  5.8531133804885296E-02 a       168     0     7     1    18
 -2.2412144315681723E-01 a       169     0     7     1    19
  1.2116974888465458E-01 a       170     0     7     1    20
  3.5381869002858828E-02 a       171     0     7     1    21
 -2.8663602375308650E-01 a       172     0     7     1    22
  2.3227885811128995E-01 a       173     0     7     1    23
  2.6485001321031554E-01 a       174     0     7     1    24
 -4.3939888541491175E-02 a       175     0     7     1    25
 -1.0826713255396438E-01 a       176     0     8     1     1
  1.8671538417181976E-01 a       177     0     8     1     2
  6.3610534427485002E-02 a       178     0     8     1     3
 -3.4531127509846532E-01 a       179     0     8     1     4
 -2.4397977353209335E-01 a       180     0     8     1     5
  8.7305709163126285E-02 a       181     0     8     1     6
  3.3064847424571053E-01 a       182     0     8     1     7
  2.8832946917499571E-02 a       183     0     8     1     8
 -2.4765968961027809E-02 a       184     0     8     1     9
 -8.1445340004879241E-02 a       185     0     8     1    10
 -1.8554249980847398E-01 a       186     0     8     1    11
 -2.4043243148102891E-01 a       187     0     8     1    12
  4.3961265016625020E-02 a       188     0     8     1    13
  2.1953724552425646E-01 a       189     0     8     1    14
 -3.1374636289394142E-01 a       190     0     8     1    15
 -3.1462343650401105E-02 a       191     0     8     1    16
  2.0237282136813700E-01 a       192     0     8     1    17
 -2.3511051220764304E-01 a       193     0     8     1    18
  1.2282180324661952E-01 a       194     0     8     1    19
  3.1688404515121074E-02 a       195     0     8     1    20
  3.2891459708366932E-02 a       196     0     8     1    21
  2.1351215190901282E-01 a       197     0     8     1    22
 -5.8235467173866559E-02 a       198     0     8     1    23
 -2.6212369784261058E-01 a       199     0     8     1    24
 -4.6902674061563718E-02 a       200     0     8     1    25
  7.4392713806072375E-02 a       201     0     9     1     1
  2.2303322131407866E-01 a       202     0     9     1     2
  2.6986097221829231E-01 a       203     0     9     1     3
  2.3177800822503927E-01 a       204     0     9     1     4
 -1.3771200005061482E-01 a       205     0     9     1     5
 -1.7103427713544156E-01 a       206     0     9     1     6
 -1.7846382480468806E-01 a       207     0     9     1     7
 -1.3951268235515266E-02 a       208     0     9     1     8
  5.7985734818099467E-02 a       209     0     9     1     9
  7.4426764564580805E-02 a       210     0     9     1    10
 -5.8876816543465264E-02 a       211     0     9     1    11
  2.4271085204970769E-01 a       212     0     9     1    12
  3.1379948189690238E-01 a       213     0     9     1    13
 -2.3465264612444175E-01 a       214     0     9     1    14
 -7.4214687587240827E-02 a       215     0     9     1    15
 -3.6313977684693999E-01 a       216     0     9     1    16
 -1.1242701715565119E-01 a       217     0     9     1    17
  2.8026874706991745E-01 a       218     0     9     1    18
 -2.3736703702583387E-01 a       219     0     9     1    19
  2.3376768523234151E-01 a       220     0     9     1    20
 -2.5973951499650905E-01 a       221     0     9     1    21
 -1.8857688602344211E-01 a       222     0     9     1    22
 -8.6205209627785107E-02 a       223     0     9     1    23
  2.7128711589727039E-01 a       224     0     9     1    24
 -2.7823532463922601E-01 a       225     0     9     1    25
  2.4155050552882931E-01 a       226     0    10     1     1
  2.3046089977104256E-01 a       227     0    10     1     2
  6.9902989571420215E-02 a       228     0    10     1     3
  1.2817956596486410E-01 a       229     0    10     1     4
  2.9679421225384151E-01 a       230     0    10     1     5
  7.9783231886691702E-02 a       231     0    10     1     6
 -8.8219833704180906E-02 a       232     0    10     1     7
 -5.0085453665892621E-03 a       233     0    10     1     8
  3.3557493913464892E-01 a       234     0    10     1     9
 -2.2139482455129075E-01 a       235     0    10     1    10
  3.2369477073864333E-01 a       236     0    10     1    11
 -1.3284404470023481E-01 a       237     0    10     1    12
  1.8601112727301919E-01 a       238     0    10     1    13
  7.8994744376339285E-02 a       239     0    10     1    14
 -2.5519736097635431E-01 a       240     0    10     1    15
