################################################################################
# Force comparison.
################################################################################
# Col  Name    Description
################################################################################
# 1    index_s Structure index.
# 2    index_a Atom index (x, y, z components in consecutive lines).
# 3    Fref    Reference force (training units).
# 4    Fnnp    NNP force (training units).
################################################################################
#        1          2                3                4
#  index_s    index_a             Fref             Fnnp
#######################################################
         2          0   1.90774446E-01   2.58371076E-01
         2          0  -1.15111682E-01  -1.01703904E+00
         2          0   1.89612496E-01   3.38952909E-01
         2          1  -5.27841471E-02  -5.95170359E-01
         2          1   4.15685543E-01   1.42253283E+00
         2          1  -1.00517043E+00  -1.29813161E+00
         2          2   4.15133371E-02   2.08115452E-01
         2          2  -4.03701739E-01  -2.87524175E-01
         2          2   8.70713052E-01   1.02602263E+00
         2          3  -7.05475505E-01  -1.17671674E+00
         2          3  -1.22809459E+00  -2.17744233E+00
         2          3  -4.30303273E-02  -8.33398027E-01
         2          4   7.43186691E-01   1.04984310E+00
         2          4   6.93310556E-01   1.54757019E+00
         2          4   4.71786538E-01   6.49592351E-01
         2          5  -2.83529388E-01   6.48221370E-02
         2          5   3.59277400E-01   4.18166293E-01
         2          5  -2.75680137E-01   2.76363702E-01
         2          6  -2.28779631E-01  -1.16151998E-01
         2          6   2.12928600E-01  -5.97407138E-01
         2          6   1.34127443E-02   6.06151237E-01
         2          7   1.00388827E+00   1.41005981E+00
         2          7  -7.53757581E-01  -5.29424904E-01
         2          7  -1.34797963E-01  -4.33762199E-01
         2          8  -8.78562266E-01  -1.03255337E+00
         2          8   8.74783426E-01   1.19541695E+00
         2          8   1.44815933E-01  -1.17755386E-01
         2          9  -1.79835702E-01  -4.51187809E-01
         2          9   1.43085504E+00   1.48717847E+00
         2          9   3.19864980E-02  -2.09689728E-01
         2         10   6.19953948E-02   4.09403746E-01
         2         10  -2.61021651E-01  -5.04668247E-01
         2         10  -5.88992673E-01  -1.23931178E+00
         2         11   1.59059944E-01   1.28828884E-01
         2         11  -8.42242738E-01  -1.33609405E+00
         2         11   7.89545894E-01   1.17295080E+00
         2         12  -7.25217335E-01  -1.79716975E+00
         2         12   3.70343793E-01  -4.53983170E-01
         2         12  -5.23029898E-02  -2.85327383E-01
         2         13   6.91965221E-01   9.29043461E-01
         2         13  -9.27967292E-01  -1.05936547E+00
         2         13   2.36919408E-01   1.60008419E-01
         2         14  -3.26297582E-01   2.49573609E-01
         2         14   5.06037090E-01   1.56591744E+00
         2         14  -1.75528000E-01   4.64003341E-02
         2         15  -5.88096032E-01  -1.22070302E+00
         2         15  -2.37657319E-02  -3.95686974E-01
         2         15   4.24417576E-01   1.07001809E+00
         2         16   2.69587931E-01   8.00729865E-01
         2         16   2.43560200E-01   4.52286137E-01
         2         16   1.90856519E-01   5.79945972E-01
         2         17  -2.41651522E-02  -1.90602067E-02
         2         17  -2.10455646E-01  -4.49865293E-01
         2         17  -1.01982018E+00  -1.67992164E+00
         2         18  -2.38649033E-01   4.77277280E-01
         2         18   6.64559580E-01   9.84718787E-01
         2         18   3.98041081E-02  -1.99648792E-01
         2         19   6.05281827E-01   9.19767600E-02
         2         19   7.82124865E-02   6.42262316E-01
         2         19  -2.09974900E-01  -3.80830619E-01
         2         20   1.75704212E-02  -4.17894896E-01
         2         20  -7.23829413E-01  -1.19040166E+00
         2         20  -3.08967590E-02   1.79562130E-01
         2         21   7.72788621E-01   1.22337004E+00
         2         21   5.89948189E-01   1.36716183E+00
         2         21  -2.55027918E-02   5.29559869E-01
         2         22  -5.29980902E-01  -6.81007484E-01
         2         22   1.56002167E-02   1.71673703E-01
         2         22   6.46008389E-01   1.20751791E+00
         2         23  -3.77001545E-01  -3.11860199E-01
         2         23  -7.07637686E-01  -1.51701725E+00
         2         23  -7.32900460E-01  -1.58360143E+00
         2         24  -4.39536150E-01  -1.26323917E+00
         2         24  -3.74276955E-01  -4.84709273E-01
         2         24   1.06199850E-01   6.11468708E-01
         2         25   1.51596029E-01   1.71873594E-01
         2         25  -4.01318404E-02  -3.49779065E-01
         2         25   6.52733758E-01   1.64094829E+00
         2         26   5.24662471E-01   1.35077368E+00
         2         26   3.88898794E-01   1.07457302E+00
         2         26  -8.51683880E-01  -1.91104825E+00
         2         27  -4.69826644E-01  -6.08321858E-01
         2         27   1.06712503E+00   9.62752758E-01
         2         27  -8.88235918E-01  -1.06806458E+00
         2         28   3.41617995E-01  -1.21841053E-02
         2         28  -1.22151562E+00  -1.34771817E+00
         2         28   8.49605415E-01   1.00946226E+00
         2         29   5.15802826E-01   7.45944094E-01
         2         29  -1.91905203E-01   1.01464552E-01
         2         29  -1.37919396E-01  -1.15021224E-01
         2         30  -4.06314856E-01  -9.45343496E-01
         2         30  -2.79954292E-01  -4.58926279E-01
         2         30   7.45172025E-01   5.28044092E-01
         2         31   6.51878732E-01   1.73208529E+00
         2         31   4.72059803E-01   1.26769811E+00
         2         31   4.95286774E-01   1.13787376E+00
         2         32  -3.08766385E-01  -5.03869311E-01
         2         32  -1.81362891E-01  -4.55282138E-01
         2         32  -1.17695437E+00  -1.86827132E+00
         2         33   1.39012609E-01   1.14048495E+00
         2         33   3.18284520E-01  -4.45079578E-01
         2         33  -9.63514653E-01  -1.88430801E+00
         2         34   6.50334658E-01   3.76300481E-01
         2         34  -1.04808873E+00  -7.42894853E-01
         2         34   5.66085815E-01   5.87103215E-01
         2         35  -7.97380053E-01  -1.77943038E+00
         2         35   6.26370299E-01   8.07557535E-01
         2         35   7.99726180E-01   1.77117039E+00
         2         36  -6.33671786E-01  -1.70556863E+00
         2         36  -2.93410744E-01  -2.80499124E-01
         2         36  -8.51427985E-01  -1.20737008E+00
         2         37  -2.59734891E-01  -3.14404638E-01
         2         37  -3.79491871E-02  -3.33434883E-01
         2         37   4.10036727E-01   8.95299570E-01
         2         38   1.27395437E+00   2.24608057E+00
         2         38   3.45477452E-01   7.13417407E-01
         2         38   5.86419603E-01   5.77972012E-01
         2         39  -1.22257013E+00  -1.34060155E+00
         2         39  -1.32433306E-02  -2.97602549E-01
         2         39  -5.09866436E-02   5.23489755E-01
         2         40   8.54325725E-01   1.03257733E+00
         2         40  -5.50581904E-01  -5.55758010E-01
         2         40   3.61769519E-01   3.35509336E-01
         2         41  -1.35572409E-01  -2.20281197E-01
         2         41   2.51507326E-01   6.24263065E-01
         2         41  -4.02302049E-01  -6.81175181E-01
         2         42   3.40799467E-01  -2.41488997E-01
         2         42  -1.86148799E-01   9.43648701E-01
         2         42   3.69847432E-01   1.56111186E+00
         2         43  -4.00265686E-01  -2.86575651E-01
         2         43   7.96236595E-01   3.08153075E-01
         2         43   2.59674336E-01   3.50344961E-01
         2         44   1.71535552E-01   5.08498620E-01
         2         44  -6.57370724E-01  -1.12666766E+00
         2         44  -7.37160046E-01  -2.05403880E+00
         2         45  -6.12734422E-01  -7.08697884E-01
         2         45   2.06777606E+00   4.56420219E+00
         2         45  -3.76128252E-02  -1.12149765E+00
         2         46   5.01070448E-01   9.03434028E-01
         2         46  -7.73625977E-01  -1.35961390E+00
         2         46  -2.55309253E-01  -1.39470559E-01
         2         47   1.50544394E-01   2.40014814E-01
         2         47  -7.41687258E-01  -2.86873017E+00
         2         47   3.95268412E-01   9.38799673E-01
