################################################################################
# Force comparison.
################################################################################
# Col  Name    Description
################################################################################
# 1    index_s Structure index.
# 2    index_a Atom index (x, y, z components in consecutive lines).
# 3    Fref    Reference force (training units).
# 4    Fnnp    NNP force (training units).
################################################################################
#        1          2                3                4
#  index_s    index_a             Fref             Fnnp
#######################################################
         0          0  -2.43945873E-01  -6.77406494E-03
         0          0  -1.06559112E-01  -7.92933663E-03
         0          0  -1.04571589E+00  -3.28077742E-03
         0          1   1.68759484E-01   5.59290477E-02
         0          1  -1.93233205E-02   3.72618768E-02
         0          1   1.88748617E-01   3.65708781E-02
         0          2   3.57935427E-03  -2.96579530E-02
         0          2   8.26060351E-02  -2.94599365E-02
         0          2   8.75182323E-01  -5.97874687E-02
         0          3  -8.63116931E-03   3.20092500E-02
         0          3  -2.67136196E-01  -1.66682838E-02
         0          3   1.00657214E+00   3.49652620E-02
         0          4  -5.73512186E-02  -1.63585189E-02
         0          4   1.04245709E-01   4.63458058E-02
         0          4  -6.87032612E-01  -1.47889636E-02
         0          5   1.04186162E-01  -7.50442444E-03
         0          5   2.34316489E-01  -4.54221142E-02
         0          5  -2.30530924E-01  -1.68494953E-02
         0          6   3.79979304E-01  -7.78388122E-04
         0          6   5.98186737E-01   1.96868545E-02
         0          6   1.31119534E+00  -1.76014560E-02
         0          7  -3.10105930E-01  -2.31556698E-02
         0          7  -9.30168885E-01  -4.45041965E-03
         0          7  -1.13546207E+00  -5.12031067E-02
         0          8  -2.50207791E-01   2.65269394E-02
         0          8   2.64557746E-01  -2.73698839E-02
         0          8  -1.20270301E-01   6.36292867E-02
         0          9  -9.11696033E-01  -1.36996881E-02
         0          9  -4.76464298E-01  -1.96558902E-02
         0          9   4.57358917E-01   1.09207305E-02
         0         10   8.29600667E-02  -8.09955169E-02
         0         10  -4.41224310E-01  -5.17583788E-03
         0         10  -3.61242749E-01   1.65351693E-02
         0         11   7.93115124E-01   7.81032367E-02
         0         11   8.26803940E-01   3.10249099E-02
         0         11  -2.24408348E-01  -3.18581251E-02
         0         12  -2.03032787E-01  -2.34870097E-02
         0         12  -6.82847702E-02   2.94035123E-02
         0         12   2.04182857E-01  -3.70574644E-02
         0         13  -6.39323143E-02  -5.28714727E-02
         0         13   3.82719322E-01   1.71973621E-02
         0         13  -1.03644711E-01   6.24932890E-02
         0         14   5.46733767E-01   7.54384083E-02
         0         14  -2.49195717E-01  -4.90555392E-02
         0         14  -1.69147996E-01  -4.54440721E-02
         0         15   2.00219250E-01  -2.64063377E-02
         0         15   9.24557688E-01   3.41002704E-03
         0         15  -1.99195445E-01   1.09463396E-02
         0         16  -4.82157456E-01   9.15233802E-03
         0         16  -9.85816292E-01   5.24737298E-02
         0         16  -4.95453386E-02  -1.50083937E-02
         0         17   2.51913209E-01  -2.19438563E-02
         0         17   1.44941639E-01  -4.59091732E-02
         0         17  -1.75134146E-02   1.86536107E-02
         0         18  -4.47240905E-03  -2.13568388E-02
         0         18   3.08804713E-01   5.44923889E-02
         0         18   2.43950131E-01  -2.00578531E-02
         0         19   5.25249647E-03   1.73828182E-02
         0         19  -4.17084000E-01  -3.18785897E-02
         0         19  -5.13728396E-02  -6.44570139E-02
         0         20  -8.59216868E-02   3.44099311E-02
         0         20  -8.65377026E-03  -1.11219656E-02
         0         20  -2.92361836E-01   5.05936835E-02
         0         21   2.43742688E-01   2.32193348E-02
         0         21  -1.06618551E+00   1.19439062E-02
         0         21  -1.96662795E-01  -2.93304202E-02
         0         22  -1.18448747E+00   4.55494867E-02
         0         22   9.76316947E-01  -7.01096941E-03
         0         22   2.66869916E-01   3.48231958E-02
         0         23   7.37113836E-01  -5.97934978E-02
         0         23   2.22472661E-01   7.95254180E-03
         0         23   1.69971567E-01  -1.93319077E-03
         0         24  -5.55374238E-01  -1.11800269E-02
         0         24  -4.35785328E-01  -1.21511501E-02
         0         24   9.92227003E-01  -5.58108192E-02
         0         25   7.50525646E-01   4.18487942E-02
         0         25   5.51717405E-02   1.18347130E-02
         0         25  -3.10525785E-01  -5.11712893E-02
         0         26  -1.19521406E-01  -5.09256763E-03
         0         26   2.29502712E-01  -3.58981363E-02
         0         26  -6.21854033E-01   8.55676141E-02
         0         27  -9.48354239E-02  -5.53277331E-02
         0         27   9.76971217E-01  -2.96996672E-02
         0         27   1.99713810E-01  -2.02198622E-02
         0         28  -5.22154289E-01  -3.19347559E-03
         0         28  -2.13447712E-01   9.86058749E-02
         0         28  -9.69547199E-02   1.28954240E-02
         0         29   7.70767947E-01   5.74841373E-02
         0         29  -8.33187493E-01  -6.52210852E-02
         0         29   1.79029726E-01   6.24140902E-03
         0         30   3.91199532E-02   4.06139917E-02
         0         30  -3.05937270E-01   1.76576345E-02
         0         30   3.46508465E-01   1.05427579E-02
         0         31   1.61595247E-01  -5.91104774E-02
         0         31   8.39077747E-03   2.66959824E-02
         0         31   1.89524969E-01  -2.59688168E-02
         0         32  -1.56876842E-01   1.36744945E-02
         0         32   3.42670377E-01  -1.90216091E-02
         0         32  -6.27213408E-01   3.94938214E-02
         0         33   2.03952948E+00   1.26608365E-02
         0         33  -2.56891879E-01  -8.59929872E-03
         0         33   6.99825530E-01  -2.30568029E-03
         0         34  -1.23690503E+00  -5.85091886E-02
         0         34   7.30903881E-01  -1.69194930E-02
         0         34   9.92709990E-02  -2.48042595E-02
         0         35  -7.16224065E-01   4.39756707E-02
         0         35  -7.31792752E-01   6.42720708E-03
         0         35  -7.25021584E-01   3.84761316E-02
         0         36  -1.19733220E-01   1.01947980E-01
         0         36  -4.63616315E-01   9.71911056E-03
         0         36   6.56511776E-01   2.18756243E-04
         0         37  -2.37588209E-02  -4.76694485E-02
         0         37   6.80363093E-03   3.01108379E-02
         0         37  -1.12618033E-01  -3.01266969E-02
         0         38   7.89274981E-02   3.85448372E-03
         0         38   6.08349279E-01  -4.69958000E-02
         0         38  -5.06348609E-01   1.06679966E-02
         0         39  -4.07467467E-01   6.51643858E-02
         0         39  -3.53461225E-01   2.97216121E-02
         0         39   6.90095320E-02  -3.96968248E-02
         0         40   1.81053202E-01  -6.72548148E-02
         0         40  -1.04594063E-01   5.82762235E-03
         0         40  -3.17722821E-01   1.99104771E-02
         0         41   7.48580583E-02  -2.50487451E-02
         0         41   8.98240029E-01  -3.58603555E-02
         0         41   1.44219156E-01   2.03289829E-03
         0         42  -7.83999062E-01  -1.33385764E-02
         0         42  -1.86083910E-01   6.29484248E-02
         0         42   4.19152715E-01   2.53979732E-02
         0         43   9.32464021E-01  -2.86552076E-02
         0         43   2.55609565E-02  -3.21410225E-02
         0         43  -3.50929845E-01   2.64804905E-02
         0         44  -1.76736907E-01   3.40812213E-02
         0         44  -7.50908293E-02  -1.93693368E-02
         0         44   1.82592345E-01  -1.52915956E-02
         0         45  -2.08786277E-01  -4.00246770E-03
         0         45  -5.33973835E-01   1.02234395E-02
         0         45  -4.75117393E-02  -1.96128335E-02
         0         46  -1.70175798E-01  -1.91022534E-02
         0         46   1.52850363E-02  -5.53123378E-02
         0         46  -3.64665204E-01  -2.72227501E-02
         0         47   4.03582271E-01   4.49049752E-02
         0         47   5.20813773E-01   5.10836610E-02
         0         47   4.15101542E-01   5.14008762E-02
         0         48   2.73544590E-01   2.08140998E-02
         0         48   4.40633585E-01  -2.52828532E-02
         0         48   4.55441498E-02  -2.08676749E-02
         0         49  -4.45831353E-01   5.10903259E-02
         0         49  -3.22202254E-01   3.30295800E-02
         0         49   2.53812548E-01  -5.08253240E-02
         0         50   6.47985468E-02  -3.08866518E-02
         0         50  -6.17242208E-02  -4.58283434E-02
         0         50  -4.30516581E-01   4.62461699E-02
         0         51   1.53113318E+00   3.80853284E-03
         0         51   4.10984510E-02   6.66397970E-03
         0         51   5.00606475E-01  -6.99348633E-03
         0         52  -9.34441547E-01  -2.89092476E-02
         0         52  -1.44723400E-01   2.95878394E-03
         0         52  -3.40656129E-01   2.05123373E-02
         0         53  -5.76651513E-01   1.85542892E-02
         0         53   7.60466438E-02  -1.36280306E-02
         0         53  -1.51630846E-01  -1.38378681E-02
         0         54  -7.24305676E-02  -1.41775834E-02
         0         54  -1.66956863E-01   2.17320097E-02
         0         54  -7.67299506E-01   3.38113621E-02
         0         55   2.36572847E-01   5.49918640E-02
         0         55   2.44882934E-01   7.25105764E-03
         0         55   5.68106563E-01  -5.92080339E-02
         0         56   3.44804840E-02  -2.08287811E-02
         0         56   1.18444145E-01  -4.23464502E-02
         0         56   2.85645098E-01   4.13696407E-02
         0         57   2.94588272E-01   1.52505762E-02
         0         57   5.73022138E-01  -1.41772815E-02
         0         57  -1.31378347E-02   4.90020262E-02
         0         58   1.05580622E-01  -6.24265309E-02
         0         58   2.29254251E-01   7.71495189E-02
         0         58   1.11072875E-01   7.05181806E-03
         0         59  -4.42794272E-01  -6.29997720E-03
         0         59  -8.21342619E-01  -5.51044590E-02
         0         59  -1.71639218E-01  -3.16105344E-02
         0         60  -2.74142226E-01  -3.03285241E-03
         0         60  -5.09613904E-02   2.82075391E-03
         0         60  -6.99961099E-01  -3.83243862E-02
         0         61   5.01740183E-02  -5.35416807E-02
         0         61   8.23995260E-02  -3.32738973E-03
         0         61   4.22683244E-01   2.23808999E-03
         0         62  -6.52916956E-03   3.17610189E-02
         0         62   6.23000032E-02   1.40122771E-02
         0         62   3.64359437E-01   7.08201601E-02
         0         63   1.79588436E-01  -2.38028845E-02
         0         63  -5.25592098E-01   1.59162171E-02
         0         63  -2.81654070E-02  -3.76724468E-02
         0         64  -1.40065103E-01  -2.96282091E-02
         0         64   3.43281013E-01  -2.10914092E-02
         0         64   8.41499596E-02   6.89090559E-02
         0         65  -1.45599756E-02   5.68481478E-02
         0         65   3.23111484E-01   6.20463551E-03
         0         65  -3.50708356E-02  -3.19989456E-02
         0         66   9.77676254E-01  -2.24658682E-02
         0         66  -5.29698073E-01   1.47729606E-02
         0         66  -9.79655088E-01   4.54316271E-02
         0         67  -4.30546691E-01  -6.34170897E-02
         0         67   4.75359093E-02   2.51905981E-03
         0         67   1.21478461E-01  -3.88792299E-02
         0         68  -6.94950563E-01   6.53111318E-02
         0         68   3.06972879E-01   1.77535446E-02
         0         68   7.94504093E-01  -4.75807926E-03
         0         69  -7.52294011E-01   3.46077177E-02
         0         69  -1.36335268E+00   5.40471218E-03
         0         69  -7.92253337E-01   1.77788255E-02
         0         70   1.42001515E+00  -5.79412955E-02
         0         70   6.16295098E-01   1.58658904E-02
         0         70   6.09213046E-01  -1.06995455E-02
         0         71  -5.58179781E-01   2.45565623E-02
         0         71   1.03334820E+00  -2.12165534E-02
         0         71   2.60126168E-01   1.02442099E-02
         0         72   4.13898462E-01  -1.28034436E-02
         0         72  -3.78597359E-01   7.05347883E-02
         0         72  -4.33775450E-01  -6.70796742E-02
         0         73  -3.28619390E-01  -2.30630598E-03
         0         73   2.15478622E-01  -2.41534034E-02
         0         73  -1.83764344E-01   7.03585441E-02
         0         74  -3.84956704E-01   2.05362677E-02
         0         74   1.16704320E-01  -1.19361424E-02
         0         74   5.21993393E-01  -6.68612016E-02
         0         75  -2.04380625E-01   3.07781666E-02
         0         75   6.69204578E-02   5.54021666E-03
         0         75  -2.35028587E-01  -1.91785547E-02
         0         76   8.93325613E-02   9.15888265E-04
         0         76  -2.64886076E-01   2.18017828E-02
         0         76  -8.30803187E-02   1.99149053E-02
         0         77   2.41477738E-01  -3.04944018E-02
         0         77   9.05699349E-02  -2.02194354E-02
         0         77   2.37107238E-01  -1.10935201E-02
         0         78  -6.06389310E-01   2.65127279E-02
