################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
         0  -1.33917078E+00  -1.19289020E+00
         1  -9.60769205E-01  -8.54827848E-01
         3  -7.43218016E-02  -2.27774087E-02
         4  -6.09187822E-01  -5.63367121E-01
         5  -7.83121240E-01  -8.19393416E-01
         6  -2.43720935E-01  -3.16490192E-01
         7   2.41651386E-01   1.92010584E-01
         8   9.42458027E-01   1.01497339E+00
         9   1.17669681E+00   1.19556077E+00
        10   1.36897745E+00   1.50312966E+00
        11   9.77738150E-01   1.04679311E+00
        12  -5.63178806E-01  -3.66310398E-01
        13  -5.89873730E-01  -5.62180207E-01
        14   1.73928150E-01   1.80158686E-01
        15  -5.46583732E-01  -4.80734599E-01
        16  -1.42033270E+00  -1.17850625E+00
        17   1.79101528E+00   1.82384485E+00
        18   1.70250389E+00   1.54364365E+00
        19  -3.21898708E-01  -1.77042900E-01
