################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         1          1         40  -5.03742804E-01   4.96257196E-01   7.09432513E-15   2.57993455E-01
         1          2         40  -5.04060330E-01   4.95939670E-01   2.44249065E-15   2.58127630E-01
         1          3         40  -5.03777157E-01   4.96222843E-01   5.25968158E-15   2.59127036E-01
         1          4         40  -5.02218437E-01   4.97781563E-01  -1.12132525E-15   2.61291804E-01
         1          5         40  -5.38357567E-01   4.61642433E-01  -1.79301018E-15   2.41092443E-01
         1          6         40  -5.70001655E-01   4.29998345E-01   1.36210487E-15   2.33978353E-01
         1          7         40  -6.41927199E-01   3.58072801E-01   4.65599781E-16   2.37079827E-01
         1          8         40  -6.09909355E-01   3.90090645E-01  -7.17308157E-16   2.53970326E-01
         1          9         40   4.31892801E-01   8.47949715E-01   6.98880785E-01   9.45844526E-02
         1         10         40  -7.71747350E-01  -5.54070737E-01  -6.85977477E-01   6.07805172E-02
         1         11         40  -4.08369702E-01   8.29292414E-01   1.52128742E-01   3.02921919E-01
         1         12         40   1.23586557E+00   1.76782737E+00   1.47338891E+00   1.37531753E-01
         1         13         40   6.18429057E-01   8.23729238E-01   7.15785538E-01   5.28220791E-02
         1         14         40   1.99394327E+00   2.51368497E+00   2.26347406E+00   1.27377399E-01
         1         15         40  -1.08936663E+00   6.23250513E-01  -1.90138955E-01   4.32352414E-01
         1         16         40  -5.63781188E-01  -3.88553644E-01  -4.89239153E-01   4.58840918E-02
         1         17         40   1.60078615E+00   1.96032596E+00   1.76679545E+00   9.72916641E-02
         1         18         40  -4.09023419E-01   4.37072718E-02  -1.00053589E-01   1.25294194E-01
         1         19         40  -1.78836304E+00  -1.53617882E+00  -1.64285171E+00   5.81280262E-02
         1         20         40   1.89418329E+00   2.66337576E+00   2.25696602E+00   2.06235801E-01
         1         21         40   8.71738179E-02   6.70246551E-01   4.36522325E-01   1.39013316E-01
         1         22         40  -2.06452341E+00  -1.42252107E+00  -1.83664730E+00   1.76670534E-01
         1         23         40  -1.37550460E+00  -1.29300377E+00  -1.33514209E+00   1.99490953E-02
         1         24         40   2.67944359E+00   2.96260973E+00   2.86082972E+00   8.38000555E-02
         1         25         40  -3.93379262E+00  -3.42807637E+00  -3.73175154E+00   1.20603297E-01
         1         26         40   1.58770903E+00   1.74212273E+00   1.64415389E+00   4.28079355E-02
         1         27         40  -2.62115969E+00  -2.42101312E+00  -2.56184891E+00   6.08616160E-02
         1         28         40  -2.90492153E+00  -2.70123451E+00  -2.83523030E+00   4.61526934E-02
         1         29         40   1.87442881E+00   2.11165205E+00   2.00233271E+00   6.33451168E-02
         1         30         40  -4.16752332E+00  -3.86799601E+00  -4.05435845E+00   8.17394836E-02
         1         31         40   2.52284063E+00   2.76491282E+00   2.65095963E+00   6.25456544E-02
         1         32         40   1.64079172E+00   1.74297253E+00   1.69267660E+00   2.45884516E-02
         1         33         40  -2.19338260E+00  -1.98682813E+00  -2.08639420E+00   5.18193618E-02
         1         34         40  -1.70242720E+00  -1.58207709E+00  -1.61519044E+00   3.40671595E-02
         1         35         40   2.72143101E+00   2.95499120E+00   2.86314206E+00   5.33261557E-02
         1         36         40   1.68827939E+00   1.85227376E+00   1.76325235E+00   4.56269751E-02
         1         37         40  -2.79641968E+00  -2.77093916E+00  -2.78486914E+00   5.91130139E-03
         1         38         40   3.66578541E+00   4.22847741E+00   4.01115043E+00   1.44299405E-01
         1         39         40  -2.88860381E+01  -2.88609477E+01  -2.88763803E+01   6.79598982E-03
         2          1         20  -5.24084946E-01   4.75915054E-01   1.63202785E-15   2.64970457E-01
         2          2         20  -5.24263785E-01   4.75736215E-01   3.05866443E-15   2.64952830E-01
         2          3         20  -5.24267353E-01   4.75732647E-01  -2.61457522E-15   2.64933773E-01
         2          4         20  -5.23792698E-01   4.76207302E-01  -1.17961196E-15   2.64932752E-01
         2          5         20  -5.26346172E-01   4.73653828E-01   1.04916076E-15   2.64744604E-01
         2          6         20  -5.24867377E-01   4.75132623E-01   1.05471187E-15   2.64664679E-01
         2          7         20  -5.20278658E-01   4.79721342E-01  -7.63278329E-16   2.64816422E-01
         2          8         20  -5.04593903E-01   4.95406097E-01   3.16413562E-16   2.68109624E-01
         2          9         20  -6.75842433E-01  -4.79642373E-01  -5.80794485E-01   5.21733523E-02
         2         10         20  -8.63793922E-01   2.86706514E-01  -2.69153421E-01   3.05459742E-01
         2         11         20  -3.19983590E-01  -7.53394877E-02  -2.02648605E-01   6.48896184E-02
         2         12         20   5.83473608E-01   7.71237375E-01   6.74673749E-01   4.98188678E-02
         2         13         20  -2.09000038E+00  -1.85011167E+00  -1.98336591E+00   6.47999167E-02
         2         14         20   1.28227010E+00   1.41631948E+00   1.34965621E+00   3.64660832E-02
         2         15         20   3.54875603E-01   1.52774435E+00   9.62617409E-01   3.11070728E-01
         2         16         20  -7.15674729E-01   9.85002033E-01   9.50779293E-02   4.50353841E-01
         2         17         20  -1.07131949E+00  -9.67225424E-01  -1.01191056E+00   2.88548414E-02
         2         18         20   1.10008560E+00   1.25186952E+00   1.16719079E+00   4.11612180E-02
         2         19         20  -4.59950092E-01  -7.82437778E-02  -2.64621592E-01   1.01695831E-01
         2         20         20   1.01755254E+00   1.23360556E+00   1.13014782E+00   5.71507494E-02
         2         21         20   7.13379554E-01   8.33690067E-01   7.79969638E-01   3.62750940E-02
         2         22         20  -9.16197274E-01   1.11522706E+00   1.48708886E-01   5.38020558E-01
         2         23         20   1.44072912E-01   2.13263416E-01   1.79879601E-01   1.83886285E-02
         2         24         20   2.48520777E+00   3.14287607E+00   2.83800687E+00   1.92333192E-01
         2         25         20  -1.93237474E+00  -1.76960644E+00  -1.87728780E+00   4.63880036E-02
         2         26         20   1.54887653E+00   1.57618466E+00   1.55771045E+00   6.18260932E-03
         2         27         20   1.83501088E+00   2.06419223E+00   1.94463657E+00   5.89160578E-02
         2         28         20  -2.54167981E+00  -2.36740835E+00  -2.51102325E+00   4.67566377E-02
         2         29         20   1.73987662E+00   1.99389889E+00   1.83232891E+00   7.91461332E-02
         2         30         20  -1.76992297E+00  -1.65177371E+00  -1.70853356E+00   3.36592107E-02
         2         31         20  -2.25242864E+00  -1.91680510E+00  -2.13878053E+00   9.29064491E-02
         2         32         20   1.38020709E+00   1.42962454E+00   1.40328377E+00   1.71646096E-02
         2         33         20  -1.63469655E+00  -1.59364690E+00  -1.61271454E+00   1.05141988E-02
         2         34         20   1.61244175E+00   1.73435762E+00   1.68939397E+00   3.28500377E-02
         2         35         20  -1.75905494E+00  -1.53898971E+00  -1.62594147E+00   6.95207957E-02
         2         36         20  -1.79019172E+00  -1.50068999E+00  -1.59509799E+00   8.01127900E-02
         2         37         20  -2.14877410E+00  -1.93659263E+00  -2.05348046E+00   6.73460413E-02
         2         38         20   2.12993368E+00   2.14059449E+00   2.13446444E+00   2.45155541E-03
         2         39         20  -1.86583318E+01  -1.86280898E+01  -1.86444509E+01   8.08389496E-03
