################################################################################
# Force comparison.
################################################################################
# Col  Name    Description
################################################################################
# 1    index_s Structure index.
# 2    index_a Atom index (x, y, z components in consecutive lines).
# 3    Fref    Reference force (training units).
# 4    Fnnp    NNP force (training units).
################################################################################
#        1          2                3                4
#  index_s    index_a             Fref             Fnnp
#######################################################
         0          0   0.00000000E+00   0.00000000E+00
         0          0   5.39331390E-02   5.45608525E-02
         0          0   3.41500720E-02   3.35687843E-02
         0          1   0.00000000E+00   0.00000000E+00
         0          1  -6.78543800E-03  -7.20180163E-03
         0          1  -1.29098300E-03  -7.95107906E-04
         0          2   0.00000000E+00   0.00000000E+00
         0          2  -4.71477010E-02  -4.73590509E-02
         0          2  -3.28590890E-02  -3.27736764E-02
         1          0   0.00000000E+00   0.00000000E+00
         1          0   0.00000000E+00  -7.33191719E-18
         1          0  -3.18000000E-07   1.38803665E-03
         1          1   0.00000000E+00   0.00000000E+00
         1          1   2.05000000E-07   7.09097779E-04
         1          1   1.59000000E-07  -6.94018325E-04
         1          2   0.00000000E+00   0.00000000E+00
         1          2  -2.05000000E-07  -7.09097779E-04
         1          2   1.59000000E-07  -6.94018325E-04
         2          0   1.06637000E-03   1.15133978E-03
         2          0   0.00000000E+00   8.60585474E-18
         2          0  -5.92966600E-03  -6.40215149E-03
         2          1  -5.33185000E-04  -5.75669889E-04
         2          1  -2.80832500E-03  -3.69253694E-03
         2          1   2.96483300E-03   3.20107574E-03
         2          2  -5.33185000E-04  -5.75669889E-04
         2          2   2.80832500E-03   3.69253694E-03
         2          2   2.96483300E-03   3.20107574E-03
         3          0  -4.67402000E-04  -4.71263455E-04
         3          0   3.94097800E-03   4.55648170E-03
         3          0  -2.46098000E-03  -2.07644610E-03
         3          1   4.71863000E-04   4.98315042E-04
         3          1  -3.81362500E-03  -4.20628486E-03
         3          1   2.59905000E-03   2.62051228E-03
         3          2  -4.46200000E-06  -2.70515863E-05
         3          2  -1.27354000E-04  -3.50196839E-04
         3          2  -1.38070000E-04  -5.44066181E-04
         4          0  -4.67402000E-04  -4.71263455E-04
         4          0  -3.94097800E-03  -4.55648170E-03
         4          0  -2.46098000E-03  -2.07644610E-03
         4          1  -4.46200000E-06  -2.70515863E-05
         4          1   1.27354000E-04   3.50196839E-04
         4          1  -1.38070000E-04  -5.44066181E-04
         4          2   4.71863000E-04   4.98315042E-04
         4          2   3.81362500E-03   4.20628486E-03
         4          2   2.59905000E-03   2.62051228E-03
         5          0   0.00000000E+00   0.00000000E+00
         5          0   1.32071360E-01   1.32367341E-01
         5          0   3.18319390E-02   3.29840924E-02
         5          1   0.00000000E+00   0.00000000E+00
         5          1  -5.11842780E-02  -5.21920601E-02
         5          1   3.19343730E-02   3.15338563E-02
         5          2   0.00000000E+00   0.00000000E+00
         5          2  -8.08870820E-02  -8.01752807E-02
         5          2  -6.37663120E-02  -6.45179488E-02
         6          0   0.00000000E+00   0.00000000E+00
         6          0  -8.09558940E-02  -8.05324369E-02
         6          0   5.01954410E-02   5.18948530E-02
         6          1   0.00000000E+00   0.00000000E+00
         6          1   8.69510500E-02   8.68757216E-02
         6          1  -5.67548820E-02  -5.75043754E-02
         6          2   0.00000000E+00   0.00000000E+00
         6          2  -5.99515500E-03  -6.34328478E-03
         6          2   6.55944100E-03   5.60952242E-03
         8          0   0.00000000E+00   0.00000000E+00
         8          0   0.00000000E+00  -1.56125113E-17
         8          0   6.79545940E-02   6.61460905E-02
         8          1   0.00000000E+00   0.00000000E+00
         8          1   4.06852780E-02   4.15528161E-02
         8          1  -3.39772970E-02  -3.30730453E-02
         8          2   0.00000000E+00   0.00000000E+00
         8          2  -4.06852780E-02  -4.15528161E-02
         8          2  -3.39772970E-02  -3.30730453E-02
         9          0   0.00000000E+00   0.00000000E+00
         9          0   3.64444160E-02   3.60401524E-02
         9          0  -3.17612850E-02  -3.13508418E-02
         9          1   0.00000000E+00   0.00000000E+00
         9          1  -3.05684250E-02  -2.97984789E-02
         9          1   3.04471560E-02   3.00516877E-02
         9          2   0.00000000E+00   0.00000000E+00
         9          2  -5.87599000E-03  -6.24167357E-03
         9          2   1.31412800E-03   1.29915402E-03
        10          0   0.00000000E+00   0.00000000E+00
        10          0  -3.64444160E-02  -3.60401524E-02
        10          0  -3.17612850E-02  -3.13508418E-02
        10          1   0.00000000E+00   0.00000000E+00
        10          1   5.87599000E-03   6.24167357E-03
        10          1   1.31412800E-03   1.29915402E-03
        10          2   0.00000000E+00   0.00000000E+00
        10          2   3.05684250E-02   2.97984789E-02
        10          2   3.04471560E-02   3.00516877E-02
        11          0  -1.06637000E-03  -1.15133978E-03
        11          0   0.00000000E+00   8.60585474E-18
        11          0  -5.92966600E-03  -6.40215149E-03
        11          1   5.33185000E-04   5.75669889E-04
        11          1  -2.80832500E-03  -3.69253694E-03
        11          1   2.96483300E-03   3.20107574E-03
        11          2   5.33185000E-04   5.75669889E-04
        11          2   2.80832500E-03   3.69253694E-03
        11          2   2.96483300E-03   3.20107574E-03
        12          0   4.67402000E-04   4.71263455E-04
        12          0   3.94097800E-03   4.55648170E-03
        12          0  -2.46098000E-03  -2.07644610E-03
        12          1  -4.71863000E-04  -4.98315042E-04
        12          1  -3.81362500E-03  -4.20628486E-03
        12          1   2.59905000E-03   2.62051228E-03
        12          2   4.46200000E-06   2.70515863E-05
        12          2  -1.27354000E-04  -3.50196839E-04
        12          2  -1.38070000E-04  -5.44066181E-04
        13          0   4.67402000E-04   4.71263455E-04
        13          0  -3.94097800E-03  -4.55648170E-03
        13          0  -2.46098000E-03  -2.07644610E-03
        13          1   4.46200000E-06   2.70515863E-05
        13          1   1.27354000E-04   3.50196839E-04
        13          1  -1.38070000E-04  -5.44066181E-04
        13          2  -4.71863000E-04  -4.98315042E-04
        13          2   3.81362500E-03   4.20628486E-03
        13          2   2.59905000E-03   2.62051228E-03
        14          0   0.00000000E+00   0.00000000E+00
        14          0  -1.32071360E-01  -1.32367341E-01
        14          0   3.18319390E-02   3.29840924E-02
        14          1   0.00000000E+00   0.00000000E+00
        14          1   8.08870820E-02   8.01752807E-02
        14          1  -6.37663120E-02  -6.45179488E-02
        14          2   0.00000000E+00   0.00000000E+00
        14          2   5.11842780E-02   5.21920601E-02
        14          2   3.19343730E-02   3.15338563E-02
        15          0   0.00000000E+00   0.00000000E+00
        15          0   5.12283280E-02   5.14934705E-02
        15          0  -2.00299380E-02  -1.84576683E-02
        15          1   0.00000000E+00   0.00000000E+00
        15          1  -5.54520270E-02  -5.57790762E-02
        15          1   2.61724150E-02   2.55169775E-02
        15          2   0.00000000E+00   0.00000000E+00
        15          2   4.22369900E-03   4.28560569E-03
        15          2  -6.14247800E-03  -7.05930916E-03
        16          0   0.00000000E+00   0.00000000E+00
        16          0   8.09558940E-02   8.05324369E-02
        16          0   5.01954410E-02   5.18948530E-02
        16          1   0.00000000E+00   0.00000000E+00
        16          1   5.99515500E-03   6.34328478E-03
        16          1   6.55944100E-03   5.60952242E-03
        16          2   0.00000000E+00   0.00000000E+00
        16          2  -8.69510500E-02  -8.68757216E-02
        16          2  -5.67548820E-02  -5.75043754E-02
        17          0   0.00000000E+00   0.00000000E+00
        17          0   0.00000000E+00   1.73472348E-17
        17          0  -6.33332150E-02  -6.44917209E-02
        17          1   0.00000000E+00   0.00000000E+00
        17          1  -2.46418890E-02  -2.26781151E-02
        17          1   3.16666070E-02   3.22458605E-02
        17          2   0.00000000E+00   0.00000000E+00
        17          2   2.46418890E-02   2.26781151E-02
        17          2   3.16666070E-02   3.22458605E-02
        18          0   0.00000000E+00   0.00000000E+00
        18          0  -5.39331390E-02  -5.45608525E-02
        18          0   3.41500720E-02   3.35687843E-02
        18          1   0.00000000E+00   0.00000000E+00
        18          1   4.71477010E-02   4.73590509E-02
        18          1  -3.28590890E-02  -3.27736764E-02
        18          2   0.00000000E+00   0.00000000E+00
        18          2   6.78543800E-03   7.20180163E-03
        18          2  -1.29098300E-03  -7.95107906E-04
        19          0   0.00000000E+00   0.00000000E+00
        19          0   5.39331390E-02   5.45608525E-02
        19          0   3.41500720E-02   3.35687843E-02
        19          1   0.00000000E+00   0.00000000E+00
        19          1  -6.78543800E-03  -7.20180163E-03
        19          1  -1.29098300E-03  -7.95107906E-04
        19          2   0.00000000E+00   0.00000000E+00
        19          2  -4.71477010E-02  -4.73590509E-02
        19          2  -3.28590890E-02  -3.27736764E-02
