################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1         20   9.87850262E+01   1.60705252E-01   7.60697937E-18   2.51927895E-02   1.00058526E-03   9.99415078E-02
         2         40   9.80159044E+01   2.01394033E-01   1.19998180E-17   6.96692912E-02   1.00117087E-04   9.98830498E-01
         3         60   9.72452749E+01   2.38945296E-01   1.60664478E-17   6.90046633E-02   1.00175682E-05   1.12067347E+00
         4         80   9.65971685E+01   2.57998129E-01   1.91860553E-17   5.68606743E-02   1.00234311E-06   1.12067347E+00
         5        100   9.60752079E+01   2.71771656E-01   2.15219151E-17   6.75367459E-02   8.93365374E-07   1.12067347E+00
         6        120   9.56453227E+01   2.82894838E-01   2.33328377E-17   7.00673927E-02   8.93365374E-07   1.12067347E+00
         7        140   9.54303639E+01   2.87365053E-01   2.41905457E-17   5.63584151E-02   8.93365374E-07   1.12067347E+00
         8        160   9.51067713E+01   2.94892624E-01   2.54193560E-17   4.43007637E-02   8.93365374E-07   1.12067347E+00
         9        180   9.49521175E+01   2.99053411E-01   2.59859984E-17   7.29652356E-02   8.93365374E-07   1.12067347E+00
        10        200   9.48431751E+01   2.99733254E-01   2.64263663E-17   2.59717893E-02   8.93365374E-07   1.12067347E+00
        11        220   9.47513386E+01   3.01411722E-01   2.68026722E-17   1.80431347E-02   8.93365374E-07   1.12067347E+00
        12        240   9.44890881E+01   3.06392369E-01   2.76818584E-17   4.67674051E-02   8.93365374E-07   1.12067347E+00
        13        260   9.42826846E+01   3.11105494E-01   2.85179963E-17   4.46088889E-02   8.93365374E-07   1.12067347E+00
        14        280   9.41656233E+01   3.13540430E-01   2.89567755E-17   2.10557631E-02   8.93365374E-07   1.12067347E+00
        15        300   9.40463478E+01   3.14810750E-01   2.93768877E-17   4.78513962E-02   8.93365374E-07   1.12067347E+00
        16        320   9.39529711E+01   3.15679969E-01   2.96839212E-17   3.12059454E-02   8.93365374E-07   1.12067347E+00
        17        340   9.38310496E+01   3.18596641E-01   3.01442567E-17   5.46057594E-03   8.93365374E-07   1.12067347E+00
        18        360   9.36003584E+01   3.21552420E-01   3.10214023E-17   6.25818703E-02   8.93365374E-07   1.12067347E+00
        19        380   9.34865887E+01   3.25690617E-01   3.14805885E-17   4.98611613E-02   8.93365374E-07   1.12067347E+00
        20        400   9.33512118E+01   3.29087448E-01   3.19484484E-17   8.85394642E-03   8.93365374E-07   1.12067347E+00
        21        420   9.31743526E+01   3.30832330E-01   3.25328779E-17   4.43944219E-02   8.93365374E-07   1.12067347E+00
        22        440   9.31226889E+01   3.32080732E-01   3.27328355E-17   0.00000000E+00   8.93365374E-07   1.12067347E+00
        23        460   9.30888282E+01   3.32937975E-01   3.28397305E-17   0.00000000E+00   8.93365374E-07   1.12067347E+00
        24        480   9.30247297E+01   3.34425392E-01   3.30996295E-17   2.47804306E-02   8.93365374E-07   1.12067347E+00
        25        500   9.28695460E+01   3.36560005E-01   3.37322441E-17   5.22879969E-02   8.93365374E-07   1.12067347E+00
        26        520   9.26667837E+01   3.41841994E-01   3.44434298E-17   9.47152758E-02   8.93365374E-07   1.12067347E+00
        27        540   9.24378353E+01   3.50294286E-01   3.53702882E-17   4.29532859E-02   8.93365374E-07   1.12067347E+00
        28        560   9.22484816E+01   3.53822745E-01   3.61417232E-17   8.15498554E-02   8.93365374E-07   1.12067347E+00
        29        580   9.20435174E+01   3.58833563E-01   3.69964847E-17   6.06849747E-02   8.93365374E-07   1.12067347E+00
        30        600   9.19080404E+01   3.62602197E-01   3.74959918E-17   3.58771759E-02   8.93365374E-07   1.12067347E+00
        31        620   9.17935747E+01   3.64548990E-01   3.79432075E-17   1.57505448E-02   8.93365374E-07   1.12067347E+00
        32        640   9.16635076E+01   3.66727170E-01   3.84430021E-17   3.78744602E-02   8.93365374E-07   1.12067347E+00
        33        660   9.15917230E+01   3.66805269E-01   3.87454803E-17   3.48115849E-02   8.93365374E-07   1.12067347E+00
        34        680   9.15492836E+01   3.67288945E-01   3.89053301E-17   1.87889727E-02   8.93365374E-07   1.12067347E+00
        35        700   9.14273524E+01   3.70555755E-01   3.93453654E-17   3.17502700E-02   8.93365374E-07   1.12067347E+00
        36        720   9.12992001E+01   3.73721191E-01   3.98721278E-17   2.31490619E-02   8.93365374E-07   1.12067347E+00
        37        740   9.12606740E+01   3.74112877E-01   4.00285501E-17   2.00018778E-02   8.93365374E-07   1.12067347E+00
        38        760   9.11788343E+01   3.76391188E-01   4.03220313E-17   1.42880471E-02   8.93365374E-07   1.12067347E+00
        39        780   9.10976221E+01   3.77167948E-01   4.06444839E-17   3.05414837E-02   8.93365374E-07   1.12067347E+00
        40        800   9.09051830E+01   3.79810119E-01   4.13731002E-17   3.02353213E-02   8.93365374E-07   1.12067347E+00
        41        820   9.08023168E+01   3.82642625E-01   4.17460113E-17   1.31557457E-02   8.93365374E-07   1.12067347E+00
        42        840   9.06693991E+01   3.84074274E-01   4.21910175E-17   3.15630438E-02   8.93365374E-07   1.12067347E+00
        43        860   9.05509378E+01   3.86884559E-01   4.25849811E-17   9.10824645E-03   8.93365374E-07   1.12067347E+00
        44        880   9.03525701E+01   3.88758869E-01   4.33028459E-17   5.96241249E-02   8.93365374E-07   1.12067347E+00
        45        900   9.03044579E+01   3.89128705E-01   4.34759118E-17   2.53184513E-02   8.93365374E-07   1.12067347E+00
        46        920   9.02307767E+01   3.90233651E-01   4.37325930E-17   1.82087383E-02   8.93365374E-07   1.12067347E+00
        47        940   9.01105977E+01   3.92038850E-01   4.41946750E-17   3.66914597E-02   8.93365374E-07   1.12067347E+00
        48        960   8.99936177E+01   3.94754866E-01   4.45913021E-17   2.25268940E-02   8.93365374E-07   1.12067347E+00
        49        980   8.98755669E+01   3.98161670E-01   4.50820308E-17   4.44525457E-02   8.93365374E-07   1.12067347E+00
        50       1000   8.97406725E+01   3.99790481E-01   4.55954326E-17   3.49775247E-02   8.93365374E-07   1.12067347E+00
        51       1020   8.96658082E+01   3.99989249E-01   4.58771963E-17   1.61836958E-02   8.93365374E-07   1.12067347E+00
        52       1040   8.95397690E+01   4.02326660E-01   4.63811159E-17   5.80521877E-02   8.93365374E-07   1.12067347E+00
        53       1060   8.94867105E+01   4.02055149E-01   4.65674153E-17   4.35999260E-02   8.93365374E-07   1.12067347E+00
        54       1080   8.93440310E+01   4.04597823E-01   4.71059509E-17   2.38024614E-02   8.93365374E-07   1.12067347E+00
        55       1100   8.93106286E+01   4.04735118E-01   4.72378158E-17   1.99711143E-02   8.93365374E-07   1.12067347E+00
        56       1120   8.92146252E+01   4.06864519E-01   4.75900648E-17   1.61537007E-02   8.93365374E-07   1.12067347E+00
        57       1140   8.91073626E+01   4.08650373E-01   4.79633188E-17   1.93993519E-02   8.93365374E-07   1.12067347E+00
        58       1160   8.90863422E+01   4.08599104E-01   4.80317226E-17   1.12111561E-02   8.93365374E-07   1.12067347E+00
        59       1180   8.89925375E+01   4.10444700E-01   4.84383068E-17   2.29789215E-02   8.93365374E-07   1.12067347E+00
        60       1200   8.88922745E+01   4.12410284E-01   4.88243367E-17   1.77444606E-02   8.93365374E-07   1.12067347E+00
        61       1220   8.88030674E+01   4.14328173E-01   4.91937047E-17   1.34111176E-02   8.93365374E-07   1.12067347E+00
        62       1240   8.87070608E+01   4.16303897E-01   4.95361646E-17   1.29965201E-02   8.93365374E-07   1.12067347E+00
        63       1260   8.86052573E+01   4.16443766E-01   4.98965074E-17   3.65847793E-02   8.93365374E-07   1.12067347E+00
        64       1280   8.84887241E+01   4.17899006E-01   5.03409637E-17   2.70141371E-02   8.93365374E-07   1.12067347E+00
        65       1300   8.83718941E+01   4.19973624E-01   5.07230319E-17   2.95697737E-02   8.93365374E-07   1.12067347E+00
        66       1320   8.82716748E+01   4.20535222E-01   5.10761048E-17   3.88788756E-02   8.93365374E-07   1.12067347E+00
        67       1340   8.82216849E+01   4.20448067E-01   5.12396953E-17   2.39995222E-02   8.93365374E-07   1.12067347E+00
        68       1360   8.80566272E+01   4.19946784E-01   5.18649931E-17   3.03369265E-02   8.93365374E-07   1.12067347E+00
        69       1380   8.79272502E+01   4.20872628E-01   5.23364321E-17   2.32358408E-02   8.93365374E-07   1.12067347E+00
        70       1400   8.78014958E+01   4.22228467E-01   5.27706821E-17   2.61830455E-02   8.93365374E-07   1.12067347E+00
        71       1420   8.76704105E+01   4.25361844E-01   5.32044258E-17   2.74300668E-02   8.93365374E-07   1.12067347E+00
        72       1440   8.75836454E+01   4.27682111E-01   5.35547887E-17   1.96886653E-02   8.93365374E-07   1.12067347E+00
        73       1460   8.74873098E+01   4.29404945E-01   5.39024168E-17   3.72345851E-02   8.93365374E-07   1.12067347E+00
        74       1480   8.73794317E+01   4.30890257E-01   5.43212729E-17   2.30232122E-02   8.93365374E-07   1.12067347E+00
        75       1500   8.73613260E+01   4.30714294E-01   5.43899448E-17   1.67807827E-02   8.93365374E-07   1.12067347E+00
        76       1520   8.73481213E+01   4.30640451E-01   5.44455848E-17   2.44580300E-02   8.93365374E-07   1.12067347E+00
        77       1540   8.72354118E+01   4.31316064E-01   5.48475003E-17   1.62324370E-02   8.93365374E-07   1.12067347E+00
        78       1560   8.71280026E+01   4.33169762E-01   5.52034643E-17   2.45480235E-02   8.93365374E-07   1.12067347E+00
        79       1580   8.70166985E+01   4.33550319E-01   5.56276679E-17   2.91426324E-02   8.93365374E-07   1.12067347E+00
        80       1600   8.69498219E+01   4.34273341E-01   5.59088698E-17   1.81541848E-02   8.93365374E-07   1.12067347E+00
        81       1620   8.69322600E+01   4.34041649E-01   5.59720791E-17   2.27990038E-02   8.93365374E-07   1.12067347E+00
        82       1640   8.68349359E+01   4.34832206E-01   5.63253067E-17   1.45560193E-02   8.93365374E-07   1.12067347E+00
        83       1660   8.68201816E+01   4.34573987E-01   5.63754657E-17   1.65582601E-02   8.93365374E-07   1.12067347E+00
        84       1680   8.67527396E+01   4.35622334E-01   5.66189980E-17   2.30874349E-02   8.93365374E-07   1.12067347E+00
        85       1700   8.66597767E+01   4.37967090E-01   5.68979491E-17   1.94027910E-02   8.93365374E-07   1.12067347E+00
        86       1720   8.65552645E+01   4.37969244E-01   5.72309267E-17   2.58423983E-02   8.93365374E-07   1.12067347E+00
        87       1740   8.64632320E+01   4.38672536E-01   5.75431914E-17   2.03220280E-02   8.93365374E-07   1.12067347E+00
        88       1760   8.63691438E+01   4.39787426E-01   5.78740052E-17   1.71449129E-02   8.93365374E-07   1.12067347E+00
        89       1780   8.63543402E+01   4.39573057E-01   5.79340961E-17   1.69304951E-02   8.93365374E-07   1.12067347E+00
        90       1800   8.62492777E+01   4.40920210E-01   5.82986171E-17   1.57790952E-02   8.93365374E-07   1.12067347E+00
        91       1820   8.61584426E+01   4.42364654E-01   5.86139678E-17   3.82403654E-02   8.93365374E-07   1.12067347E+00
        92       1840   8.60503420E+01   4.43922230E-01   5.90135312E-17   1.64328508E-02   8.93365374E-07   1.12067347E+00
        93       1860   8.59366233E+01   4.44530090E-01   5.94317869E-17   2.13732493E-02   8.93365374E-07   1.12067347E+00
        94       1880   8.58577838E+01   4.45280024E-01   5.97107621E-17   1.33166014E-02   8.93365374E-07   1.12067347E+00
        95       1900   8.57795626E+01   4.46481616E-01   5.99862195E-17   2.94406526E-02   8.93365374E-07   1.12067347E+00
        96       1920   8.56813291E+01   4.48455579E-01   6.03050173E-17   1.02233321E-02   8.93365374E-07   1.12067347E+00
        97       1940   8.55946319E+01   4.49855497E-01   6.05842295E-17   1.34787948E-02   8.93365374E-07   1.12067347E+00
        98       1960   8.54992049E+01   4.51211766E-01   6.09688768E-17   2.54987395E-02   8.93365374E-07   1.12067347E+00
        99       1980   8.54817150E+01   4.50842729E-01   6.10258060E-17   0.00000000E+00   8.93365374E-07   1.12067347E+00
       100       2000   8.54702589E+01   4.50661467E-01   6.10743964E-17   1.14244865E-02   8.93365374E-07   1.12067347E+00
       101       2020   8.54613145E+01   4.50538804E-01   6.11017388E-17   1.20291059E-02   8.93365374E-07   1.12067347E+00
       102       2040   8.53845801E+01   4.52390192E-01   6.13749265E-17   8.49292004E-03   8.93365374E-07   1.12067347E+00
       103       2060   8.53787319E+01   4.52320594E-01   6.13951411E-17   7.79204668E-03   8.93365374E-07   1.12067347E+00
       104       2080   8.52769540E+01   4.52538211E-01   6.17408414E-17   2.25961033E-02   8.93365374E-07   1.12067347E+00
       105       2100   8.51767380E+01   4.53608432E-01   6.21149980E-17   1.72793456E-02   8.93365374E-07   1.12067347E+00
