################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7545743345017933E-01 a         1     0     1     1     1
 -1.6826815542105369E-02 a         2     0     1     1     2
 -4.0467606193885369E-01 a         3     0     1     1     3
 -3.6179691660619095E-01 a         4     0     1     1     4
  6.7524635803562397E-02 a         5     0     1     1     5
  7.1728319092560860E-02 a         6     0     1     1     6
 -2.5014059111430148E-01 a         7     0     1     1     7
 -2.6003897450556746E-01 a         8     0     1     1     8
  3.1577152578482681E-01 a         9     0     1     1     9
  2.6801709217894554E-01 a        10     0     1     1    10
  3.2349491349171389E-01 a        11     0     1     1    11
 -2.8302971118906789E-01 a        12     0     1     1    12
  4.3870114972176316E-01 a        13     0     1     1    13
  4.4159437468633940E-02 a        14     0     1     1    14
  6.4375064361781045E-02 a        15     0     1     1    15
 -1.5397390120130777E-01 a        16     0     2     1     1
  2.0566810521159018E-01 a        17     0     2     1     2
  4.0241846904600753E-01 a        18     0     2     1     3
 -3.7804772056307118E-01 a        19     0     2     1     4
 -4.2020587969321149E-01 a        20     0     2     1     5
  8.1373557223101245E-02 a        21     0     2     1     6
 -3.9831385464977520E-01 a        22     0     2     1     7
  5.3312174155968317E-01 a        23     0     2     1     8
 -1.9358069588262539E-01 a        24     0     2     1     9
  9.3345753594335362E-02 a        25     0     2     1    10
  5.3587990246293377E-02 a        26     0     2     1    11
 -4.8029197281892321E-03 a        27     0     2     1    12
 -3.4634970307440544E-01 a        28     0     2     1    13
  2.3731367805279116E-01 a        29     0     2     1    14
 -3.1438209169554504E-01 a        30     0     2     1    15
  3.1545134875247773E-03 a        31     0     3     1     1
 -1.5401865165776152E-01 a        32     0     3     1     2
 -3.8994141217860734E-01 a        33     0     3     1     3
  5.6002503294523553E-01 a        34     0     3     1     4
 -1.9666299114202082E-01 a        35     0     3     1     5
 -1.5976122323193834E-01 a        36     0     3     1     6
  1.2681370428306987E-01 a        37     0     3     1     7
