################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7507601696305003E-01 a         1     0     1     1     1
 -1.8241167118471523E-02 a         2     0     1     1     2
 -4.0294840704682822E-01 a         3     0     1     1     3
 -3.6244121735929780E-01 a         4     0     1     1     4
  6.8282949751978780E-02 a         5     0     1     1     5
  7.4233372498163086E-02 a         6     0     1     1     6
 -2.5220165482433160E-01 a         7     0     1     1     7
 -2.6147591010305282E-01 a         8     0     1     1     8
  3.1707961246041477E-01 a         9     0     1     1     9
  2.6995694281065846E-01 a        10     0     1     1    10
  3.2189796119623948E-01 a        11     0     1     1    11
 -2.8118414777004369E-01 a        12     0     1     1    12
  4.3937572726702334E-01 a        13     0     1     1    13
  4.5185309320904178E-02 a        14     0     1     1    14
  6.5633091164368926E-02 a        15     0     1     1    15
 -1.5357061089105417E-01 a        16     0     2     1     1
  2.0401919362993495E-01 a        17     0     2     1     2
  4.0388107370815973E-01 a        18     0     2     1     3
 -3.7856084369604615E-01 a        19     0     2     1     4
 -4.1916634597281088E-01 a        20     0     2     1     5
  8.3899865542906960E-02 a        21     0     2     1     6
 -4.0020613459589371E-01 a        22     0     2     1     7
  5.3166775390983800E-01 a        23     0     2     1     8
 -1.9222445938243671E-01 a        24     0     2     1     9
  9.5013567167589769E-02 a        25     0     2     1    10
  5.1872661913896195E-02 a        26     0     2     1    11
 -2.9038204629978914E-03 a        27     0     2     1    12
 -3.4554218827339234E-01 a        28     0     2     1    13
  2.3827944844931123E-01 a        29     0     2     1    14
 -3.1326485033045681E-01 a        30     0     2     1    15
  3.6728910360744995E-03 a        31     0     3     1     1
 -1.5636418293262699E-01 a        32     0     3     1     2
 -3.8934883046102309E-01 a        33     0     3     1     3
  5.5992266200187957E-01 a        34     0     3     1     4
 -1.9460848090863728E-01 a        35     0     3     1     5
 -1.5705034766921630E-01 a        36     0     3     1     6
  1.2531483639108781E-01 a        37     0     3     1     7
  5.1072993817812905E-02 a        38     0     3     1     8
 -1.3402205423021878E-02 a        39     0     3     1     9
  4.3194782183909031E-01 a        40     0     3     1    10
 -4.1284086285021043E-01 a        41     0     3     1    11
 -3.6310322195807115E-01 a        42     0     3     1    12
  1.4642925174606780E-01 a        43     0     3     1    13
  1.9091654307173245E-01 a        44     0     3     1    14
 -2.5390398531928572E-02 a        45     0     3     1    15
 -2.3541917695633968E-01 a        46     0     4     1     1
 -4.6814019571337723E-01 a        47     0     4     1     2
 -7.4487159704389433E-02 a        48     0     4     1     3
 -1.7792870108539161E-01 a        49     0     4     1     4
 -2.5035498058630562E-01 a        50     0     4     1     5
  3.1225998567653518E-01 a        51     0     4     1     6
 -5.0879450245549840E-01 a        52     0     4     1     7
 -1.7935553189654039E-02 a        53     0     4     1     8
 -4.2853560785349087E-01 a        54     0     4     1     9
 -3.6944582998243464E-02 a        55     0     4     1    10
  2.8804887012966796E-01 a        56     0     4     1    11
 -3.5230010751778601E-01 a        57     0     4     1    12
  7.1159706505288842E-02 a        58     0     4     1    13
 -2.4853319600377516E-01 a        59     0     4     1    14
  3.0275988427232048E-01 a        60     0     4     1    15
  4.4017889740805294E-01 a        61     0     5     1     1
  1.6820947853097726E-01 a        62     0     5     1     2
 -3.2147459449717436E-01 a        63     0     5     1     3
 -3.4648190851933103E-01 a        64     0     5     1     4
  3.4263155214885688E-01 a        65     0     5     1     5
  7.8173356979877623E-02 a        66     0     5     1     6
 -3.6878713097895155E-01 a        67     0     5     1     7
  2.9675593714201620E-01 a        68     0     5     1     8
 -1.5522555367212258E-02 a        69     0     5     1     9
 -4.8710590275109594E-01 a        70     0     5     1    10
 -1.2418048709975299E-01 a        71     0     5     1    11
 -1.2584402494822239E-01 a        72     0     5     1    12
 -3.8258290331620198E-01 a        73     0     5     1    13
  1.8698784058357423E-01 a        74     0     5     1    14
  2.6955379856528966E-01 a        75     0     5     1    15
  4.5255918827070224E-01 a        76     0     6     1     1
 -2.4539646579451296E-01 a        77     0     6     1     2
 -2.7571261877437886E-01 a        78     0     6     1     3
  1.7734385623694129E-01 a        79     0     6     1     4
  4.6556029626011303E-01 a        80     0     6     1     5
 -8.7583472539220483E-02 a        81     0     6     1     6
 -1.9386905060215748E-01 a        82     0     6     1     7
 -3.6928644755449930E-01 a        83     0     6     1     8
