################################################################################
# Energy vs. volume comparison.
################################################################################
# Col  Name        Description
################################################################################
# 1    V_atom      Volume per atom.
# 2    Eref_atom   Reference energy per atom.
# 3    N           Number of atoms.
# 4    V           Volume of structure.
# 5    Eref        Reference energy of structure.
# 6    Eref_offset Reference energy of structure (including offset).
###############################################################################################
#              1                2          3                4                5                6
#         V_atom        Eref_atom          N                V             Eref      Eref_offset
###############################################################################################
  0.00000000E+00  -2.54660281E+01          3   0.00000000E+00  -7.63980844E+01  -7.63980844E+01
  0.00000000E+00  -2.54670657E+01          3   0.00000000E+00  -7.64011970E+01  -7.64011970E+01
  0.00000000E+00  -2.54670487E+01          3   0.00000000E+00  -7.64011461E+01  -7.64011461E+01
  0.00000000E+00  -2.54670582E+01          3   0.00000000E+00  -7.64011745E+01  -7.64011745E+01
  0.00000000E+00  -2.54670582E+01          3   0.00000000E+00  -7.64011745E+01  -7.64011745E+01
  0.00000000E+00  -2.54629474E+01          3   0.00000000E+00  -7.63888422E+01  -7.63888422E+01
  0.00000000E+00  -2.54645149E+01          3   0.00000000E+00  -7.63935447E+01  -7.63935447E+01
  0.00000000E+00  -2.54651761E+01          3   0.00000000E+00  -7.63955284E+01  -7.63955284E+01
  0.00000000E+00  -2.54649134E+01          3   0.00000000E+00  -7.63947401E+01  -7.63947401E+01
  0.00000000E+00  -2.54660808E+01          3   0.00000000E+00  -7.63982425E+01  -7.63982425E+01
  0.00000000E+00  -2.54660808E+01          3   0.00000000E+00  -7.63982425E+01  -7.63982425E+01
  0.00000000E+00  -2.54670487E+01          3   0.00000000E+00  -7.64011461E+01  -7.64011461E+01
  0.00000000E+00  -2.54670582E+01          3   0.00000000E+00  -7.64011745E+01  -7.64011745E+01
  0.00000000E+00  -2.54670582E+01          3   0.00000000E+00  -7.64011745E+01  -7.64011745E+01
  0.00000000E+00  -2.54629474E+01          3   0.00000000E+00  -7.63888422E+01  -7.63888422E+01
  0.00000000E+00  -2.54651761E+01          3   0.00000000E+00  -7.63955284E+01  -7.63955284E+01
  0.00000000E+00  -2.54645149E+01          3   0.00000000E+00  -7.63935447E+01  -7.63935447E+01
  0.00000000E+00  -2.54650153E+01          3   0.00000000E+00  -7.63950460E+01  -7.63950460E+01
  0.00000000E+00  -2.54660281E+01          3   0.00000000E+00  -7.63980844E+01  -7.63980844E+01
  0.00000000E+00  -2.54660281E+01          3   0.00000000E+00  -7.63980844E+01  -7.63980844E+01
