################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         1          1         40  -5.03742804E-01   4.96257196E-01   5.61217739E-15   2.57993455E-01
         1          2         40  -5.04060330E-01   4.95939670E-01   1.36002321E-15   2.58127630E-01
         1          3         40  -5.03777157E-01   4.96222843E-01   4.37705427E-15   2.59127036E-01
         1          4         40  -5.02218437E-01   4.97781563E-01  -1.99840144E-15   2.61291804E-01
         1          5         40  -5.38357567E-01   4.61642433E-01  -3.21687121E-15   2.41092443E-01
         1          6         40  -5.70001655E-01   4.29998345E-01  -1.83880688E-16   2.33978353E-01
         1          7         40  -6.41927199E-01   3.58072801E-01  -1.36349265E-15   2.37079827E-01
         1          8         40  -6.09909355E-01   3.90090645E-01  -1.63462993E-15   2.53970326E-01
         1          9         40  -3.81220924E-01   6.18779076E-01  -2.33146835E-16   2.96165910E-01
         1         10         40  -4.79225463E-01   5.20774537E-01   6.01602101E-16   2.43415116E-01
         1         11         40  -4.17372563E-01   5.82627437E-01  -1.38430933E-16   2.43456405E-01
         1         12         40  -4.80000559E-01   5.19999441E-01   5.46784840E-16   2.58234317E-01
         1         13         40  -4.06147073E-01   5.93852927E-01  -5.49907342E-16   2.21437371E-01
         1         14         40  -4.68033523E-01   5.31966477E-01   7.09848846E-16   2.51796767E-01
         1         15         40  -4.27273703E-01   5.72726297E-01   5.46090950E-16   2.48459031E-01
         1         16         40  -6.64901940E-01  -5.74961509E-03  -2.75630822E-01   1.87745384E-01
         1         17         40  -6.05761608E-01   5.86927690E-01  -2.18881659E-02   3.05387419E-01
         1         18         40  -3.64297552E-01   7.69750828E-01   3.03299744E-01   2.89138107E-01
         1         19         40  -3.55261066E-01   9.27726218E-01   2.48338191E-01   3.32522002E-01
         1         20         40  -2.90490307E-01   7.27109980E-01   2.71502437E-01   2.78161317E-01
         1         21         40  -2.37308552E-01   3.59870149E-01  -7.31110145E-02   1.84437803E-01
         1         22         40  -8.13436182E-01   1.28445225E+00   1.72778744E-01   4.70148697E-01
         1         23         40  -5.49135720E-01   1.34775377E+00   3.06226613E-01   4.52355365E-01
         1         24         40  -1.61989618E-01   3.44774257E-01   1.39548201E-01   1.23026468E-01
         1         25         40  -2.45220914E-01   5.47999518E-01   3.08319397E-01   2.54568939E-01
         1         26         40  -1.19830479E-01   2.99915430E-01   1.22621933E-01   1.49261543E-01
         1         27         40  -4.61779304E-01   7.17059920E-01  -2.69443799E-02   2.76173600E-01
         1         28         40  -5.25146763E-01   1.81991622E-01  -2.34960454E-01   1.61903380E-01
         1         29         40  -1.49513328E+00   1.65377868E+00   8.71027414E-02   6.76503847E-01
         1         30         40  -1.35217433E-01   3.35586284E-01   7.43080970E-02   1.36920702E-01
         1         31         40  -3.68081839E-01   8.46295095E-01   2.02597427E-01   2.92673848E-01
         1         32         40  -4.95731488E-01   1.58697623E-01  -8.19006611E-02   1.79815952E-01
         1         33         40  -1.11023978E+00  -3.49309010E-04  -2.88546054E-01   3.34312257E-01
         1         34         40  -4.13960719E-01   2.91759265E-01  -1.13260770E-01   1.86024211E-01
         1         35         40  -1.83882233E-01   7.90596447E-01   2.67765062E-01   2.38560872E-01
         1         36         40  -9.68205530E-01   5.26801983E-01  -1.24321354E-01   3.21868986E-01
         1         37         40  -6.62099814E-01   6.61749495E-01  -2.91533615E-02   3.31063658E-01
         1         38         40  -1.28648607E+00   3.17234931E-02  -7.80450961E-01   3.56978886E-01
         1         39         40  -7.88917208E-01   2.46369523E-01  -1.06130911E-02   3.02346236E-01
         1         40         40   6.96969986E-03   1.18101712E+00   7.42433291E-01   4.06464565E-01
         1         41         40  -1.48004299E-01   1.04814125E+00   4.58576011E-01   3.17097369E-01
         1         42         40  -1.39713639E-01   1.38123778E+00   5.75441360E-01   3.98003896E-01
         1         43         40  -2.44646773E-01   1.48602837E+00   2.65213692E-01   5.13377617E-01
         1         44         40   1.68514731E-02   1.44921042E+00   7.33873647E-01   3.76601249E-01
         1         45         40  -6.48681445E-01   1.11197884E+00  -9.23730801E-02   4.38070455E-01
         1         46         40  -2.45820927E+00   3.25589410E+00  -9.47997856E-01   1.93365827E+00
         2          1         20  -5.24084946E-01   4.75915054E-01  -4.10782519E-16   2.64970457E-01
         2          2         20  -5.24263785E-01   4.75736215E-01   9.04831765E-16   2.64952830E-01
         2          3         20  -5.24267353E-01   4.75732647E-01  -4.06341627E-15   2.64933773E-01
         2          4         20  -5.23792698E-01   4.76207302E-01  -2.58404409E-15   2.64932752E-01
         2          5         20  -5.26346172E-01   4.73653828E-01  -9.99200722E-17   2.64744604E-01
         2          6         20  -5.24867377E-01   4.75132623E-01   3.35842465E-16   2.64664679E-01
         2          7         20  -5.20278658E-01   4.79721342E-01  -1.64313008E-15   2.64816422E-01
         2          8         20  -5.04593903E-01   4.95406097E-01  -2.49800181E-16   2.68109624E-01
         2          9         20  -4.10125324E-01   5.89874676E-01   5.55111512E-18   2.13636778E-01
         2         10         20  -3.84636765E-01   6.15363235E-01  -2.80331314E-16   2.36692115E-01
         2         11         20  -4.79463716E-01   5.20536284E-01  -3.60822483E-16   2.33767642E-01
         2         12         20  -4.53038675E-01   5.46961325E-01  -1.22124533E-16   2.82618914E-01
         2         13         20  -4.76281805E-01   5.23718195E-01  -3.52495810E-16   2.64963264E-01
         2         14         20  -4.29526836E-01   5.70473164E-01  -5.96744876E-16   2.56789078E-01
         2         15         20  -1.01306678E+00   1.34379953E+00   7.70941150E-02   5.51405274E-01
