################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1         20   9.86028143E+01   1.56218938E-01   8.54310856E-18   2.03410837E-02   1.00058526E-03   9.99415078E-02
         2         40   9.75525025E+01   2.07322227E-01   1.37328225E-17   5.06850396E-02   1.00117087E-04   9.98830498E-01
         3         60   9.61438121E+01   2.52106719E-01   1.97357252E-17   7.00533905E-02   1.00175682E-05   1.12067347E+00
         4         80   9.46506549E+01   2.97650141E-01   2.60350153E-17   7.21778651E-02   1.00234311E-06   1.12067347E+00
         5        100   9.32556406E+01   3.40454948E-01   3.21421271E-17   5.88120051E-02   8.93365374E-07   1.12067347E+00
         6        120   9.22051953E+01   3.65043496E-01   3.66607544E-17   1.93562264E-02   8.93365374E-07   1.12067347E+00
         7        140   9.12397050E+01   3.89610068E-01   4.12298765E-17   6.99534526E-02   8.93365374E-07   1.12067347E+00
         8        160   9.05861264E+01   4.00204050E-01   4.39473946E-17   4.41762787E-02   8.93365374E-07   1.12067347E+00
         9        180   8.95947669E+01   4.15958135E-01   4.79824200E-17   9.34044157E-02   8.93365374E-07   1.12067347E+00
        10        200   8.92390713E+01   4.18536603E-01   4.94105744E-17   5.52938425E-02   8.93365374E-07   1.12067347E+00
        11        220   8.89640870E+01   4.20549238E-01   5.04557558E-17   4.83030507E-02   8.93365374E-07   1.12067347E+00
