################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8391436706226494E-01 a         1     0     1     1     1
  3.7568848949234190E-01 a         2     0     1     1     2
 -3.7080567283571764E-01 a         3     0     1     1     3
 -4.3536116759232535E-01 a         4     0     1     1     4
 -8.8605333275121656E-02 a         5     0     1     1     5
 -7.0592644066424081E-03 a         6     0     1     1     6
 -1.7634912670920355E-01 a         7     0     1     1     7
 -2.6966375004572690E-01 a         8     0     1     1     8
  2.7528264109535783E-01 a         9     0     1     1     9
  5.8484102138698778E-02 a        10     0     1     1    10
  2.0513104837643217E-01 a        11     0     1     1    11
 -3.4089887952001924E-01 a        12     0     1     1    12
  3.4066195644757397E-01 a        13     0     1     1    13
  1.6529220433421610E-01 a        14     0     1     1    14
  4.8370778879483538E-02 a        15     0     1     1    15
 -1.6585131739744574E-01 a        16     0     2     1     1
  5.7151402376702254E-01 a        17     0     2     1     2
  3.3674339478956594E-01 a        18     0     2     1     3
 -4.5023497734322471E-01 a        19     0     2     1     4
 -5.1751485677900222E-01 a        20     0     2     1     5
  1.6098555554743214E-03 a        21     0     2     1     6
 -3.0611511292780275E-01 a        22     0     2     1     7
  4.2526972552433656E-01 a        23     0     2     1     8
 -1.7066326094988707E-01 a        24     0     2     1     9
 -9.5714838441091354E-02 a        25     0     2     1    10
 -3.1640432342446539E-02 a        26     0     2     1    11
 -9.7871673404508128E-02 a        27     0     2     1    12
 -3.4739213953851233E-01 a        28     0     2     1    13
  3.3446795263216994E-01 a        29     0     2     1    14
 -2.8268016421010211E-01 a        30     0     2     1    15
 -3.2787786726789232E-02 a        31     0     3     1     1
  2.6197228501274999E-01 a        32     0     3     1     2
 -3.5711416617673614E-01 a        33     0     3     1     3
  3.6876733422375729E-01 a        34     0     3     1     4
 -3.3289755273414506E-01 a        35     0     3     1     5
 -2.0598765996758550E-01 a        36     0     3     1     6
  1.5871898404539661E-01 a        37     0     3     1     7
  7.3346065070590315E-03 a        38     0     3     1     8
 -1.2845273447148569E-02 a        39     0     3     1     9
  1.8657752551269507E-01 a        40     0     3     1    10
 -4.4496552103337256E-01 a        41     0     3     1    11
 -4.1477162495051895E-01 a        42     0     3     1    12
  8.1964271848369810E-02 a        43     0     3     1    13
  2.9232818820707618E-01 a        44     0     3     1    14
 -2.7695287633391134E-02 a        45     0     3     1    15
 -2.5116629109472072E-01 a        46     0     4     1     1
  1.1658968284454609E-03 a        47     0     4     1     2
 -8.2787445722821595E-02 a        48     0     4     1     3
 -2.8149895349362336E-01 a        49     0     4     1     4
 -4.0467594791631584E-01 a        50     0     4     1     5
