################################################################################
# Force comparison.
################################################################################
# Col  Name    Description
################################################################################
# 1    index_s Structure index.
# 2    index_a Atom index (x, y, z components in consecutive lines).
# 3    Fref    Reference force (training units).
# 4    Fnnp    NNP force (training units).
################################################################################
#        1          2                3                4
#  index_s    index_a             Fref             Fnnp
#######################################################
         8          0   0.00000000E+00   0.00000000E+00
         8          0   5.86207000E-04   6.00232558E-04
         8          0   2.19801000E-04   2.28062208E-04
         8          1   0.00000000E+00   0.00000000E+00
         8          1   4.33300300E-03   4.29288087E-03
         8          1   4.08233300E-03   4.06948800E-03
         8          2   0.00000000E+00   0.00000000E+00
         8          2  -4.91920900E-03  -4.89311342E-03
         8          2  -4.30213300E-03  -4.29755021E-03
        11          0  -3.28000000E-07  -2.60690853E-07
        11          0   2.30900000E-06   2.39854885E-05
        11          0   5.91600000E-06   1.20394526E-05
        11          1  -4.02000000E-07  -5.06172199E-07
        11          1   4.06410000E-05   1.86214293E-05
        11          1   3.90320000E-05   4.49959963E-05
        11          2   7.30000000E-07   7.66863052E-07
        11          2  -4.29500000E-05  -4.26069179E-05
        11          2  -4.49480000E-05  -5.70354489E-05
        25          0   0.00000000E+00   0.00000000E+00
        25          0  -2.92817120E-02  -2.91860846E-02
        25          0   2.14053360E-02   2.13551564E-02
        25          1   0.00000000E+00   0.00000000E+00
        25          1  -3.59306340E-02  -3.56667025E-02
        25          1  -2.95747960E-02  -2.93345679E-02
        25          2   0.00000000E+00   0.00000000E+00
        25          2   6.52123460E-02   6.48527871E-02
        25          2   8.16946000E-03   7.97941154E-03
        30          0  -9.39000000E-07  -6.47237010E-07
        30          0   1.58800000E-05   3.48547772E-05
        30          0  -1.87390000E-05  -1.17694899E-05
        30          1  -6.79850000E-05  -6.81320368E-05
        30          1   1.05099800E-03   1.02383619E-03
        30          1   8.04187000E-04   8.07130280E-04
        30          2   6.89240000E-05   6.87792738E-05
        30          2  -1.06687800E-03  -1.05869097E-03
        30          2  -7.85448000E-04  -7.95360790E-04
        33          0   0.00000000E+00   0.00000000E+00
        33          0   3.19865000E-03   3.37905304E-03
        33          0   3.02523400E-03   2.96920021E-03
        33          1   0.00000000E+00   0.00000000E+00
        33          1  -3.91359030E-02  -3.90298702E-02
        33          1  -2.65197340E-02  -2.63431587E-02
        33          2   0.00000000E+00   0.00000000E+00
        33          2   3.59372530E-02   3.56508171E-02
        33          2   2.34944990E-02   2.33739585E-02
        51          0   0.00000000E+00   0.00000000E+00
        51          0  -9.26896650E-02  -9.29254504E-02
        51          0   4.31211920E-02   4.32739582E-02
        51          1   0.00000000E+00   0.00000000E+00
        51          1   8.46245300E-03   8.33775867E-03
        51          1  -1.06552510E-02  -1.07454241E-02
        51          2   0.00000000E+00   0.00000000E+00
        51          2   8.42272120E-02   8.45876918E-02
        51          2  -3.24659420E-02  -3.25285341E-02
        70          0   0.00000000E+00   0.00000000E+00
        70          0  -1.11409780E-01  -1.11314110E-01
        70          0   4.49927070E-02   4.49590839E-02
        70          1   0.00000000E+00   0.00000000E+00
        70          1   1.06916350E-02   1.07243298E-02
        70          1  -1.51199130E-02  -1.50668212E-02
        70          2   0.00000000E+00   0.00000000E+00
        70          2   1.00718145E-01   1.00589780E-01
        70          2  -2.98727940E-02  -2.98922627E-02
        73          0   0.00000000E+00   0.00000000E+00
        73          0   2.29135956E-01   2.29234239E-01
        73          0  -1.09367564E-01  -1.09485551E-01
        73          1   0.00000000E+00   0.00000000E+00
        73          1   2.06456370E-02   2.04428341E-02
        73          1  -6.77591600E-03  -7.01780965E-03
        73          2   0.00000000E+00   0.00000000E+00
        73          2  -2.49781592E-01  -2.49677073E-01
        73          2   1.16143480E-01   1.16503361E-01
