################################################################################
# Force comparison.
################################################################################
# Col  Name    Description
################################################################################
# 1    index_s Structure index.
# 2    index_a Atom index (x, y, z components in consecutive lines).
# 3    Fref    Reference force (training units).
# 4    Fnnp    NNP force (training units).
################################################################################
#        1          2                3                4
#  index_s    index_a             Fref             Fnnp
#######################################################
         0          0   0.00000000E+00   0.00000000E+00
         0          0   1.74100000E-06  -2.19522341E-05
         0          0   6.94400000E-06   2.20965486E-05
         0          1   0.00000000E+00   0.00000000E+00
         0          1  -1.74100000E-06   2.19522341E-05
         0          1   6.94400000E-06   2.20965486E-05
         0          2   0.00000000E+00   0.00000000E+00
         0          2   0.00000000E+00  -1.51788304E-17
         0          2  -1.38880000E-05  -4.41930972E-05
         1          0   4.02000000E-07   8.84315018E-07
         1          0  -4.06410000E-05  -6.41796510E-05
         1          0   3.90320000E-05   5.41319750E-05
         1          1   3.28000000E-07   3.82517643E-08
         1          1  -2.30900000E-06   2.14595334E-05
         1          1   5.91600000E-06   2.10878710E-05
         1          2  -7.30000000E-07  -9.22566782E-07
         1          2   4.29500000E-05   4.27201176E-05
         1          2  -4.49480000E-05  -7.52198460E-05
         2          0   3.28000000E-07   3.82517643E-08
         2          0   2.30900000E-06  -2.14595334E-05
         2          0   5.91600000E-06   2.10878710E-05
         2          1   4.02000000E-07   8.84315018E-07
         2          1   4.06410000E-05   6.41796510E-05
         2          1   3.90320000E-05   5.41319750E-05
         2          2  -7.30000000E-07  -9.22566782E-07
         2          2  -4.29500000E-05  -4.27201176E-05
         2          2  -4.49480000E-05  -7.52198460E-05
         3          0  -8.10000000E-07  -1.00221002E-06
         3          0  -3.11650000E-05  -5.47171748E-05
         3          0   4.37080000E-05   5.88050738E-05
         3          1  -8.10000000E-07  -1.00221002E-06
         3          1   3.11650000E-05   5.47171748E-05
         3          1   4.37080000E-05   5.88050738E-05
         3          2   1.62000000E-06   2.00442004E-06
         3          2   0.00000000E+00  -2.38524478E-17
         3          2  -8.74160000E-05  -1.17610148E-04
         4          0   0.00000000E+00   0.00000000E+00
         4          0   7.23757900E-03   7.20922561E-03
         4          0  -4.59517500E-03  -4.56791712E-03
