################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1         70   9.97019007E+01   1.01046480E-01   3.69950974E-18   4.61820913E-03   1.00058526E-03   9.99415078E-02
         2        140   9.93823735E+01   1.32742238E-01   5.62208438E-18   1.22924662E-02   1.00117087E-04   9.98830498E-01
         3        210   9.92961858E+01   1.42214180E-01   6.11366650E-18   3.76367386E-03   1.00175682E-05   1.03222383E+00
         4        280   9.91701819E+01   1.51049443E-01   6.81064792E-18   3.25262681E-02   1.00234311E-06   1.03222383E+00
         5        350   9.90769857E+01   1.58708645E-01   7.31845433E-18   9.81182678E-03   9.69916453E-07   1.03222383E+00
         6        420   9.89337923E+01   1.70823270E-01   8.12347521E-18   1.46706310E-02   9.69916453E-07   1.03222383E+00
         7        490   9.87101600E+01   1.80431860E-01   9.19999872E-18   7.72702034E-03   9.69916453E-07   1.03222383E+00
         8        560   9.86681111E+01   1.82599902E-01   9.45026612E-18   1.12819790E-02   9.69916453E-07   1.03222383E+00
         9        630   9.84708182E+01   1.95173292E-01   1.06329027E-17   1.19775361E-02   9.69916453E-07   1.03222383E+00
        10        700   9.82230348E+01   2.07203126E-01   1.16433083E-17   9.37790884E-03   9.69916453E-07   1.03222383E+00
        11        770   9.81444900E+01   2.09719943E-01   1.20154937E-17   2.02080184E-02   9.69916453E-07   1.03222383E+00
        12        840   9.80968939E+01   2.10163885E-01   1.22665062E-17   9.35131854E-03   9.69916453E-07   1.03222383E+00
        13        910   9.80404403E+01   2.12564999E-01   1.25869458E-17   6.70942499E-03   9.69916453E-07   1.03222383E+00
        14        980   9.79540276E+01   2.14326239E-01   1.29819449E-17   1.66862779E-02   9.69916453E-07   1.03222383E+00
        15       1050   9.79068506E+01   2.15676317E-01   1.32100718E-17   2.05447246E-02   9.69916453E-07   1.03222383E+00
        16       1120   9.77361464E+01   2.21983717E-01   1.40992221E-17   1.10180254E-02   9.69916453E-07   1.03222383E+00
        17       1190   9.76748400E+01   2.23937690E-01   1.43933109E-17   8.40209268E-03   9.69916453E-07   1.03222383E+00
        18       1260   9.76036146E+01   2.26237740E-01   1.47755422E-17   6.77504707E-03   9.69916453E-07   1.03222383E+00
        19       1330   9.75823300E+01   2.27041022E-01   1.48876442E-17   5.35614404E-03   9.69916453E-07   1.03222383E+00
        20       1400   9.74207914E+01   2.31400695E-01   1.56606840E-17   1.23228855E-02   9.69916453E-07   1.03222383E+00
        21       1470   9.73462241E+01   2.33747259E-01   1.60437547E-17   1.91434013E-02   9.69916453E-07   1.03222383E+00
        22       1540   9.72921471E+01   2.34884812E-01   1.62798035E-17   6.41856567E-03   9.69916453E-07   1.03222383E+00
        23       1610   9.72780741E+01   2.35150328E-01   1.63532314E-17   6.51118069E-03   9.69916453E-07   1.03222383E+00
        24       1680   9.72089713E+01   2.37707676E-01   1.67293091E-17   1.96533081E-02   9.69916453E-07   1.03222383E+00
        25       1750   9.71913012E+01   2.38567450E-01   1.68288626E-17   6.87346956E-03   9.69916453E-07   1.03222383E+00
        26       1820   9.71405284E+01   2.40396668E-01   1.71215040E-17   1.97167361E-02   9.69916453E-07   1.03222383E+00
        27       1890   9.70917380E+01   2.42237096E-01   1.73681702E-17   2.00840933E-02   9.69916453E-07   1.03222383E+00
        28       1960   9.69800567E+01   2.46331191E-01   1.79061485E-17   4.14137060E-02   9.69916453E-07   1.03222383E+00
        29       2030   9.68094779E+01   2.54841141E-01   1.87509234E-17   1.05619765E-02   9.69916453E-07   1.03222383E+00
        30       2100   9.66382032E+01   2.60758945E-01   1.95600056E-17   1.46144528E-02   9.69916453E-07   1.03222383E+00
        31       2170   9.65601674E+01   2.62926067E-01   1.99425393E-17   8.82630438E-03   9.69916453E-07   1.03222383E+00
        32       2240   9.64986301E+01   2.63794560E-01   2.02491370E-17   1.04608150E-02   9.69916453E-07   1.03222383E+00
        33       2310   9.64239436E+01   2.66202252E-01   2.06349264E-17   7.58641556E-03   9.69916453E-07   1.03222383E+00
