################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5221590461070142E-01 a         1     0     1     1     1
 -3.0481960634787475E-01 a         2     0     1     1     2
  2.0933110938453992E-01 a         3     0     1     1     3
 -5.7694256028375655E-02 a         4     0     1     1     4
  3.9735906517572549E-03 a         5     0     1     1     5
  1.4230538994139091E-01 a         6     0     1     1     6
 -1.0459796043279106E-01 a         7     0     1     1     7
 -1.2390521628590241E-01 a         8     0     1     1     8
 -1.8742084129254158E-01 a         9     0     1     1     9
  1.7824109527122575E-01 a        10     0     1     1    10
 -1.6779340070291690E-01 a        11     0     2     1     1
  2.7156526053143137E-01 a        12     0     2     1     2
 -7.3889926704939393E-02 a        13     0     2     1     3
  2.9311060772224062E-01 a        14     0     2     1     4
  4.3051295113772266E-02 a        15     0     2     1     5
  1.5375801003647599E-01 a        16     0     2     1     6
 -8.2046734123959339E-02 a        17     0     2     1     7
  2.1039563002106215E-01 a        18     0     2     1     8
 -1.4877492424145164E-01 a        19     0     2     1     9
 -2.3302035713133651E-01 a        20     0     2     1    10
  1.9883036720118952E-03 a        21     0     3     1     1
 -3.6874792341239616E-02 a        22     0     3     1     2
 -1.1274495232466425E-02 a        23     0     3     1     3
 -3.6941373792031655E-02 a        24     0     3     1     4
  2.9267826977011230E-01 a        25     0     3     1     5
 -1.2488328289335669E-01 a        26     0     3     1     6
  8.0840278272424224E-02 a        27     0     3     1     7
 -1.5659010343135346E-01 a        28     0     3     1     8
  2.5778560285453506E-01 a        29     0     3     1     9
 -2.0844266534611799E-01 a        30     0     3     1    10
 -3.1041746090082051E-01 a        31     0     4     1     1
  1.2818360675314366E-01 a        32     0     4     1     2
 -2.4364005657854848E-01 a        33     0     4     1     3
 -2.4624047410302607E-02 a        34     0     4     1     4
 -7.3741944513326690E-02 a        35     0     4     1     5
 -2.2576564934730126E-01 a        36     0     4     1     6
  5.3263565136419028E-02 a        37     0     4     1     7
 -3.4684266647549811E-02 a        38     0     4     1     8
 -1.6160799734811583E-02 a        39     0     4     1     9
  2.1993805914561532E-01 a        40     0     4     1    10
  4.9326429636959893E-02 a        41     0     5     1     1
 -6.0482665045879208E-02 a        42     0     5     1     2
  2.7121726487712000E-01 a        43     0     5     1     3
 -3.2720387351797181E-01 a        44     0     5     1     4
 -2.1424793680119372E-01 a        45     0     5     1     5
  1.7258345090097635E-01 a        46     0     5     1     6
 -2.8335636948507992E-01 a        47     0     5     1     7
 -2.8775799142625935E-01 a        48     0     5     1     8
 -1.6597955324441660E-01 a        49     0     5     1     9
  2.3361968646153011E-01 a        50     0     5     1    10
 -2.5803119031028499E-01 a        51     0     6     1     1
  2.8896554486418269E-01 a        52     0     6     1     2
  1.5961289724720173E-01 a        53     0     6     1     3
 -1.6605418151512552E-01 a        54     0     6     1     4
  3.3707107011927667E-01 a        55     0     6     1     5
 -1.9488637872436568E-01 a        56     0     6     1     6
 -3.9308805869700980E-02 a        57     0     6     1     7
  1.6155650044067188E-01 a        58     0     6     1     8
  2.0782982669236519E-01 a        59     0     6     1     9
 -2.2621832344202333E-01 a        60     0     6     1    10
 -2.7460532678223865E-01 a        61     0     7     1     1
 -3.9006103649544481E-02 a        62     0     7     1     2
 -2.0161239554023641E-01 a        63     0     7     1     3
  9.1040962712111081E-03 a        64     0     7     1     4
  1.2849326089261381E-01 a        65     0     7     1     5
 -1.7659596484513246E-01 a        66     0     7     1     6
  1.7600249852219607E-01 a        67     0     7     1     7
 -1.5706658112745464E-01 a        68     0     7     1     8
  3.2850358737524255E-01 a        69     0     7     1     9
 -2.0645506791807022E-01 a        70     0     7     1    10
  1.7027158503958709E-01 a        71     0     8     1     1
  2.5270076137023034E-01 a        72     0     8     1     2
  1.0404854427040336E-01 a        73     0     8     1     3
  3.1416394058508867E-01 a        74     0     8     1     4
 -1.6618793113214378E-01 a        75     0     8     1     5
  1.1337722941320239E-01 a        76     0     8     1     6
 -4.9208351723239195E-02 a        77     0     8     1     7
 -2.6534581957613872E-02 a        78     0     8     1     8
  1.2953223630751590E-01 a        79     0     8     1     9
 -4.6542901360743280E-02 a        80     0     8     1    10
  3.2292254331774689E-01 a        81     0     9     1     1
  1.5910315217564602E-01 a        82     0     9     1     2
  2.3212775800009935E-02 a        83     0     9     1     3
 -5.5253137554441889E-02 a        84     0     9     1     4
  9.6214297268732416E-02 a        85     0     9     1     5
 -1.1366817280624808E-01 a        86     0     9     1     6
  2.4203952841637835E-01 a        87     0     9     1     7
  1.5307560745372140E-02 a        88     0     9     1     8
 -2.4665308436295143E-02 a        89     0     9     1     9
 -2.0390690951362334E-01 a        90     0     9     1    10
 -2.8140548357279476E-03 a        91     0    10     1     1
 -2.5623199316392720E-01 a        92     0    10     1     2
  1.2085402468685791E-01 a        93     0    10     1     3
  1.5680271311186428E-01 a        94     0    10     1     4
 -2.4596298540631684E-01 a        95     0    10     1     5
 -1.3203915649241912E-01 a        96     0    10     1     6
  2.4470828740880965E-01 a        97     0    10     1     7
 -1.1087945952300997E-01 a        98     0    10     1     8
 -2.9053010979152860E-01 a        99     0    10     1     9
 -2.3496464648584786E-01 a       100     0    10     1    10
 -1.5168056320305109E-01 a       101     0    11     1     1
  2.4407133390719729E-01 a       102     0    11     1     2
  3.0427025511208389E-01 a       103     0    11     1     3
  2.7208647292664767E-01 a       104     0    11     1     4
  2.6008664713900936E-01 a       105     0    11     1     5
  1.4440613448806816E-01 a       106     0    11     1     6
  6.9429178834934463E-02 a       107     0    11     1     7
 -1.7771285485241563E-02 a       108     0    11     1     8
  2.7951957784192233E-01 a       109     0    11     1     9
  2.9332176513111891E-01 a       110     0    11     1    10
 -1.5137144644450115E-01 a       111     0    12     1     1
 -4.1067094717890815E-02 a       112     0    12     1     2
 -3.1901627418720169E-01 a       113     0    12     1     3
 -3.2701334975861633E-02 a       114     0    12     1     4
  2.0879798809675512E-01 a       115     0    12     1     5
  9.8836498011890664E-02 a       116     0    12     1     6
 -2.0616245699995797E-01 a       117     0    12     1     7
 -2.9118272031155557E-01 a       118     0    12     1     8
  2.8536387779741190E-01 a       119     0    12     1     9
  8.9463923822092721E-03 a       120     0    12     1    10
  3.4412015072862401E-01 a       121     0    13     1     1
 -2.5274654537104130E-01 a       122     0    13     1     2
  2.6232612506865832E-01 a       123     0    13     1     3
 -2.0313935080330628E-01 a       124     0    13     1     4
  2.9378054691039585E-01 a       125     0    13     1     5
  9.1378130708836852E-02 a       126     0    13     1     6
 -1.6287926321818685E-01 a       127     0    13     1     7
  1.9593729756358810E-01 a       128     0    13     1     8
  3.8687750788942954E-01 a       129     0    13     1     9
 -6.0766103583032569E-02 a       130     0    13     1    10
 -1.8610016139328434E-01 a       131     0    14     1     1
  2.5424142259683696E-01 a       132     0    14     1     2
  1.8792295974969631E-01 a       133     0    14     1     3
  3.2645354156667461E-01 a       134     0    14     1     4
 -2.7191605489291212E-02 a       135     0    14     1     5
 -1.5316894453656726E-01 a       136     0    14     1     6
 -1.1445868151715816E-01 a       137     0    14     1     7
  2.7863975200287805E-01 a       138     0    14     1     8
 -3.6702391302406989E-02 a       139     0    14     1     9
  1.8480085410400152E-01 a       140     0    14     1    10
  2.3810418860531080E-01 a       141     0    15     1     1
  3.0326447316828969E-01 a       142     0    15     1     2
  1.8133107377039021E-01 a       143     0    15     1     3
 -5.1996671459919180E-02 a       144     0    15     1     4
 -3.5991283465953616E-01 a       145     0    15     1     5
 -1.8488300189265619E-01 a       146     0    15     1     6
  1.9492670643632773E-01 a       147     0    15     1     7
 -2.4347910497621420E-02 a       148     0    15     1     8
  3.6411818582141847E-02 a       149     0    15     1     9
 -3.1733401300340336E-01 a       150     0    15     1    10
  1.0945760451236730E-01 a       151     0    16     1     1
  1.1216822020641823E-01 a       152     0    16     1     2
 -1.2317900182342694E-02 a       153     0    16     1     3
  9.3655448043187012E-02 a       154     0    16     1     4
 -8.3664544519399271E-03 a       155     0    16     1     5
 -2.1171780016747138E-01 a       156     0    16     1     6
 -5.5125471643868940E-02 a       157     0    16     1     7
  2.6870151185422331E-01 a       158     0    16     1     8
  1.7118416416151522E-01 a       159     0    16     1     9
  2.7344144497378059E-01 a       160     0    16     1    10
  6.5528401796232802E-02 a       161     0    17     1     1
 -1.8606719807741021E-01 a       162     0    17     1     2
 -2.6717991124157503E-01 a       163     0    17     1     3
  6.9655256859099277E-02 a       164     0    17     1     4
 -2.1830784548437721E-01 a       165     0    17     1     5
  6.0864483106145548E-02 a       166     0    17     1     6
  3.0038070523648619E-01 a       167     0    17     1     7
  2.7685822816636857E-01 a       168     0    17     1     8
 -1.2379502063353417E-02 a       169     0    17     1     9
  1.9337031138305485E-01 a       170     0    17     1    10
  1.2671652503446781E-01 a       171     0    18     1     1
  1.7666702939551068E-01 a       172     0    18     1     2
  2.1057508343433939E-01 a       173     0    18     1     3
  1.4833296466318741E-01 a       174     0    18     1     4
 -1.8967818552087964E-01 a       175     0    18     1     5
 -5.5060619264581792E-02 a       176     0    18     1     6
 -1.2709786283143085E-01 a       177     0    18     1     7
  2.4494248885978537E-01 a       178     0    18     1     8
  4.1432019954370326E-02 a       179     0    18     1     9
  2.5130488965251713E-01 a       180     0    18     1    10
  1.6874270055152477E-02 a       181     0    19     1     1
 -2.5701181329331241E-01 a       182     0    19     1     2
  2.1788326689826129E-04 a       183     0    19     1     3
 -3.1388707412033129E-01 a       184     0    19     1     4
 -2.5691368195281045E-01 a       185     0    19     1     5
  1.6477652436896789E-01 a       186     0    19     1     6
  3.3447914856130612E-01 a       187     0    19     1     7
 -1.0344271904085689E-01 a       188     0    19     1     8
  2.9922159826182093E-01 a       189     0    19     1     9
  9.5023080248099787E-02 a       190     0    19     1    10
 -5.3815631019984982E-02 a       191     0    20     1     1
  1.8095939997244490E-01 a       192     0    20     1     2
  3.2101617056817416E-01 a       193     0    20     1     3
 -6.1477893675220335E-03 a       194     0    20     1     4
 -2.2840815027794092E-01 a       195     0    20     1     5
  1.7724251244830266E-01 a       196     0    20     1     6
 -3.1739338646079956E-01 a       197     0    20     1     7
  8.0640424076432293E-02 a       198     0    20     1     8
  2.6462989772082790E-01 a       199     0    20     1     9
 -2.2421008050354704E-01 a       200     0    20     1    10
 -1.6522596108681405E-02 a       201     0    21     1     1
 -8.3433991827420763E-03 a       202     0    21     1     2
 -2.0184820458695132E-01 a       203     0    21     1     3
 -2.5539981927304778E-01 a       204     0    21     1     4
 -3.2828872885813619E-02 a       205     0    21     1     5
 -2.1471779369698801E-01 a       206     0    21     1     6
  1.3447428057793806E-01 a       207     0    21     1     7
 -2.6055614620340534E-01 a       208     0    21     1     8
  2.1882894723892313E-01 a       209     0    21     1     9
 -2.2000175894082108E-01 a       210     0    21     1    10
 -1.8762069603179354E-01 a       211     0    22     1     1
 -6.8222516692749091E-02 a       212     0    22     1     2
