################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         1          1        114   2.39058038E-01   2.85549925E-01   2.61882493E-01   6.40594274E-03
         1          2        114   3.08490345E-01   3.46031212E-01   3.27822782E-01   6.54807427E-03
         1          3        114   2.17443908E-01   2.70064163E-01   2.43173760E-01   7.25130237E-03
         1          4        114   2.96217491E-01   3.38808972E-01   3.18206114E-01   7.43127772E-03
         1          5        114   1.76152669E-01   2.38591869E-01   2.06266230E-01   8.60840026E-03
         1          6        114   2.70664296E-01   3.23294654E-01   2.97845885E-01   9.18552947E-03
         1          7        114   1.28440564E-01   1.98124719E-01   1.61179349E-01   9.61910866E-03
         1          8        114   2.36407569E-01   3.01344975E-01   2.69750319E-01   1.13328837E-02
         1          9        114   2.47529673E-01   3.26741665E-01   2.89661050E-01   1.38833659E-02
         1         10        114   1.84180300E-01   2.72753693E-01   2.29143144E-01   1.22167112E-02
         1         11        114   1.97721534E-01   3.07805193E-01   2.55302239E-01   1.92988473E-02
         1         12        114   1.40413899E-01   2.58921827E-01   1.99025272E-01   1.63581381E-02
         1         13        114   1.26155846E-01   2.73161063E-01   1.98790419E-01   2.57483779E-02
         1         14        114   8.16101069E-02   2.33326846E-01   1.50522254E-01   2.10474804E-02
         1         15        114   3.27693335E-02   1.90918207E-01   9.55006168E-02   2.78980171E-02
         1         16        114   1.60230611E-02   1.70746909E-01   6.63977227E-02   2.25773605E-02
         1         17        114   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         1         18        114   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         1         19        114   4.78799949E-07   3.38759708E-05   7.15048748E-06   5.88657609E-06
         1         20        114   2.26194488E-02   4.31885155E-02   3.16155344E-02   2.99937357E-03
         1         21        114   2.09265140E-03   7.14638798E-03   3.86355236E-03   7.07747409E-04
         1         22        114   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         1         23        114   2.54787832E-02   4.12204423E-02   3.27658667E-02   2.49868497E-03
         1         24        114   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         1         25        114   1.00546446E-03   4.45344937E-03   2.13837334E-03   4.48920186E-04
         1         26        114   1.22418913E-02   2.56875436E-02   1.81308797E-02   2.07458426E-03
         1         27        114   1.13051280E-03   5.52337901E-03   2.67732913E-03   6.72359080E-04
         1         28        114  -5.89852430E-02  -7.63485586E-03  -2.99514672E-02   7.04965082E-03
         1         29        114  -4.71305873E-02  -1.53371086E-03  -2.18320533E-02   6.50648653E-03
         1         30        114  -8.44559493E-02  -7.73851128E-03  -3.89411578E-02   1.26170020E-02
         1         31        114  -3.46469060E-02   2.02667078E-02  -7.51541115E-03   8.44332025E-03
         1         32        114  -1.76785598E-03   2.17605048E-02   1.20834052E-02   3.64567322E-03
         1         33        114  -9.53444338E-02   2.04561482E-02  -2.48704602E-02   1.57520148E-02
         1         34        114  -3.76186421E-02   8.28427181E-02   2.80015046E-02   1.86500517E-02
         1         35        114  -1.43992710E-02   2.06256962E-02  -1.24547631E-03   6.15174831E-03
         1         36        114   2.61130047E-01   3.60945480E-01   3.12319644E-01   1.61293191E-02
         1         37        114  -2.62869275E-02   2.86223351E-02   6.06024534E-03   8.11096043E-03
         1         38        114  -3.32723379E-02   1.64702957E-02  -8.00706346E-03   6.64916734E-03
         1         39        114  -3.22799191E-02  -1.78435242E-02  -2.32997748E-02   2.23915572E-03
         1         40        114  -1.41014849E-01  -8.99614231E-02  -1.16148663E-01   7.90492988E-03
         1         41        114  -2.09109261E-02   2.03442681E-02  -7.29781134E-04   6.79733478E-03
         1         42        114   1.77076163E-01   3.09657807E-01   2.41523978E-01   1.96128723E-02
         1         43        114  -5.73856839E-03   3.07690709E-02   9.42871754E-03   5.22271371E-03
         1         44        114  -1.43486149E-02   1.56894648E-02   4.98972111E-04   3.85709487E-03
         1         45        114  -2.77767358E-02   2.62429392E-03  -1.02389629E-02   4.14885552E-03
         1         46        114  -3.68320725E-02   1.00732630E-02  -2.27550574E-02   6.84553189E-03
         1         47        114  -4.27507698E-02   5.02702832E-02   2.95258579E-03   1.60379536E-02
         1         48        114   3.03968015E-01   4.10115450E-01   3.55282988E-01   1.48889775E-02
         2          1         57   6.24376872E-01   6.82150603E-01   6.55645564E-01   8.71667510E-03
         2          2         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2          3         57   6.00862645E-01   6.66439332E-01   6.36412228E-01   9.89401725E-03
         2          4         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2          5         57   5.51730764E-01   6.32808811E-01   5.95691770E-01   1.22314531E-02
         2          6         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2          7         57   4.85461947E-01   5.85518150E-01   5.39500638E-01   1.50900183E-02
         2          8         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2          9         57   5.11498142E-01   6.34239683E-01   5.79322099E-01   1.85298620E-02
         2         10         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         11         57   4.17242860E-01   5.88169025E-01   5.10604478E-01   2.57574749E-02
         2         12         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         13         57   2.77637816E-01   5.05824228E-01   3.97580838E-01   3.43422235E-02
         2         14         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         15         57   8.17989517E-02   3.21730370E-01   1.91001234E-01   3.73944611E-02
         2         16         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         17         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         18         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         19         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         20         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         21         57   2.36700058E-03   2.14494999E-02   7.68208750E-03   2.45636278E-03
         2         22         57   9.79353634E-05   3.16923101E-03   1.05583758E-03   4.77815168E-04
         2         23         57   1.51425357E-02   3.28171781E-02   2.28568906E-02   2.32125712E-03
         2         24         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         25         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         26         57   8.53064415E-03   2.06623501E-02   1.37725285E-02   1.89662517E-03
         2         27         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         28         57   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
         2         29         57   7.74851871E-03   1.92026391E-02   1.26470070E-02   1.66664638E-03
         2         30         57   4.40728972E-03   1.28762572E-02   7.62224603E-03   1.28527306E-03
         2         31         57  -8.36913712E-03   2.21886953E-02   9.36676542E-03   4.63927916E-03
         2         32         57  -3.73398703E-02  -2.09177038E-02  -2.39406525E-02   3.76554538E-03
         2         33         57  -2.12878229E-03   5.50983430E-03  -8.55289100E-04   1.28855144E-03
         2         34         57  -2.91656706E-02   5.70972723E-02   1.81795115E-02   1.07714517E-02
         2         35         57   4.73642981E-01   6.31937064E-01   5.45569444E-01   2.07587506E-02
         2         36         57  -1.91724575E-02  -3.06873151E-03  -1.30510898E-02   2.97789486E-03
         2         37         57  -2.24720197E-01  -1.09527722E-01  -1.62361843E-01   1.43837498E-02
         2         38         57   5.33385510E-03   6.13889167E-02   4.17846419E-02   7.23321571E-03
         2         39         57   6.70693619E-02   8.10452463E-02   7.56867902E-02   2.25326035E-03
         2         40         57   1.03305043E-01   2.34461663E-01   1.63103492E-01   1.60904462E-02
         2         41         57   1.67683572E-02   1.28947538E-01   6.59419143E-02   1.36499420E-02
         2         42         57  -3.55137730E-01  -2.29670031E-01  -2.84150181E-01   1.57619986E-02
         2         43         57  -3.79873259E-01  -3.47498971E-01  -3.64382166E-01   5.12733862E-03
         2         44         57   1.64831905E-01   2.93700885E-01   2.25353432E-01   1.60345853E-02
         2         45         57  -1.97153419E-02  -4.57120835E-03  -8.55983984E-03   2.69867722E-03
         2         46         57   2.36542565E-02   5.48838127E-02   4.14019214E-02   4.00846409E-03
         2         47         57   2.87314379E-02   3.89188901E-02   3.44656983E-02   1.44591798E-03
         2         48         57  -3.31545103E-02  -1.33410145E-02  -2.08852782E-02   2.63389744E-03
         2         49         57   2.43445864E-01   3.33193185E-01   2.87337530E-01   1.12214432E-02
         2         50         57   2.52987354E-03   2.77534928E-02   1.74437697E-02   4.22981289E-03
         2         51         57  -8.18316454E-01  -6.15019343E-01  -7.10943008E-01   2.54715570E-02
