################################################################################
# ES comparison.
################################################################################
# Col  Name   Description
################################################################################
# 1    index  Structure index.
# 2    Qref   Reference charge per atom.
# 3    Q      NNP charge per atom 
# 4    index  Structure index.
# 5    MuXRef Reference MuX per atom.
# 6    MuX    NNP MuX per atom 
# 7    MuYRef Reference MuY per atom.
# 8    MuY    NNP MuY per atom 
# 9    MuZRef Reference MuZ per atom.
# 10   MuZ    NNP MuZ per atom 
############################################################################################################################################################
#        1                2                3         4                5                6                7                8                9               10
#    index             Qref                Q     index           MuXRef              MuX           MuYRef              MuY           MuZRef              MuZ
############################################################################################################################################################
         0   0.00000000E+00  -3.97904715E-05         0   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.61788531E-01  -2.63068151E-01
         1   0.00000000E+00  -3.98187072E-05         1  -2.22943844E-03  -2.24157120E-03   0.00000000E+00  -4.40722427E-06  -2.61788531E-01  -2.63062412E-01
         2   0.00000000E+00  -3.98187072E-05         2  -2.22943844E-03  -2.24157120E-03   0.00000000E+00   4.40722427E-06  -2.61788531E-01  -2.63062412E-01
         3   0.00000000E+00  -4.07305899E-05         3   4.45887688E-03   4.48377177E-03   0.00000000E+00   0.00000000E+00  -2.61775416E-01  -2.63050972E-01
         4   0.00000000E+00  -1.01582377E-04         4   0.00000000E+00   0.00000000E+00  -1.61306428E-03  -1.58112557E-03  -2.62168846E-01  -2.63503061E-01
         5   0.00000000E+00   2.37727220E-05         5   0.00000000E+00   0.00000000E+00  -1.61306428E-03  -1.56498992E-03  -2.61408215E-01  -2.62626889E-01
         6   0.00000000E+00  -3.84479787E-05         6   0.00000000E+00   0.00000000E+00   3.23924291E-03   3.14681490E-03  -2.61788531E-01  -2.63068743E-01
         7   0.00000000E+00  -9.47270174E-05         7   0.00000000E+00   0.00000000E+00  -4.85230720E-04  -5.15032788E-04  -2.62981936E-01  -2.64291785E-01
         8   0.00000000E+00  -9.47270174E-05         8   0.00000000E+00   0.00000000E+00   4.85230720E-04   5.15032788E-04  -2.62981936E-01  -2.64291785E-01
         9   0.00000000E+00   6.89901398E-05         9   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.59375491E-01  -2.60570688E-01
        10   0.00000000E+00  -3.98187072E-05        10   2.22943844E-03   2.24157120E-03   0.00000000E+00  -4.40722427E-06  -2.61788531E-01  -2.63062412E-01
        11   0.00000000E+00  -3.98187072E-05        11   2.22943844E-03   2.24157120E-03   0.00000000E+00   4.40722427E-06  -2.61788531E-01  -2.63062412E-01
        12   0.00000000E+00  -4.07305899E-05        12  -4.45887688E-03  -4.48377177E-03   0.00000000E+00   0.00000000E+00  -2.61775416E-01  -2.63050972E-01
        13   0.00000000E+00   2.37727220E-05        13   0.00000000E+00   0.00000000E+00   1.61306428E-03   1.56498992E-03  -2.61408215E-01  -2.62626889E-01
        14   0.00000000E+00  -1.01582377E-04        14   0.00000000E+00   0.00000000E+00   1.61306428E-03   1.58112557E-03  -2.62168846E-01  -2.63503061E-01
        15   0.00000000E+00  -3.84479787E-05        15   0.00000000E+00   0.00000000E+00  -3.23924291E-03  -3.14681490E-03  -2.61788531E-01  -2.63068743E-01
        16   0.00000000E+00   1.55248209E-05        16   0.00000000E+00   0.00000000E+00   4.72116376E-04   5.19329796E-04  -2.60582011E-01  -2.61824420E-01
        17   0.00000000E+00   1.55248209E-05        17   0.00000000E+00   0.00000000E+00  -4.72116376E-04  -5.19329796E-04  -2.60582011E-01  -2.61824420E-01
        18   0.00000000E+00  -1.51440717E-04        18   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.64175341E-01  -2.65506948E-01
        19   0.00000000E+00  -3.97904715E-05        19   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.61788531E-01  -2.63068151E-01
        20   0.00000000E+00  -4.04252403E-05        20  -1.11471922E-02  -1.11985138E-02  -1.04914750E-04  -1.09981107E-04  -2.61657387E-01  -2.62924946E-01
        21   0.00000000E+00  -4.04252403E-05        21  -1.11471922E-02  -1.11985138E-02   1.04914750E-04   1.09981107E-04  -2.61657387E-01  -2.62924946E-01
        22   0.00000000E+00  -6.33138686E-05        22   2.22681557E-02   2.23855080E-02   0.00000000E+00   0.00000000E+00  -2.61355757E-01  -2.62639565E-01
        23   0.00000000E+00  -3.27055046E-04        23   0.00000000E+00   0.00000000E+00  -8.10466446E-03  -8.07882841E-03  -2.63690110E-01  -2.65170271E-01
        24   0.00000000E+00   2.92346208E-04        24   0.00000000E+00   0.00000000E+00  -8.06532142E-03  -7.67441976E-03  -2.59860722E-01  -2.60806601E-01
        25   0.00000000E+00  -6.67185639E-06        25   0.00000000E+00   0.00000000E+00   1.61568715E-02   1.57504353E-02  -2.61827874E-01  -2.63081534E-01
        26   0.00000000E+00  -3.06850564E-04        26   0.00000000E+00   0.00000000E+00  -2.53106835E-03  -2.52681380E-03  -2.67637528E-01  -2.68999326E-01
        27   0.00000000E+00  -3.06850564E-04        27   0.00000000E+00   0.00000000E+00   2.53106835E-03   2.52681380E-03  -2.67637528E-01  -2.68999326E-01
        28   0.00000000E+00   4.62438703E-04        28   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.49316790E-01  -2.49964819E-01
        29   0.00000000E+00  -4.04252403E-05        29   1.11471922E-02   1.11985138E-02  -1.04914750E-04  -1.09981107E-04  -2.61657387E-01  -2.62924946E-01
        30   0.00000000E+00  -4.04252403E-05        30   1.11471922E-02   1.11985138E-02   1.04914750E-04   1.09981107E-04  -2.61657387E-01  -2.62924946E-01
        31   0.00000000E+00  -6.33138686E-05        31  -2.22681557E-02  -2.23855080E-02   0.00000000E+00   0.00000000E+00  -2.61355757E-01  -2.62639565E-01
        32   0.00000000E+00   2.92346208E-04        32   0.00000000E+00   0.00000000E+00   8.06532142E-03   7.67441976E-03  -2.59860722E-01  -2.60806601E-01
        33   0.00000000E+00  -3.27055046E-04        33   0.00000000E+00   0.00000000E+00   8.10466446E-03   8.07882841E-03  -2.63690110E-01  -2.65170271E-01
        34   0.00000000E+00  -6.67185639E-06        34   0.00000000E+00   0.00000000E+00  -1.61568715E-02  -1.57504353E-02  -2.61827874E-01  -2.63081534E-01
        35   0.00000000E+00   2.36314861E-04        35   0.00000000E+00   0.00000000E+00   2.20320975E-03   2.63326450E-03  -2.55637903E-01  -2.56635078E-01
        36   0.00000000E+00   2.36314861E-04        36   0.00000000E+00   0.00000000E+00  -2.20320975E-03  -2.63326450E-03  -2.55637903E-01  -2.56635078E-01
        37   0.00000000E+00  -6.14876384E-04        37   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.73355382E-01  -2.74704277E-01
        38   0.00000000E+00  -3.97904715E-05        38   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.61788531E-01  -2.63068151E-01
        39   0.00000000E+00  -3.29401955E-05        39  -4.40379664E-02  -4.42282100E-02  -1.59994994E-03  -1.71067053E-03  -2.59598435E-01  -2.60841304E-01
        40   0.00000000E+00  -3.29401955E-05        40  -4.40379664E-02  -4.42282100E-02   1.59994994E-03   1.71067053E-03  -2.59598435E-01  -2.60841304E-01
        41   0.00000000E+00  -4.17581286E-04        41   8.69612136E-02   8.75316722E-02   0.00000000E+00   0.00000000E+00  -2.55139558E-01  -2.56427381E-01
        42   0.00000000E+00  -5.96383405E-04        42   0.00000000E+00   0.00000000E+00  -3.24973439E-02  -3.55134259E-02  -2.69303049E-01  -2.69942231E-01
        43   0.00000000E+00   1.38478524E-03        43   0.00000000E+00   0.00000000E+00  -3.17629406E-02  -2.88165560E-02  -2.53696980E-01  -2.53508842E-01
        44   0.00000000E+00   3.86068098E-04        44   0.00000000E+00   0.00000000E+00   6.34078522E-02   6.39181575E-02  -2.62365562E-01  -2.62956149E-01
        45   0.00000000E+00  -8.59762407E-04        45   0.00000000E+00   0.00000000E+00  -1.20258532E-02  -9.23650005E-03  -2.83230483E-01  -2.84649319E-01
        46   0.00000000E+00  -8.59762407E-04        46   0.00000000E+00   0.00000000E+00   1.20258532E-02   9.23650005E-03  -2.83230483E-01  -2.84649319E-01
        47   0.00000000E+00   7.08043604E-04        47   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.04518191E-01  -2.00054237E-01
        48   0.00000000E+00  -3.29401955E-05        48   4.40379664E-02   4.42282100E-02  -1.59994994E-03  -1.71067053E-03  -2.59598435E-01  -2.60841304E-01
        49   0.00000000E+00  -3.29401955E-05        49   4.40379664E-02   4.42282100E-02   1.59994994E-03   1.71067053E-03  -2.59598435E-01  -2.60841304E-01
