################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-03
         1          1   1.00009994E+02   2.67587595E-07   7.07096711E-24   1.69033687E-05   9.60418680E-03   1.04121257E-03
         2          2   1.00019597E+02   3.95045993E-07   1.01314629E-23   1.20438340E-05   9.22404040E-03   1.08412361E-03
         3          3   1.00028815E+02   6.80611171E-07   2.02866307E-23   2.17605851E-05   8.85894071E-03   1.12880313E-03
         4          4   1.00037666E+02   1.24687233E-06   3.21781250E-23   2.61517442E-05   8.50829214E-03   1.17532401E-03
         5          5   1.00046167E+02   1.62676387E-06   3.91803291E-23   2.18875966E-05   8.17152270E-03   1.22376213E-03
         6          6   1.00054330E+02   1.92481276E-06   4.66947294E-23   2.16213930E-05   7.84808304E-03   1.27419651E-03
         7          7   1.00062169E+02   1.94652732E-06   6.24939275E-23   3.21740697E-05   7.53744555E-03   1.32670942E-03
         8          8   1.00069700E+02   2.23051612E-06   6.64194285E-23   2.05591962E-05   7.23910351E-03   1.38138652E-03
         9          9   1.00076930E+02   2.65184434E-06   7.48868621E-23   2.63685078E-05   6.95257023E-03   1.43831701E-03
        10         10   1.00083873E+02   3.09897197E-06   8.24551172E-23   2.63563546E-05   6.67737832E-03   1.49759374E-03
        11         11   1.00090540E+02   3.56318518E-06   9.54551701E-23   2.73226339E-05   6.41307887E-03   1.55931343E-03
        12         12   1.00096943E+02   4.06699703E-06   1.01824977E-22   2.90297692E-05   6.15924074E-03   1.62357674E-03
        13         13   1.00103093E+02   4.28861510E-06   1.15316573E-22   3.48998431E-05   5.91544986E-03   1.69048851E-03
        14         14   1.00108998E+02   4.73388701E-06   1.26059317E-22   3.22456106E-05   5.68130855E-03   1.76015788E-03
        15         15   1.00114667E+02   5.65454709E-06   1.45436406E-22   4.44902904E-05   5.45643485E-03   1.83269851E-03
        16         16   1.00120113E+02   5.80751018E-06   1.62085709E-22   3.64320969E-05   5.24046196E-03   1.90822872E-03
        17         17   1.00125341E+02   6.25628592E-06   1.72547887E-22   3.63978811E-05   5.03303755E-03   1.98687172E-03
        18         18   1.00130360E+02   7.01293561E-06   1.87945835E-22   4.59847490E-05   4.83382328E-03   2.06875581E-03
        19         19   1.00135180E+02   7.65162796E-06   1.98084337E-22   3.76975876E-05   4.64249418E-03   2.15401455E-03
        20         20   1.00139811E+02   7.91036676E-06   2.08770307E-22   4.62387632E-05   4.45873813E-03   2.24278702E-03
        21         21   1.00144258E+02   8.76252432E-06   2.30401765E-22   4.81180737E-05   4.28225538E-03   2.33521803E-03
        22         22   1.00148525E+02   9.30976943E-06   2.45098623E-22   4.34886239E-05   4.11275806E-03   2.43145837E-03
        23         23   1.00152625E+02   9.83659039E-06   2.54925115E-22   3.74800519E-05   3.94996967E-03   2.53166501E-03
        24         24   1.00156558E+02   1.04574990E-05   2.69402487E-22   4.76805761E-05   3.79362465E-03   2.63600143E-03
        25         25   1.00160334E+02   1.11049095E-05   2.87041944E-22   4.91408878E-05   3.64346798E-03   2.74463782E-03
        26         26   1.00163959E+02   1.18196003E-05   3.20097665E-22   5.22377430E-05   3.49925471E-03   2.85775139E-03
        27         27   1.00167443E+02   1.28424144E-05   3.34239524E-22   6.11982815E-05   3.36074959E-03   2.97552666E-03
        28         28   1.00170784E+02   1.35691695E-05   3.34777988E-22   5.59728897E-05   3.22772668E-03   3.09815576E-03
        29         29   1.00173995E+02   1.40644289E-05   3.69206772E-22   6.14105702E-05   3.09996900E-03   3.22583871E-03
        30         30   1.00177074E+02   1.51368433E-05   3.96560894E-22   6.46818010E-05   2.97726813E-03   3.35878381E-03
        31         31   1.00180031E+02   1.57841554E-05   4.15374139E-22   6.47106593E-05   2.85942393E-03   3.49720792E-03
        32         32   1.00182868E+02   1.68248385E-05   4.36695223E-22   6.50556420E-05   2.74624415E-03   3.64133684E-03
        33         33   1.00185590E+02   1.79493000E-05   4.63529878E-22   6.74571773E-05   2.63754418E-03   3.79140568E-03
