################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1373911212099062E-01 a         1     0     1     1     1
  7.5274656786335783E-02 a         2     0     1     1     2
  1.2664516664916931E-01 a         3     0     1     1     3
  2.4869628817012995E-01 a         4     0     1     1     4
  9.4248130282687054E-02 a         5     0     1     1     5
  2.0223579375429186E-02 a         6     0     1     1     6
 -1.7178415235741787E-01 a         7     0     1     1     7
 -1.9760934607249196E-02 a         8     0     1     1     8
 -1.0392783244926151E-01 a         9     0     1     1     9
  2.8854581845025729E-01 a        10     0     1     1    10
  2.8436627293352951E-01 a        11     0     2     1     1
 -8.7879856223069819E-02 a        12     0     2     1     2
 -2.5217154384327295E-01 a        13     0     2     1     3
 -2.0939384541645259E-01 a        14     0     2     1     4
 -4.3321007871110519E-02 a        15     0     2     1     5
  1.8421446921388515E-01 a        16     0     2     1     6
  3.2862099554622909E-01 a        17     0     2     1     7
 -2.6064183776696104E-01 a        18     0     2     1     8
  2.5252509729204808E-01 a        19     0     2     1     9
  3.4864661048508189E-01 a        20     0     2     1    10
 -4.1028674564218559E-01 a        21     0     3     1     1
 -2.7962214078363978E-01 a        22     0     3     1     2
  9.6617179586061683E-02 a        23     0     3     1     3
 -4.3181198485675198E-01 a        24     0     3     1     4
  2.7657283573898134E-01 a        25     0     3     1     5
 -6.4323615269751833E-02 a        26     0     3     1     6
 -2.0344996585148387E-01 a        27     0     3     1     7
  3.4521887862568956E-01 a        28     0     3     1     8
 -2.8207849009063468E-01 a        29     0     3     1     9
 -3.9686998489666322E-03 a        30     0     3     1    10
 -2.6178491424747513E-01 a        31     0     4     1     1
 -2.3474807021093852E-01 a        32     0     4     1     2
  3.3646428409730278E-01 a        33     0     4     1     3
  1.6854718367412461E-01 a        34     0     4     1     4
  1.0163163866109376E-01 a        35     0     4     1     5
  1.3263528398146590E-01 a        36     0     4     1     6
 -1.9684306802794291E-01 a        37     0     4     1     7
  2.9099965635483305E-01 a        38     0     4     1     8
  1.5587208768276098E-01 a        39     0     4     1     9
 -1.7059390004101399E-01 a        40     0     4     1    10
 -2.7790015860456269E-01 a        41     0     5     1     1
 -2.4283422179270142E-01 a        42     0     5     1     2
 -1.5787150570702366E-01 a        43     0     5     1     3
  2.5546159063879614E-01 a        44     0     5     1     4
 -1.8815707180757574E-01 a        45     0     5     1     5
 -2.9620602123841544E-01 a        46     0     5     1     6
 -2.1738656000528359E-01 a        47     0     5     1     7
 -1.9845477075425760E-01 a        48     0     5     1     8
  1.0522976380250848E-01 a        49     0     5     1     9
  8.8116909391651954E-02 a        50     0     5     1    10
  4.5053614465868780E-02 a        51     0     6     1     1
  2.2002074192973377E-02 a        52     0     6     1     2
  4.0409591593573135E-01 a        53     0     6     1     3
 -6.7685572594579968E-02 a        54     0     6     1     4
 -1.8616003216816218E-01 a        55     0     6     1     5
 -2.6244404577508568E-01 a        56     0     6     1     6
  2.4758560125073031E-01 a        57     0     6     1     7
  3.5508834451344351E-01 a        58     0     6     1     8
  3.2582100203251840E-01 a        59     0     6     1     9
 -2.6627757600878721E-01 a        60     0     6     1    10
  1.5111330116681834E-01 a        61     0     7     1     1
 -3.0567925545283627E-02 a        62     0     7     1     2
  9.7436150734094770E-02 a        63     0     7     1     3
  1.4720870347152734E-01 a        64     0     7     1     4
 -1.8099486581544846E-01 a        65     0     7     1     5
 -1.6478928348280308E-01 a        66     0     7     1     6
 -3.7652764211362363E-02 a        67     0     7     1     7
 -3.3133053588133082E-01 a        68     0     7     1     8
  6.4252727063999898E-02 a        69     0     7     1     9
  3.5926263573666427E-02 a        70     0     7     1    10
  2.2633960345458970E-01 a        71     0     8     1     1
  4.2233781197315740E-01 a        72     0     8     1     2
 -3.4586944471154440E-01 a        73     0     8     1     3
  2.6677847285501294E-02 a        74     0     8     1     4
 -3.5487195288034507E-01 a        75     0     8     1     5
 -1.6350039114087073E-01 a        76     0     8     1     6
  1.3961621345168515E-01 a        77     0     8     1     7
  1.6782787954038542E-01 a        78     0     8     1     8
 -1.9293595526743432E-01 a        79     0     8     1     9
 -3.6124881419130411E-01 a        80     0     8     1    10
  5.0601735708770482E-02 a        81     0     9     1     1
 -2.2379734105192742E-02 a        82     0     9     1     2
  1.5201247593954520E-01 a        83     0     9     1     3
 -1.3677149389428800E-01 a        84     0     9     1     4
 -3.4735611097120245E-01 a        85     0     9     1     5
  1.6261937097374213E-01 a        86     0     9     1     6
 -1.4770506766141561E-01 a        87     0     9     1     7
 -4.3417259610343539E-01 a        88     0     9     1     8
  3.0862536412073560E-01 a        89     0     9     1     9
  3.8295366219495980E-01 a        90     0     9     1    10
 -1.2575786955869372E-01 a        91     0    10     1     1
 -2.7551522994323491E-01 a        92     0    10     1     2
 -1.5458518813540820E-01 a        93     0    10     1     3
  5.0397820209620345E-02 a        94     0    10     1     4
  5.7291630155254299E-02 a        95     0    10     1     5
 -2.8664745028869197E-02 a        96     0    10     1     6
  2.3733383740260478E-02 a        97     0    10     1     7
  3.1097690761831699E-02 a        98     0    10     1     8
 -1.1950387526814291E-01 a        99     0    10     1     9
  1.0471966725993784E-01 a       100     0    10     1    10
  2.7439518362043619E-01 a       101     0    11     1     1
  1.5582189501622246E-01 a       102     0    11     1     2
 -3.0499796219471303E-01 a       103     0    11     1     3
  4.0688066051145784E-02 a       104     0    11     1     4
  2.7060593658167620E-01 a       105     0    11     1     5
  3.1949038607592722E-01 a       106     0    11     1     6
  2.1388744650523550E-01 a       107     0    11     1     7
 -1.4949951868612929E-02 a       108     0    11     1     8
  3.0707854920310318E-01 a       109     0    11     1     9
  1.2191286223201279E-01 a       110     0    11     1    10
  1.9820696980722566E-01 a       111     0    12     1     1
