################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.3221693617312409E+00   2.6431829268494318E+00   2.1712109289368247E+00   1.8491740949749499E-01
         1          2   8.8165507590121173E-01   1.5021513119899597E+00   1.2778122580628930E+00   9.2610524821451753E-02
         1          3   9.5063170525557450E-01   1.9645434630136058E+00   1.5754555245780275E+00   1.4788592306894621E-01
         1          4   6.8720926352748579E-01   1.1734596705047005E+00   9.8013669175527562E-01   7.3842159315790995E-02
         1          5   5.3114680346458354E-01   1.1735104787393886E+00   8.6903918776136235E-01   9.7965057245769468E-02
         1          6   4.5446803146192033E-01   7.7208808607104429E-01   6.2874675223192655E-01   4.9613886357226057E-02
         1          7   2.7732917100342253E-01   6.5610689623748530E-01   4.3632718893459949E-01   5.9842739811326963E-02
         1          8   3.0248121122588550E-01   5.0262343273858523E-01   4.1296646104933443E-01   3.3605991719981652E-02
         1          9   2.7091763975787908E-01   4.3771867263061898E-01   3.5532262189206998E-01   3.0837550827153875E-02
         1         10   3.0607810460301721E-01   8.2737294952385643E-01   5.1367846789526683E-01   8.2396345907454663E-02
         1         11   1.6781481618321620E-01   3.3262544522941567E-01   2.6405877879038225E-01   2.0079773509943999E-02
         1         12   1.5199899860595487E-01   5.1758403256923136E-01   2.8216876544103819E-01   5.3030699298769884E-02
         1         13   7.9964213161399622E-02   2.7810985736196048E-01   1.8323412046338641E-01   2.0256908897343689E-02
         1         14   5.0022559628496790E-02   3.1251552588862525E-01   1.4532438879262649E-01   3.5408976290196133E-02
         1         15   1.0972758958750340E-02   1.9780403448379355E-01   7.5743125451543464E-02   2.0368083851198465E-02
         1         16   4.0564819222288781E-03   2.0020915524049129E-01   4.5553334901545381E-02   2.6816652873187387E-02
         1         17   1.6392409428096495E-03   2.9517020055424965E-02   1.6279759210012987E-02   5.1720047323678305E-03
         1         18   5.9064708278282422E-03   2.9881994921193037E-02   1.8893635227048084E-02   3.4996722469232615E-03
         1         19   1.8153163715732047E-03   3.2340440598797267E-02   1.5251396366744187E-02   4.9976078942982000E-03
         1         20   7.7218851587917733E-02   1.9164313445186643E-01   1.3079740560426911E-01   1.8047175980619144E-02
         1         21   6.4007973804529059E-03   3.4352270791092016E-02   1.6008839167468644E-02   4.4985079286083817E-03
         1         22   7.1919475628770633E-04   1.1394644806220962E-02   5.5243272719661370E-03   2.1112600852613360E-03
         1         23   4.6183461439172700E-02   1.1842669503328145E-01   7.3672710889966617E-02   1.1140003788632778E-02
         1         24   9.1433846516636300E-04   7.2448079200631435E-03   3.4708660085473421E-03   1.0041987311934536E-03
         1         25   1.1212823920457907E-03   7.4909848911080303E-03   3.3413578741542990E-03   9.5694251844216584E-04
         1         26   1.4490733031593308E-02   3.4896169686888259E-02   2.2593555563529346E-02   3.2185820632295360E-03
         1         27   6.2962266934873370E-04   5.1814478231837708E-03   2.0022000098156734E-03   6.1375837903329580E-04
         2          1   1.7278003594190614E+00   3.0200705624254800E+00   2.5556245161257856E+00   1.8104733161286221E-01
         2          2   5.2830234917918706E-01   1.1347830825159735E+00   9.1702802710027165E-01   8.9012140951743812E-02
         2          3   1.3413913725634969E+00   2.3281910061725979E+00   1.9602733835105499E+00   1.4178250890730135E-01
         2          4   3.3973454632955891E-01   7.9106176901817504E-01   6.2374175167509027E-01   6.7920469352681950E-02
         2          5   9.1198642957067111E-01   1.5175524019444988E+00   1.2574935044638524E+00   9.0840547884065884E-02
         2          6   1.4007970492770022E-01   3.9737354984873247E-01   2.8710959644164014E-01   3.9568021301260102E-02
         2          7   6.6026020925081819E-01   9.9631802932099345E-01   8.2593292209866886E-01   5.6260988440493979E-02
         2          8   4.2701723604415591E-02   1.5473052305514318E-01   1.0198348350484392E-01   1.9093898225897285E-02
         2          9   5.9779238984500505E-01   8.7214154955749079E-01   7.1064524378414051E-01   4.5991882003611061E-02
         2         10   1.9985378144803539E-01   6.5655897218566961E-01   4.4271239561305481E-01   7.3593849758181298E-02
         2         11   4.1502563461045061E-01   6.5057595299175863E-01   5.2811755758076462E-01   2.9733597901082494E-02
         2         12   1.0539027020125730E-01   4.7399188573233936E-01   2.8778725245738268E-01   6.7239561345988574E-02
         2         13   2.4956202107947581E-01   4.9952217805446991E-01   3.6646824092677294E-01   2.9672553474086864E-02
         2         14   3.1300696765894372E-02   3.1614843646709495E-01   1.5249418366539033E-01   5.4780305337940725E-02
         2         15   6.3223700189371984E-02   3.0994899667375042E-01   1.5148625090308679E-01   2.9292310574299003E-02
         2         16   8.5041679154015080E-04   1.3041346013164098E-01   3.7068123760173093E-02   2.4399391242546600E-02
         2         17   4.4317519796445125E-03   2.5144073105819006E-02   1.3864844737089646E-02   3.2528315804002421E-03
         2         18   8.1860993427251450E-05   1.3466045085857882E-03   5.5084028256248353E-04   2.3430301127519307E-04
         2         19   7.9083037432116574E-02   2.5796793485265018E-01   1.7694123779133997E-01   2.7939522253686084E-02
         2         20   2.1441033279915693E-03   1.4776262369620636E-02   8.7339425459512388E-03   2.1168859996502131E-03
         2         21   1.3804891348827992E-02   4.9194759330688419E-02   2.8874387893367073E-02   5.8165890736635445E-03
         2         22   2.6051407335652470E-02   1.0496356106048188E-01   6.4565049831895691E-02   1.2764836900155238E-02
         2         23   2.9045826947719764E-02   7.2380719406296840E-02   4.5302566117440060E-02   7.3746817680982292E-03
         2         24   1.3607528794234731E-03   1.0984596811105134E-02   5.4354345893373223E-03   1.6123179093972247E-03
         2         25   1.6511705563216432E-05   5.2501188368496920E-04   1.8911718281856293E-04   8.6408752300015242E-05
         2         26   2.0072212589651691E-02   7.6648328811296115E-02   4.4378983939995224E-02   8.7718911463091145E-03
         2         27   1.0836132444402236E-02   5.4980675069752655E-02   3.0545338532716595E-02   7.5167668082525840E-03
         2         28   6.2351340984659345E-05   1.4410461325923994E-03   5.3991094439800988E-04   2.2577401100509208E-04
         2         29   8.4843170594598259E-03   2.6368291824445399E-02   1.5321153812859300E-02   2.3405182276766590E-03
         2         30   4.2231192236936964E-03   1.8846153205016300E-02   1.0613759624824321E-02   2.2975215777576545E-03
