################################################################################
# ES comparison.
################################################################################
# Col  Name   Description
################################################################################
# 1    index  Structure index.
# 2    Qref   Reference charge per atom.
# 3    Q      NNP charge per atom 
# 4    index  Structure index.
# 5    MuXRef Reference MuX per atom.
# 6    MuX    NNP MuX per atom 
# 7    MuYRef Reference MuY per atom.
# 8    MuY    NNP MuY per atom 
# 9    MuZRef Reference MuZ per atom.
# 10   MuZ    NNP MuZ per atom 
############################################################################################################################################################
#        1                2                3         4                5                6                7                8                9               10
#    index             Qref                Q     index           MuXRef              MuX           MuYRef              MuY           MuZRef              MuZ
############################################################################################################################################################
         0   0.00000000E+00   2.43854626E-04         0   0.00000000E+00   6.55985022E-04   0.00000000E+00   2.46164101E-03   0.00000000E+00   3.43062911E-03
         1   0.00000000E+00  -4.20819823E-04         1   0.00000000E+00  -1.94982319E-03   0.00000000E+00  -4.24962021E-03   0.00000000E+00  -1.39977318E-03
         3   0.00000000E+00   2.63639074E-04         3   0.00000000E+00   9.50688009E-03   0.00000000E+00   6.35799493E-03   0.00000000E+00   2.55851051E-03
         4   0.00000000E+00   4.39714852E-04         4   0.00000000E+00   2.98963044E-03   0.00000000E+00   1.89350757E-03   0.00000000E+00   3.71400147E-03
         5   0.00000000E+00  -1.61147501E-04         5   0.00000000E+00  -1.24257150E-03   0.00000000E+00  -3.06010810E-03   0.00000000E+00   2.54569786E-03
         6   0.00000000E+00   4.58805574E-04         6   0.00000000E+00   5.05108569E-03   0.00000000E+00   5.97742691E-03   0.00000000E+00   3.65308266E-03
         7   0.00000000E+00   4.32790006E-04         7   0.00000000E+00   2.14373083E-03   0.00000000E+00   2.69448897E-03   0.00000000E+00   7.69963743E-04
         8   0.00000000E+00   1.16436663E-03         8   0.00000000E+00   1.34466635E-02   0.00000000E+00   1.39678105E-02   0.00000000E+00   8.47996319E-03
         9   0.00000000E+00   1.09669133E-03         9   0.00000000E+00   8.37875352E-03   0.00000000E+00   2.46569413E-03   0.00000000E+00   5.48728719E-03
        10   0.00000000E+00   6.45656184E-04        10   0.00000000E+00   6.03498342E-04   0.00000000E+00   5.54481564E-03   0.00000000E+00   8.23286812E-03
        11   0.00000000E+00   8.10689150E-04        11   0.00000000E+00   1.04005081E-02   0.00000000E+00   1.96172353E-03   0.00000000E+00   9.25861541E-03
        12   0.00000000E+00  -8.51218978E-05        12   0.00000000E+00   1.51537361E-03   0.00000000E+00  -3.77001529E-03   0.00000000E+00  -1.11782425E-03
        13   0.00000000E+00   5.33173957E-04        13   0.00000000E+00   6.25342896E-03   0.00000000E+00   9.86461307E-03   0.00000000E+00   6.63659106E-03
        14   0.00000000E+00   5.62596490E-04        14   0.00000000E+00   3.42174844E-03   0.00000000E+00   6.13288305E-03   0.00000000E+00   7.40217727E-03
        15   0.00000000E+00   1.27781959E-04        15   0.00000000E+00  -1.22799976E-03   0.00000000E+00   3.71488058E-04   0.00000000E+00   4.98127802E-04
        16   0.00000000E+00  -4.81787943E-05        16   0.00000000E+00  -2.47476531E-03   0.00000000E+00  -1.89197946E-03   0.00000000E+00  -4.19040333E-04
        17   0.00000000E+00   2.67522627E-04        17   0.00000000E+00   9.62155299E-05   0.00000000E+00   2.37092140E-03   0.00000000E+00   3.47146044E-03
        18   0.00000000E+00  -7.55490650E-05        18   0.00000000E+00  -4.50599953E-03   0.00000000E+00  -4.39874152E-04   0.00000000E+00   5.34604249E-04
        19   0.00000000E+00   3.74023798E-05        19   0.00000000E+00  -1.55306176E-03   0.00000000E+00   1.30528511E-03   0.00000000E+00   1.37931765E-03
