################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1          1   9.99746275E+01   1.11128070E-02   2.98186110E-19   4.80275946E-05   8.85894071E-03   1.12880313E-02
         2          2   9.99482280E+01   1.21084313E-02   5.10717817E-19   4.57612092E-06   7.84808304E-03   1.27419651E-02
         3          3   9.99449171E+01   1.37172798E-02   5.80103795E-19   6.57451509E-04   6.95257023E-03   1.43831701E-02
         4          4   9.99367866E+01   1.56133991E-02   6.71688527E-19   2.27292315E-03   6.15924074E-03   1.62357674E-02
         5          5   9.99230681E+01   1.73752892E-02   7.81297531E-19   2.03748159E-04   5.45643485E-03   1.83269851E-02
         6          6   9.99031769E+01   2.14557326E-02   9.32393305E-19   1.90424416E-06   4.83382328E-03   2.06875581E-02
         7          7   9.98823651E+01   2.43960826E-02   1.08491450E-18   3.54950081E-05   4.28225538E-03   2.33521803E-02
         8          8   9.98693322E+01   2.61107406E-02   1.16768346E-18   6.80346408E-04   3.79362465E-03   2.63600143E-02
         9          9   9.98609988E+01   2.66691544E-02   1.22856306E-18   8.26711006E-04   3.36074959E-03   2.97552666E-02
        10         10   9.98547325E+01   2.73792880E-02   1.27098611E-18   7.74939882E-04   2.97726813E-03   3.35878381E-02
        11         11   9.98461623E+01   2.79471771E-02   1.31947842E-18   5.19728283E-04   2.63754418E-03   3.79140568E-02
        12         12   9.98336037E+01   2.90205480E-02   1.40020405E-18   4.04313100E-05   2.33658475E-03   4.27975060E-02
        13         13   9.98224843E+01   3.01278653E-02   1.45943293E-18   1.55024011E-05   2.06996658E-03   4.83099587E-02
        14         14   9.98128383E+01   3.04817068E-02   1.50036802E-18   1.91298019E-05   1.83377112E-03   5.45324327E-02
        15         15   9.97985525E+01   3.13418499E-02   1.56710350E-18   3.45858951E-05   1.62452696E-03   6.15563807E-02
        16         16   9.97821820E+01   3.21657374E-02   1.63185004E-18   4.55925919E-05   1.43915880E-03   6.94850352E-02
        17         17   9.97686439E+01   3.27611694E-02   1.68788857E-18   3.42774767E-04   1.27494225E-03   7.84349253E-02
        18         18   9.97502019E+01   3.41517947E-02   1.78214301E-18   1.42470607E-04   1.12946378E-03   8.85375892E-02
        19         19   9.97217828E+01   3.61097847E-02   1.88880305E-18   6.55425942E-05   1.00058526E-03   9.99415078E-02
        20         20   9.96978422E+01   3.73448552E-02   1.99271817E-18   8.59969753E-05   8.86412553E-04   1.12814287E-01
