################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2449402977311226E-01 a         1     0     1     1     1
  1.3479407924087614E-01 a         2     0     1     1     2
 -2.8087954924435199E-01 a         3     0     1     1     3
 -1.8024692891971278E-01 a         4     0     1     1     4
 -7.4247751939370846E-02 a         5     0     1     1     5
 -9.8963468750565595E-02 a         6     0     1     1     6
 -3.0090111305017081E-01 a         7     0     1     1     7
  1.8402110945966885E-01 a         8     0     1     1     8
  2.6541817255476607E-01 a         9     0     1     1     9
  3.5375125177144771E-02 a        10     0     1     1    10
 -1.8735785497064514E-01 a        11     0     1     1    11
 -3.3450785974441483E-01 a        12     0     1     1    12
  3.1719500978258747E-01 a        13     0     1     1    13
  2.0317079901122334E-01 a        14     0     1     1    14
 -1.1615738984773152E-04 a        15     0     1     1    15
  5.9816892723265479E-02 a        16     0     1     1    16
  2.2485164569802714E-02 a        17     0     1     1    17
  8.9857416672523310E-02 a        18     0     1     1    18
  3.1201139399215407E-02 a        19     0     1     1    19
  2.2955888907248731E-01 a        20     0     1     1    20
  1.1834928000557512E-01 a        21     0     1     1    21
 -4.6878656197684679E-02 a        22     0     1     1    22
 -4.4413589375603101E-02 a        23     0     1     1    23
 -8.0297191145609251E-02 a        24     0     1     1    24
  7.7953875531536820E-02 a        25     0     1     1    25
 -1.1170469569450459E-01 a        26     0     2     1     1
  1.6983746881114993E-03 a        27     0     2     1     2
 -1.9075135140101090E-01 a        28     0     2     1     3
  2.3737274606639328E-01 a        29     0     2     1     4
  2.8776255596604000E-01 a        30     0     2     1     5
 -1.9462868953266552E-01 a        31     0     2     1     6
  1.4116645190454462E-02 a        32     0     2     1     7
  2.0208831253719239E-01 a        33     0     2     1     8
  1.7606995424127542E-01 a        34     0     2     1     9
  8.6053730776051870E-02 a        35     0     2     1    10
  3.2083522442885468E-02 a        36     0     2     1    11
  2.6037834143786848E-01 a        37     0     2     1    12
 -2.1861811091939523E-01 a        38     0     2     1    13
  1.9261220628389941E-01 a        39     0     2     1    14
  1.6112497925745037E-01 a        40     0     2     1    15
  6.8565146538668242E-02 a        41     0     2     1    16
  1.1757242702369558E-01 a        42     0     2     1    17
 -1.0468043282801614E-03 a        43     0     2     1    18
  1.8691814513470231E-01 a        44     0     2     1    19
  2.0498288747463539E-01 a        45     0     2     1    20
  2.2673992435829451E-01 a        46     0     2     1    21
  1.9351500671219873E-01 a        47     0     2     1    22
  2.1054179266833004E-01 a        48     0     2     1    23
  2.3222744229121145E-01 a        49     0     2     1    24
 -2.0239701595706172E-01 a        50     0     2     1    25
  1.9568029002476359E-01 a        51     0     3     1     1
 -1.7842988322245434E-01 a        52     0     3     1     2
 -7.8863098335276473E-03 a        53     0     3     1     3
  3.2591264947608650E-01 a        54     0     3     1     4
 -1.6212223317443214E-01 a        55     0     3     1     5
 -2.1445431717063745E-01 a        56     0     3     1     6
  1.2210788584656614E-01 a        57     0     3     1     7
  3.3528917147801951E-01 a        58     0     3     1     8
  2.8025701329114323E-02 a        59     0     3     1     9
  1.0996297195111976E-01 a        60     0     3     1    10
