################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9530547308822663E-01 a         1     0     1     1     1
  2.0253549164780632E-01 a         2     0     1     1     2
 -2.9955621476134087E-01 a         3     0     1     1     3
 -1.7306311816256026E-01 a         4     0     1     1     4
 -7.7222840554261415E-02 a         5     0     1     1     5
 -2.2431246236630506E-01 a         6     0     1     1     6
 -3.1117856355915335E-01 a         7     0     1     1     7
  1.3184956003024678E-01 a         8     0     1     1     8
  3.1708071581908343E-01 a         9     0     1     1     9
  1.2496469121135936E-01 a        10     0     1     1    10
 -1.4939138569887289E-01 a        11     0     1     1    11
 -3.3087134920158190E-01 a        12     0     1     1    12
  2.9887412469503771E-01 a        13     0     1     1    13
  2.2495909573497469E-01 a        14     0     1     1    14
  4.5641015883866945E-03 a        15     0     1     1    15
 -3.5184473714831285E-02 a        16     0     1     1    16
  5.1806751025427214E-02 a        17     0     1     1    17
  1.3183954335568707E-01 a        18     0     1     1    18
  3.3068608195998092E-02 a        19     0     1     1    19
  2.7389607774617641E-01 a        20     0     1     1    20
  1.1238889146847947E-01 a        21     0     1     1    21
 -2.2165940361118901E-02 a        22     0     1     1    22
 -8.3730091442884652E-02 a        23     0     1     1    23
 -1.2353598674638067E-01 a        24     0     1     1    24
  1.0075585819022645E-01 a        25     0     1     1    25
 -1.5347914438162591E-01 a        26     0     2     1     1
 -4.4353569516363267E-02 a        27     0     2     1     2
 -2.1827916105186143E-01 a        28     0     2     1     3
  1.9634561518052709E-01 a        29     0     2     1     4
  3.1356447546845745E-01 a        30     0     2     1     5
 -2.3207740925749085E-01 a        31     0     2     1     6
  1.0879900023389764E-01 a        32     0     2     1     7
  1.8916505210054319E-01 a        33     0     2     1     8
  1.7546409240505145E-01 a        34     0     2     1     9
  1.1326612282106456E-01 a        35     0     2     1    10
  1.2421400483381920E-01 a        36     0     2     1    11
  2.3483285798575634E-01 a        37     0     2     1    12
 -2.0866994932071253E-01 a        38     0     2     1    13
  1.4607160702119482E-01 a        39     0     2     1    14
  1.8453342590516136E-01 a        40     0     2     1    15
 -2.0110000162730700E-02 a        41     0     2     1    16
  1.0661004626110633E-01 a        42     0     2     1    17
  1.1410090205216043E-02 a        43     0     2     1    18
  1.8631378938028492E-01 a        44     0     2     1    19
  1.9294510639479093E-01 a        45     0     2     1    20
  2.2466146079755805E-01 a        46     0     2     1    21
  2.1876993185757510E-01 a        47     0     2     1    22
  1.9551578384321180E-01 a        48     0     2     1    23
  2.9175816975792002E-01 a        49     0     2     1    24
 -2.0408354968655759E-01 a        50     0     2     1    25
  2.3027633796998997E-01 a        51     0     3     1     1
 -1.7603753047282733E-01 a        52     0     3     1     2
 -2.7414340362798315E-02 a        53     0     3     1     3
  3.0777891777346061E-01 a        54     0     3     1     4
 -1.6694035451633821E-01 a        55     0     3     1     5
 -3.2633183529371917E-01 a        56     0     3     1     6
  1.4755474532697085E-01 a        57     0     3     1     7
  2.9490641523112054E-01 a        58     0     3     1     8
  6.3282893056973946E-02 a        59     0     3     1     9
  2.1862279386729169E-01 a        60     0     3     1    10
 -1.2459841798624284E-01 a        61     0     3     1    11
 -1.2807376846264190E-01 a        62     0     3     1    12
 -1.9559380129828918E-01 a        63     0     3     1    13
 -1.4303204858194016E-01 a        64     0     3     1    14
 -2.3090855819929174E-01 a        65     0     3     1    15
 -3.0793794104520628E-01 a        66     0     3     1    16
 -7.4022065292497330E-02 a        67     0     3     1    17
  2.5532437904112115E-01 a        68     0     3     1    18
 -9.5493756334812246E-02 a        69     0     3     1    19
  3.2865150857988373E-01 a        70     0     3     1    20
  2.2947775696440190E-01 a        71     0     3     1    21
  2.5106760824985030E-01 a        72     0     3     1    22
 -1.3073990440260763E-01 a        73     0     3     1    23
 -9.0200184139529987E-02 a        74     0     3     1    24
 -1.8405852998046070E-03 a        75     0     3     1    25
 -6.9864540114099552E-02 a        76     0     4     1     1
  1.0897811921172128E-02 a        77     0     4     1     2
 -3.3635566365696196E-01 a        78     0     4     1     3
 -2.7544277271870143E-01 a        79     0     4     1     4
  5.5133434222251365E-02 a        80     0     4     1     5
  2.6162987633722112E-01 a        81     0     4     1     6
  2.3205940086364860E-01 a        82     0     4     1     7
 -2.2805715133122972E-01 a        83     0     4     1     8
 -4.5618398863565564E-02 a        84     0     4     1     9
 -3.1923120218682816E-01 a        85     0     4     1    10
 -4.3981992783388796E-02 a        86     0     4     1    11
 -3.2827684609330464E-02 a        87     0     4     1    12
 -2.2820924559488356E-01 a        88     0     4     1    13
 -3.1729680834767537E-01 a        89     0     4     1    14
  3.3221728525680166E-01 a        90     0     4     1    15
 -6.3280405798481890E-02 a        91     0     4     1    16
  2.2820598188834637E-01 a        92     0     4     1    17
 -1.9129118317815922E-03 a        93     0     4     1    18
  3.1133530555894090E-01 a        94     0     4     1    19
 -1.6166676956099416E-01 a        95     0     4     1    20
 -2.1450342643408624E-01 a        96     0     4     1    21
  2.6274849006402656E-01 a        97     0     4     1    22
  3.2011711695509032E-01 a        98     0     4     1    23
  2.0897285251477135E-01 a        99     0     4     1    24
 -8.6304341675203233E-02 a       100     0     4     1    25
 -1.6349146414652697E-03 a       101     0     5     1     1
 -2.5107535808666170E-01 a       102     0     5     1     2
  3.3039807983250463E-01 a       103     0     5     1     3
 -5.4036741187700625E-02 a       104     0     5     1     4
 -3.0663590825402920E-01 a       105     0     5     1     5
 -6.2130339243837610E-02 a       106     0     5     1     6
 -1.2209262968987902E-01 a       107     0     5     1     7
 -8.6895445577159308E-02 a       108     0     5     1     8
 -1.6141285516040660E-01 a       109     0     5     1     9
  1.1507005766890896E-01 a       110     0     5     1    10
  2.4994233698454466E-01 a       111     0     5     1    11
  2.3280519433250682E-01 a       112     0     5     1    12
 -2.4962418041787102E-01 a       113     0     5     1    13
  1.9244388108378516E-02 a       114     0     5     1    14
 -1.1258983176084900E-01 a       115     0     5     1    15
 -3.0898147582673036E-01 a       116     0     5     1    16
 -3.0093354740858369E-01 a       117     0     5     1    17
  1.8648065862080854E-01 a       118     0     5     1    18
  9.9796649652481501E-02 a       119     0     5     1    19
 -1.7242379254795173E-01 a       120     0     5     1    20
  1.1600464257368957E-01 a       121     0     5     1    21
 -2.1276881826496158E-01 a       122     0     5     1    22
 -5.2970981797681033E-02 a       123     0     5     1    23
  8.6738163571026802E-02 a       124     0     5     1    24
 -1.7183316968324921E-02 a       125     0     5     1    25
 -6.9911661257166580E-02 a       126     0     6     1     1
  2.2450024417655687E-01 a       127     0     6     1     2
 -2.8209478286536936E-02 a       128     0     6     1     3
 -1.7861799122513625E-01 a       129     0     6     1     4
  3.2915163637198813E-01 a       130     0     6     1     5
 -1.0969528156700079E-01 a       131     0     6     1     6
  2.1515274072895563E-01 a       132     0     6     1     7
 -7.0837285883460513E-02 a       133     0     6     1     8
 -6.9287201698973580E-02 a       134     0     6     1     9
 -2.4891292060678893E-01 a       135     0     6     1    10
  2.7692040862766637E-01 a       136     0     6     1    11
  2.2632850969451219E-03 a       137     0     6     1    12
  2.7412927819280392E-01 a       138     0     6     1    13
  7.2622745778708087E-02 a       139     0     6     1    14
  4.0541498811593697E-02 a       140     0     6     1    15
  1.3154377651184423E-01 a       141     0     6     1    16
 -5.8792952057826198E-02 a       142     0     6     1    17
  2.2730030099351925E-01 a       143     0     6     1    18
  3.5302646356168599E-01 a       144     0     6     1    19
 -1.0988456639542438E-01 a       145     0     6     1    20
  1.5517768383318081E-01 a       146     0     6     1    21
  1.2327332897460608E-01 a       147     0     6     1    22
  2.5567971344417312E-01 a       148     0     6     1    23
 -2.0658396202461954E-01 a       149     0     6     1    24
  1.4767266102383569E-01 a       150     0     6     1    25
 -4.9508420373500027E-02 a       151     0     7     1     1
 -2.3021968239508012E-01 a       152     0     7     1     2
 -2.6614870897895871E-02 a       153     0     7     1     3
 -1.9953800737869073E-01 a       154     0     7     1     4
 -7.1797102318048631E-02 a       155     0     7     1     5
 -3.2812434709178745E-01 a       156     0     7     1     6
 -2.3472302434138256E-01 a       157     0     7     1     7
 -2.6469463528187509E-01 a       158     0     7     1     8
  1.8533879368039263E-01 a       159     0     7     1     9
 -4.3042150213473108E-02 a       160     0     7     1    10
  2.4767431601647669E-01 a       161     0     7     1    11
  2.2833325347683237E-01 a       162     0     7     1    12
 -2.8954292068637733E-01 a       163     0     7     1    13
  3.9598617957013291E-02 a       164     0     7     1    14
  1.2495268912085959E-01 a       165     0     7     1    15
  2.0631801454276544E-01 a       166     0     7     1    16
  1.0028671958036244E-01 a       167     0     7     1    17
  5.8515760839125797E-02 a       168     0     7     1    18
 -2.2318677482361127E-01 a       169     0     7     1    19
  1.2125738395677281E-01 a       170     0     7     1    20
  3.5291301668231058E-02 a       171     0     7     1    21
 -2.8712796834947457E-01 a       172     0     7     1    22
  2.3206687840493345E-01 a       173     0     7     1    23
  2.6298753131391334E-01 a       174     0     7     1    24
 -4.4038331678735554E-02 a       175     0     7     1    25
 -1.1007303473693095E-01 a       176     0     8     1     1
  1.8521850000993542E-01 a       177     0     8     1     2
  6.3330751130839455E-02 a       178     0     8     1     3
 -3.4673396702920811E-01 a       179     0     8     1     4
 -2.4465461487202711E-01 a       180     0     8     1     5
  8.6875773378473048E-02 a       181     0     8     1     6
  3.3166573476644917E-01 a       182     0     8     1     7
  2.9098679947338540E-02 a       183     0     8     1     8
 -2.4739962848034792E-02 a       184     0     8     1     9
 -7.9305804367181501E-02 a       185     0     8     1    10
 -1.8629364829656758E-01 a       186     0     8     1    11
 -2.4145810075980226E-01 a       187     0     8     1    12
  4.5267035570437424E-02 a       188     0     8     1    13
  2.1868832172173389E-01 a       189     0     8     1    14
 -3.1562771153669311E-01 a       190     0     8     1    15
 -3.1439790823292291E-02 a       191     0     8     1    16
  2.0292496204948562E-01 a       192     0     8     1    17
 -2.3569126575381480E-01 a       193     0     8     1    18
  1.2120531363275584E-01 a       194     0     8     1    19
  3.1165681632313900E-02 a       195     0     8     1    20
  3.2770769807482003E-02 a       196     0     8     1    21
  2.1361589783286555E-01 a       197     0     8     1    22
 -5.8706530926633513E-02 a       198     0     8     1    23
 -2.6123379368879096E-01 a       199     0     8     1    24
 -4.7024906829959391E-02 a       200     0     8     1    25
  7.0989274862202204E-02 a       201     0     9     1     1
  2.2014310459343869E-01 a       202     0     9     1     2
  2.6930757168050867E-01 a       203     0     9     1     3
  2.2818669358527635E-01 a       204     0     9     1     4
 -1.3867235764904942E-01 a       205     0     9     1     5
 -1.7157350928969520E-01 a       206     0     9     1     6
 -1.7576171485818221E-01 a       207     0     9     1     7
 -1.3240841719953591E-02 a       208     0     9     1     8
  5.7979666546123181E-02 a       209     0     9     1     9
  7.9322310722529557E-02 a       210     0     9     1    10
 -5.9109080085312529E-02 a       211     0     9     1    11
  2.4094824619212546E-01 a       212     0     9     1    12
  3.1526656286513532E-01 a       213     0     9     1    13
 -2.3621513809954936E-01 a       214     0     9     1    14
 -7.7190033250290890E-02 a       215     0     9     1    15
 -3.6311727258240944E-01 a       216     0     9     1    16
 -1.1088712955864034E-01 a       217     0     9     1    17
  2.7940329844208917E-01 a       218     0     9     1    18
 -2.4040781904899861E-01 a       219     0     9     1    19
  2.3290392315387695E-01 a       220     0     9     1    20
 -2.5986837860953621E-01 a       221     0     9     1    21
 -1.8809851084538584E-01 a       222     0     9     1    22
 -8.6773383412915225E-02 a       223     0     9     1    23
  2.7382259377115581E-01 a       224     0     9     1    24
 -2.7835146572910741E-01 a       225     0     9     1    25
  2.4258829866652343E-01 a       226     0    10     1     1
  2.3144481136436826E-01 a       227     0    10     1     2
  7.0089405111515346E-02 a       228     0    10     1     3
  1.3064740623735180E-01 a       229     0    10     1     4
  2.9666765426614289E-01 a       230     0    10     1     5
  7.9482685696111360E-02 a       231     0    10     1     6
 -9.0203656587948960E-02 a       232     0    10     1     7
 -5.5026094931495918E-03 a       233     0    10     1     8
  3.3564984577894363E-01 a       234     0    10     1     9
 -2.2414594595711307E-01 a       235     0    10     1    10
  3.2202561869593443E-01 a       236     0    10     1    11
 -1.3262822639289853E-01 a       237     0    10     1    12
  1.8714171430163459E-01 a       238     0    10     1    13
  7.9440439888595532E-02 a       239     0    10     1    14
 -2.5497739109845591E-01 a       240     0    10     1    15
 -1.8519124775793247E-01 a       241     0    10     1    16
  2.5455181715880348E-01 a       242     0    10     1    17
  6.0556397135485357E-02 a       243     0    10     1    18
 -2.1492492250507769E-01 a       244     0    10     1    19
  5.5651068095994641E-02 a       245     0    10     1    20
  7.8445842327739573E-02 a       246     0    10     1    21
  1.6801846629423556E-01 a       247     0    10     1    22
  3.3754446713702452E-01 a       248     0    10     1    23
  2.2786740806079531E-01 a       249     0    10     1    24
 -3.1318658838463242E-01 a       250     0    10     1    25
  1.5471775918563599E-01 a       251     0    11     1     1
  1.5773540126748173E-01 a       252     0    11     1     2
 -3.1055449249695982E-01 a       253     0    11     1     3
 -1.3153154987789104E-01 a       254     0    11     1     4
 -2.8166980910245343E-01 a       255     0    11     1     5
  1.1243445772229711E-01 a       256     0    11     1     6
 -7.9338583543732161E-02 a       257     0    11     1     7
  3.2320516941539190E-01 a       258     0    11     1     8
  1.9523736804817168E-01 a       259     0    11     1     9
 -2.3155725039496572E-01 a       260     0    11     1    10
  7.9170205765248830E-02 a       261     0    11     1    11
 -1.4792564650883674E-01 a       262     0    11     1    12
 -2.0035025616953514E-01 a       263     0    11     1    13
  9.2349601113158639E-02 a       264     0    11     1    14
 -2.2407509917804039E-01 a       265     0    11     1    15
  1.4194587930182153E-02 a       266     0    11     1    16
  1.7784756523559413E-02 a       267     0    11     1    17
  1.4607508631433411E-01 a       268     0    11     1    18
 -3.7330271910642754E-01 a       269     0    11     1    19
 -1.9948380153373430E-01 a       270     0    11     1    20
 -2.0587500155969579E-01 a       271     0    11     1    21
  2.0447577823375221E-01 a       272     0    11     1    22
  2.7768193408769964E-01 a       273     0    11     1    23
 -2.0987092334067847E-01 a       274     0    11     1    24
  3.1320602464311964E-01 a       275     0    11     1    25
 -2.0122583101818572E-01 a       276     0    12     1     1
 -2.0433638896480269E-01 a       277     0    12     1     2
 -3.1282394492940413E-01 a       278     0    12     1     3
  2.4268170773276806E-01 a       279     0    12     1     4
  2.9759133871485799E-01 a       280     0    12     1     5
 -1.2213972002036312E-01 a       281     0    12     1     6
  1.0907936757320229E-01 a       282     0    12     1     7
  4.3460697738466315E-02 a       283     0    12     1     8
  1.0868697802392668E-01 a       284     0    12     1     9
 -9.8727215683514238E-02 a       285     0    12     1    10
 -2.2607160637563276E-01 a       286     0    12     1    11
 -1.6789046998831561E-01 a       287     0    12     1    12
  2.0929447855394803E-01 a       288     0    12     1    13
  3.1511681001228353E-01 a       289     0    12     1    14
 -2.9037603940420298E-01 a       290     0    12     1    15
  7.0217738044579717E-02 a       291     0    12     1    16
 -9.3983008630572462E-02 a       292     0    12     1    17
  2.6328434137001245E-02 a       293     0    12     1    18
 -2.1567194702242434E-01 a       294     0    12     1    19
  3.5516201807981768E-01 a       295     0    12     1    20
 -1.1991035655847512E-01 a       296     0    12     1    21
  1.5516606050966686E-01 a       297     0    12     1    22
  1.8524088522955849E-03 a       298     0    12     1    23
  1.4773329089181350E-01 a       299     0    12     1    24
  2.9184588504765485E-01 a       300     0    12     1    25
 -2.6209571083707772E-01 a       301     0    13     1     1
  2.6759244379061636E-01 a       302     0    13     1     2
 -2.7125889208464712E-04 a       303     0    13     1     3
 -2.1725814693721032E-01 a       304     0    13     1     4
  2.6783698568600001E-01 a       305     0    13     1     5
  2.9086742627254847E-01 a       306     0    13     1     6
  1.0240156954095457E-01 a       307     0    13     1     7
