################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.1059705456474950E-01 a         1     0     1     1     1
 -2.9721524253443643E-01 a         2     0     1     1     2
  1.9074280898252829E-01 a         3     0     1     1     3
 -3.4905608900230228E-02 a         4     0     1     1     4
  8.5006638827408772E-03 a         5     0     1     1     5
  1.5457536069583322E-01 a         6     0     1     1     6
 -1.0424291112615915E-01 a         7     0     1     1     7
 -1.4544714062678585E-01 a         8     0     1     1     8
 -2.1917744250387294E-01 a         9     0     1     1     9
  8.9381099118303400E-02 a        10     0     1     1    10
 -1.7636792639004858E-01 a        11     0     1     1    11
  2.6087578206325157E-01 a        12     0     1     1    12
 -6.6439867727332513E-02 a        13     0     1     1    13
  2.8342477978190400E-01 a        14     0     1     1    14
  1.0905769204125108E-01 a        15     0     1     1    15
  1.7997661025650677E-01 a        16     0     1     1    16
 -7.8342531823894598E-02 a        17     0     1     1    17
  2.4327111015313610E-01 a        18     0     1     1    18
 -1.5964999036222935E-01 a        19     0     1     1    19
 -2.8049515553144933E-01 a        20     0     1     1    20
 -8.3451207786627207E-02 a        21     0     1     1    21
 -6.4949373736118518E-02 a        22     0     1     1    22
  3.3240673495246308E-02 a        23     0     1     1    23
 -5.6356192692249632E-02 a        24     0     1     1    24
  2.9704311073606016E-01 a        25     0     1     1    25
 -1.2247296062050073E-01 a        26     0     2     1     1
  7.0342275936870022E-02 a        27     0     2     1     2
 -2.0756100857857890E-01 a        28     0     2     1     3
  2.8172235458457096E-01 a        29     0     2     1     4
 -2.1994155623490735E-01 a        30     0     2     1     5
 -3.2799096380752069E-01 a        31     0     2     1     6
  1.6917587293440270E-01 a        32     0     2     1     7
 -2.5308368875137127E-01 a        33     0     2     1     8
 -7.1911358019374386E-02 a        34     0     2     1     9
 -1.4149613053993582E-01 a        35     0     2     1    10
 -1.9472088157723269E-01 a        36     0     2     1    11
  4.6567723781936451E-02 a        37     0     2     1    12
 -3.3122394827025642E-02 a        38     0     2     1    13
 -1.8728984407499986E-02 a        39     0     2     1    14
  2.4188179487496519E-01 a        40     0     2     1    15
  3.3554291883483918E-02 a        41     0     2     1    16
 -2.5035929951417915E-02 a        42     0     2     1    17
  2.9364873592909368E-01 a        43     0     2     1    18
 -3.1738589358119518E-01 a        44     0     2     1    19
 -1.8086755152431888E-01 a        45     0     2     1    20
  1.4021987237285705E-01 a        46     0     2     1    21
 -3.2309633027447926E-01 a        47     0     2     1    22
 -3.1176742712829586E-01 a        48     0     2     1    23
 -1.7426937277778023E-01 a        49     0     2     1    24
  1.7571838827260214E-01 a        50     0     2     1    25
 -3.0664645732262291E-01 a        51     0     3     1     1
  2.9760111996073219E-01 a        52     0     3     1     2
  1.5757588584215557E-01 a        53     0     3     1     3
 -1.4349923169341067E-01 a        54     0     3     1     4
  3.3208938316803421E-01 a        55     0     3     1     5
 -1.7911733256074502E-01 a        56     0     3     1     6
 -1.6879684168624811E-02 a        57     0     3     1     7
  1.4443156437911117E-01 a        58     0     3     1     8
  1.8725400157130062E-01 a        59     0     3     1     9
 -3.1661809739014013E-01 a        60     0     3     1    10
 -3.1232056702792910E-01 a        61     0     3     1    11
 -7.3947976151317735E-02 a        62     0     3     1    12
 -2.0983510566084349E-01 a        63     0     3     1    13
  1.4085610564100527E-02 a        64     0     3     1    14
  2.4055399030795141E-01 a        65     0     3     1    15
 -1.5861075360981852E-01 a        66     0     3     1    16
  1.7395328975595403E-01 a        67     0     3     1    17
 -1.2074484697217289E-01 a        68     0     3     1    18
  3.1732510637597333E-01 a        69     0     3     1    19
 -2.4572388145350693E-01 a        70     0     3     1    20
  1.0198719183126197E-01 a        71     0     3     1    21
  2.3228571202099491E-01 a        72     0     3     1    22
  1.5349849191042872E-01 a        73     0     3     1    23
  2.9182489971656467E-01 a        74     0     3     1    24
 -1.6998619325467038E-01 a        75     0     3     1    25
  9.2109412853447065E-02 a        76     0     4     1     1
 -5.9832905787973345E-02 a        77     0     4     1     2
 -5.7738519831372154E-02 a        78     0     4     1     3
  1.4624317857614258E-01 a        79     0     4     1     4
 -2.7494243853315721E-03 a        80     0     4     1     5
  2.5916485877905515E-01 a        81     0     4     1     6
  1.5791063449628831E-01 a        82     0     4     1     7
 -2.7027401806335692E-02 a        83     0     4     1     8
 -7.6470385612445527E-02 a        84     0     4     1     9
  1.0627714707739780E-01 a        85     0     4     1    10
 -1.3493142533564553E-01 a        86     0     4     1    11
  2.2937573677777998E-01 a        87     0     4     1    12
  1.1402240931786803E-02 a        88     0     4     1    13
 -8.6922614846040511E-02 a        89     0     4     1    14
 -2.1794992935418003E-01 a        90     0     4     1    15
 -1.9157723380776700E-02 a        91     0     4     1    16
 -2.0996244525067959E-01 a        92     0     4     1    17
  1.4407174510754917E-01 a        93     0     4     1    18
  1.4434701016474002E-01 a        94     0     4     1    19
 -2.3842980310734771E-01 a        95     0     4     1    20
 -1.6612894427388492E-01 a        96     0     4     1    21
  2.2521470020230877E-01 a        97     0     4     1    22
 -1.4255539654628530E-01 a        98     0     4     1    23
 -3.0134458046979890E-01 a        99     0     4     1    24
 -2.6784140621938229E-01 a       100     0     4     1    25
 -2.6733822428681220E-01 a       101     0     5     1     1
  2.2886011164845635E-01 a       102     0     5     1     2
  3.1658826400998874E-01 a       103     0     5     1     3
  3.3116240323028862E-01 a       104     0     5     1     4
  3.0043731942246543E-01 a       105     0     5     1     5
  1.1943638597037837E-01 a       106     0     5     1     6
  8.0390939503123204E-02 a       107     0     5     1     7
 -4.0954334408852870E-02 a       108     0     5     1     8
  1.8988845628194206E-01 a       109     0     5     1     9
  2.3306951312300872E-01 a       110     0     5     1    10
 -1.8276833598991413E-01 a       111     0     5     1    11
 -7.2540480149233644E-02 a       112     0     5     1    12
 -3.0950566608452895E-01 a       113     0     5     1    13
 -3.2029401781337327E-02 a       114     0     5     1    14
  2.8155855257460943E-01 a       115     0     5     1    15
  1.1222503606274706E-01 a       116     0     5     1    16
 -1.9870009264562460E-01 a       117     0     5     1    17
 -2.4274550634552342E-01 a       118     0     5     1    18
  2.8651443415661632E-01 a       119     0     5     1    19
 -2.5145608331637929E-02 a       120     0     5     1    20
  2.5404813972025886E-01 a       121     0     5     1    21
 -2.5403369794218750E-01 a       122     0     5     1    22
  3.1129933742259891E-01 a       123     0     5     1    23
 -1.5613455617660013E-01 a       124     0     5     1    24
  3.0625141305470477E-01 a       125     0     5     1    25
  1.3047927945305004E-03 a       126     0     6     1     1
 -2.2931302329446490E-01 a       127     0     6     1     2
  2.0049971344311471E-01 a       128     0     6     1     3
  2.8225889882503702E-01 a       129     0     6     1     4
  5.5411224051949565E-02 a       130     0     6     1     5
 -2.0865038449650214E-01 a       131     0     6     1     6
  2.8261511684844925E-01 a       132     0     6     1     7
  1.6915396367549046E-01 a       133     0     6     1     8
  3.2123973829162950E-01 a       134     0     6     1     9
 -4.7969580929249002E-02 a       135     0     6     1    10
 -1.4906572560233805E-01 a       136     0     6     1    11
 -1.3588858289194530E-01 a       137     0     6     1    12
  2.7757148892198918E-01 a       138     0     6     1    13
 -3.9317258840323971E-02 a       139     0     6     1    14
  1.6562519108559709E-01 a       140     0     6     1    15
  2.4744436944517173E-01 a       141     0     6     1    16
  3.3759819504517996E-01 a       142     0     6     1    17
  1.5204389446731725E-01 a       143     0     6     1    18
  6.8731794713522559E-02 a       144     0     6     1    19
 -2.4128774695910965E-01 a       145     0     6     1    20
 -8.3239951926880482E-02 a       146     0     6     1    21
  1.0259153803692635E-01 a       147     0     6     1    22
 -5.4943206909206727E-03 a       148     0     6     1    23
  2.3060972463853385E-01 a       149     0     6     1    24
 -2.8642004757732381E-01 a       150     0     6     1    25
  6.9908397588822099E-02 a       151     0     7     1     1
  1.2240443743145980E-01 a       152     0     7     1     2
  8.3058171099695943E-03 a       153     0     7     1     3
  1.0774363837481246E-01 a       154     0     7     1     4
 -6.9442364162872486E-02 a       155     0     7     1     5
 -1.5915027338904650E-01 a       156     0     7     1     6
  2.9596310332334385E-03 a       157     0     7     1     7
  2.7864753345243393E-01 a       158     0     7     1     8
  1.5925538090745492E-01 a       159     0     7     1     9
  1.3617615293908777E-01 a       160     0     7     1    10
  2.6416953443581054E-02 a       161     0     7     1    11
 -2.2751982095382525E-01 a       162     0     7     1    12
 -2.5985946944425298E-01 a       163     0     7     1    13
  8.8336647819213562E-02 a       164     0     7     1    14
 -1.4487089690582031E-01 a       165     0     7     1    15
  7.2032635937332973E-02 a       166     0     7     1    16
  3.0055748576630309E-01 a       167     0     7     1    17
  3.2250481846704165E-01 a       168     0     7     1    18
  9.9447860655993954E-05 a       169     0     7     1    19
  1.6190351890309534E-01 a       170     0     7     1    20
  1.2387374548939670E-01 a       171     0     7     1    21
  1.4604001498890665E-01 a       172     0     7     1    22
  2.7595853115314162E-01 a       173     0     7     1    23
  1.6764966380260418E-01 a       174     0     7     1    24
 -2.1161650325063097E-01 a       175     0     7     1    25
 -4.6967530865547370E-02 a       176     0     8     1     1
 -1.4795450611987404E-01 a       177     0     8     1     2
  2.5796563783704735E-01 a       178     0     8     1     3
  1.9499141736614059E-02 a       179     0     8     1     4
  2.9215586193576926E-01 a       180     0     8     1     5
  7.4663771075115723E-03 a       181     0     8     1     6
 -2.2712691814764341E-01 a       182     0     8     1     7
  8.2638530931550182E-03 a       183     0     8     1     8
 -2.8958795197409698E-01 a       184     0     8     1     9
 -2.6297831275151534E-01 a       185     0     8     1    10
  1.8714487287240478E-01 a       186     0     8     1    11
  3.0737801879482757E-01 a       187     0     8     1    12
 -9.1550474196493842E-02 a       188     0     8     1    13
  3.2978603914880883E-01 a       189     0     8     1    14
  5.1031961533423167E-02 a       190     0     8     1    15
 -9.4521562589934299E-02 a       191     0     8     1    16
  2.0332926168660129E-01 a       192     0     8     1    17
  3.2881829711710098E-01 a       193     0     8     1    18
 -1.9236798092356015E-02 a       194     0     8     1    19
 -2.2802947388444575E-01 a       195     0     8     1    20
  1.8467876912597528E-01 a       196     0     8     1    21
 -3.3033488124278271E-01 a       197     0     8     1    22
  1.1053449985064442E-01 a       198     0     8     1    23
  3.0480372213580748E-01 a       199     0     8     1    24
 -2.2835755176236833E-01 a       200     0     8     1    25
 -9.6459058657362803E-02 a       201     0     9     1     1
 -1.7195494771119296E-02 a       202     0     9     1     2
 -9.7232966481197877E-02 a       203     0     9     1     3
 -3.2625622807692128E-01 a       204     0     9     1     4
 -1.2178115093994879E-01 a       205     0     9     1     5
 -2.6184459147214195E-01 a       206     0     9     1     6
  2.5978274909653315E-01 a       207     0     9     1     7
 -2.6970940346466321E-01 a       208     0     9     1     8
 -2.7042489124549261E-03 a       209     0     9     1     9
 -2.9095806405368591E-01 a       210     0     9     1    10
 -2.4015856670769120E-01 a       211     0     9     1    11
 -7.8092690860094974E-02 a       212     0     9     1    12
 -1.7065557926747207E-01 a       213     0     9     1    13
 -2.6349854529716982E-01 a       214     0     9     1    14
 -9.0025300377789552E-02 a       215     0     9     1    15
  1.1123409029305327E-01 a       216     0     9     1    16
 -1.2503011744483231E-01 a       217     0     9     1    17
  3.1465676060034253E-01 a       218     0     9     1    18
 -2.1468022521769695E-01 a       219     0     9     1    19
  2.6918585392327655E-02 a       220     0     9     1    20
  9.9545254078801382E-03 a       221     0     9     1    21
 -1.2584487711811636E-02 a       222     0     9     1    22
 -4.2207558531688033E-02 a       223     0     9     1    23
 -8.4279544706449633E-02 a       224     0     9     1    24
 -3.3641250667700845E-01 a       225     0     9     1    25
 -3.0630268037095770E-01 a       226     0    10     1     1
  1.8734792881281245E-01 a       227     0    10     1     2
 -1.1201200240344822E-01 a       228     0    10     1     3
 -3.3952611044475151E-01 a       229     0    10     1     4
  1.6773491316380407E-01 a       230     0    10     1     5
 -3.3337264015976026E-01 a       231     0    10     1     6
  1.6990099181180435E-01 a       232     0    10     1     7
  1.0886271981582482E-01 a       233     0    10     1     8
